,分词排序,词频
0,先锋,343
1,宁波,280
2,材料,262
3,遮阳,68
4,面料,58
5,信息,55
6,开心,46
7,圣泰戈,44
8,资讯网,43
9,取得联系,42
10,澳大利亚,41
11,新材,39
12,香港,38
13,澳洲,37
14,卢,32
15,阳光,29
16,工程,28
17,胡雷飞,26
18,节能,24
19,人卢,24
20,高分子,23
21,成品,20
22,窗帘,20
23,乳业,19
24,上海,18
25,数据,18
26,土地,17
27,盖世,16
28,复合,16
29,弘业,16
30,创业板,15
31,科技,14
32,网络,14
33,隔热,13
34,资源,12
35,浙江,12
36,包覆,12
37,软件,12
38,丰泰,11
39,复合材料,11
40,银行,11
41,注年,11
42,建筑,10
43,一体化,9
44,嘉兴,9
45,网站,9
46,建设,9
47,建筑物,9
48,建筑节能,9
49,参与者,9
50,海曙区,8
51,环保,8
52,阻燃,8
53,房地产,8
54,发明专利,8
55,牛奶,8
56,徐佩飞,8
57,嵌入,8
58,混合,8
59,嘉兴市,7
60,喆,7
61,翔,7
62,卷帘,7
63,系因,7
64,非活,7
65,北京,7
66,聘为,7
67,窗,6
68,汽车,6
69,窗饰,6
70,集士,6
71,港镇,6
72,汇士路,6
73,国外,6
74,集成,6
75,大陆,6
76,任职期间,6
77,半年,6
78,展期,6
79,担保费,6
80,费率,6
81,贺兰,6
82,白瑞琛,6
83,荆娴,6
84,教育,6
85,月经,6
86,含年,6
87,带薪休假,6
88,含个,6
89,一米,5
90,熊军,5
91,审众,5
92,环,5
93,紫外线,5
94,聚乙烯,5
95,产品价格,5
96,成熟,5
97,注册商标,5
98,制品,5
99,消费者,5
100,鄞州,5
101,单宇,5
102,英,5
103,刘晓鹏,5
104,王涛,5
105,王溪红,5
106,会员,5
107,徐国,5
108,芳,5
109,环境,5
110,分拆,5
111,还原,5
112,修复,5
113,高新技术,5
114,补助款,5
115,期自,5
116,熟悉,4
117,垂直,4
118,集士港,4
119,涤纶丝,4
120,单丝,4
121,制造,4
122,零售,4
123,防,4
124,防火,4
125,防潮,4
126,拖累,4
127,得以,4
128,纤维,4
129,技术创新,4
130,平米,4
131,抗,4
132,两种,4
133,饮料,4
134,控制系统,4
135,按计划,4
136,悦活,4
137,文化,4
138,补缴,4
139,保险,4
140,及卢,4
141,银行贷款,4
142,反担保,4
143,亲属,4
144,外销,4
145,电子,4
146,职位,4
147,大时,4
148,生物,4
149,三本,4
150,四本,4
151,澳元,4
152,等于,4
153,方对,4
154,届满时,4
155,著作权,4
156,按年,4
157,保修,4
158,换取,4
159,无需,4
160,项年,4
161,澳大,4
162,产非,4
163,利亚,4
164,品,4
165,上表,4
166,该笔,4
167,玛泽,3
168,响应,3
169,绿色,3
170,速度,3
171,紧张,3
172,终端,3
173,特性,3
174,技术储备,3
175,镀铝,3
176,上门,3
177,客服,3
178,事务部,3
179,刘钧,3
180,王庆海,3
181,丝,3
182,战略性,3
183,百叶窗,3
184,新西兰,3
185,应用领域,3
186,透光,3
187,通风,3
188,垂帘,3
189,商务,3
190,遮光,3
191,金属,3
192,帘,3
193,亏损额,3
194,短期内,3
195,扭亏为盈,3
196,预缴,3
197,装修费,3
198,否第页,3
199,承接,3
200,外观设计,3
201,项共,3
202,外观,3
203,面积,3
204,挤出,3
205,卤,3
206,医疗,3
207,模具,3
208,纱线,3
209,更好,3
210,传统,3
211,优良,3
212,紫外,3
213,商标,3
214,肉,3
215,奶,3
216,反馈,3
217,知名品牌,3
218,非常规,3
219,产品设计,3
220,健康,3
221,珀斯,3
222,信用卡,3
223,传播,3
224,现状,3
225,厂家,3
226,经济效益,3
227,拟定,3
228,百分之二十五,3
229,坤,3
230,工伤保险,3
231,生育,3
232,更改,3
233,经年,3
234,度,3
235,扶贫,3
236,提示性,3
237,股一,3
238,卢亚群,3
239,潘祥江,3
240,理工学院,3
241,工程师,3
242,税务师,3
243,正源,3
244,盈科,3
245,呼和浩特,3
246,利益者,3
247,工作效率,3
248,偏离,3
249,指除,3
250,中是,3
251,油气,3
252,股东会,3
253,此次,3
254,归类,3
255,周期短,3
256,日为,3
257,付出,3
258,承担义务,3
259,近期,3
260,耗用,3
261,指为,3
262,率年,3
263,运输设备,3
264,办公设备,3
265,竣工,3
266,专利技术,3
267,合同规定,3
268,短者,3
269,索赔,3
270,日以,3
271,宣传,3
272,进项,3
273,应纳,3
274,教育费,3
275,退还,3
276,加工区,3
277,对非,3
278,中未,3
