,分词排序,词频
0,海南,231
1,种业,193
2,神农,180
3,基因,158
4,水稻,134
5,湖南,115
6,种子,100
7,农业,98
8,波莲,91
9,科技,72
10,制种,69
11,信息,68
12,杂交,63
13,大丰,55
14,生物,46
15,重庆,43
16,农作物,38
17,工程,36
18,育,30
19,湖南省,29
20,建设,29
21,土地,28
22,新品种,28
23,四川,27
24,水稻种子,27
25,强制,24
26,黄培劲,23
27,退市,22
28,湘丰,21
29,选育,21
30,惟谷,20
31,德天,20
32,育种,20
33,南繁,19
34,粮食,19
35,高产,19
36,房地产,19
37,创业板,19
38,停牌,18
39,海南省,17
40,传统,17
41,科研,16
42,江西,16
43,农户,15
44,优,15
45,分子,15
46,超募,15
47,曹欧,14
48,劼,14
49,证监局,14
50,高技术,14
51,玉米,14
52,深圳,13
53,比上,13
54,鉴定,13
55,主要职责,13
56,福建,12
57,保亭,12
58,产业基地,12
59,数据,12
60,一站式,12
61,资源,12
62,触及,12
63,复牌,12
64,长沙,12
65,汉族,12
66,第届,11
67,材料,11
68,自然灾害,11
69,体,11
70,植物,11
71,弘德,11
72,广西,10
73,立耘,10
74,大米,10
75,重庆市,10
76,基因突变,10
77,邓武,10
78,贵州,9
79,新中,9
80,三亚,9
81,华智,9
82,紫荆,9
83,棉花,9
84,表达,9
85,中实,9
86,良种,9
87,当日,9
88,西凉,9
89,湖北,9
90,加盟,9
91,建筑物,9
92,海口市,8
93,网站,8
94,推,8
95,一体化,8
96,发明专利,8
97,不育,8
98,机械化,8
99,江西省,8
100,集成,8
101,实审,8
102,审,8
103,油菜,8
104,实物,8
105,银行,8
106,中央,8
107,决定书,8
108,郴州,8
109,财信,8
110,海口,8
111,郑抗,7
112,明昌云,7
113,丫米,7
114,永丰,7
115,种植,7
116,遗传,7
117,智能化,7
118,审定,7
119,标记,7
120,仓储,7
121,袁隆平,7
122,生产方式,7
123,商业化,7
124,国务院,7
125,第条,7
126,书,7
127,免税,7
128,生物科技,6
129,网络,6
130,红南繁,6
131,胥洋,6
132,上海,6
133,繁育,6
134,农化,6
135,种,6
136,区试,6
137,预试,6
138,中下游,6
139,待审,6
140,启动子,6
141,仓库,6
142,房产,6
143,杂交稻,6
144,种质,6
145,六合,6
146,永久性,6
147,按计划,6
148,环境,6
149,体现,6
150,下发,6
151,国外,6
152,涉嫌,6
153,三十个,6
154,给付,6
155,中院,6
156,食品,6
157,常德,6
158,核工业,6
159,网络科技,5
160,立信,5
161,路,5
162,公寓,5
163,资讯网,5
164,育繁,5
165,大规模,5
166,服务项目,5
167,载体,5
168,长江,5
169,续试,5
170,花粉,5
171,编码,5
172,淀粉酶,5
173,特异,5
174,转化,5
175,抗病,5
176,转商,5
177,业自年,5
