,分词排序,词频
0,教育,375
1,油墨,289
2,斯伍德,256
3,龙门,233
4,苏州,215
5,信息,100
6,科技,81
7,吴,49
8,胶印,41
9,贤良,40
10,高考,40
11,环保,39
12,苏州市,37
13,法国,36
14,学生,34
15,补习,34
16,北京,31
17,陕西,30
18,学校,29
19,马良,29
20,教学,28
21,咨询服务,26
22,印刷,23
23,软件,23
24,升学,21
25,办学,21
26,数据,20
27,全封闭,20
28,铭,20
29,育才,19
30,西安,19
31,相城区,18
32,课程,18
33,上海,18
34,培训中心,18
35,材料,17
36,课外,16
37,西安市,16
38,尚学,15
39,艳红,15
40,跃龙门,14
41,龙们,14
42,江苏,13
43,化工,13
44,创业板,13
45,银行,13
46,素养,12
47,资讯网,12
48,俞雪华,12
49,就职,12
50,四级,12
51,教学软件,11
52,教学模式,11
53,去年同期,11
54,重庆,11
55,波兰,11
56,法庭,11
57,工程,11
58,翊,11
59,三级,11
60,网络科技,10
61,立信,10
62,层面,10
63,智能,10
64,方锐,10
65,文波,10
66,土地,10
67,全民,9
68,学科,9
69,素质,9
70,减负,9
71,科学,9
72,校区,9
73,深圳,9
74,文化,9
75,款年,9
76,郭,8
77,耗材,8
78,黄埭镇,8
79,互联网,8
80,东吴,8
81,建设,8
82,出台,8
83,灞桥区,8
84,第五名,8
85,董兵,8
86,消防,8
87,或本,8
88,张峰,7
89,导师,7
90,素质教育,7
91,中小学生,7
92,高光泽,7
93,商务,7
94,规范化,7
95,场所,7
96,就业,7
97,工会,7
98,第一名,7
99,第二名,7
100,第三名,7
101,第四名,7
102,校外,7
103,瑕疵,7
104,中企,7
105,可回收,7
106,新任,7
107,染料,7
108,刘凤元,7
109,三十一,7
110,海淀区,7
111,千才,7
112,金智合,6
113,化学,6
114,分子,6
115,检测,6
116,第三季度,6
117,补习学校,6
118,五加,6
119,集训,6
120,个性化,6
121,测评,6
122,绿色,6
123,制造,6
124,环境保护,6
125,软件产品,6
126,环境,6
127,见龙,6
128,拼课,6
129,隆门,6
130,第十次,6
131,商法典,6
132,指派,6
133,首席,6
134,执行官,6
135,教育部,6
136,健康,6
137,管理控制,6
138,相近,6
139,企业法人,6
140,场地,6
141,责任人,6
142,太平洋,6
143,衡量,6
144,学费,6
145,教育费,6
146,武汉市,6
147,重庆市,6
148,昌平,6
149,爱华,6
150,石景山,6
151,无忧,5
152,印品,5
153,春申路,5
154,面向,5
155,科学化,5
156,三大,5
157,训练,5
158,快干,5
159,亮光,5
160,纸袋,5
161,供墨,5
162,有助于,5
163,迭代,5
164,招生,5
165,扩张,5
166,高新技术,5
167,交割,5
168,听取,5
169,为个,5
170,民办教育,5
171,办公厅,5
172,民办,5
173,在线,5
174,珊,5
175,新余,5
176,汇君,5
177,彩,5
178,华,5
179,龙,5
180,快报,5
181,前数,5
182,后数,5
183,加拿大,5
184,课时,5
185,除净,5
186,社保,5
187,建筑物,5
188,小微,5
189,金钥匙,5
190,印客,4
191,颜料,4
192,消耗,4
193,赛道,4
194,两季,4
195,三训,4
196,讲师,4
197,班主任,4
198,滚动,4
199,匹配,4
200,学业,4
201,学,4
202,一体,4
203,创新能力,4
204,教学服务,4
205,短训,4
206,专注,4
207,食品,4
208,在内,4
209,高耐磨,4
210,易,4
211,教研,4
212,师资,4
213,技术创新,4
214,稳步,4
215,高质量,4
216,资源,4
217,增,4
218,学员,4
219,推荐,4
220,定位,4
221,著作权,4
222,环节,4
223,防范,4
224,希望,4
225,意愿,4
226,第条,4
227,条,4
228,观察期,4
229,人工智能,4
230,送,4
231,租赁经营,4
232,徐颖丁,4
233,附属,4
234,权属,4
235,足额,4
236,民办非,4
237,陕西省,4
238,无需,4
239,补选,4
240,预告,4
241,抵消,4
242,英语,4
243,中欧,4
244,称号,4
245,见龙云课,4
246,肖学俊,4
247,阳离子,4
248,袁文雄,4
249,否吴,4
250,召集,4
251,工作细则,4
252,名册,4
253,房地产,4
254,委,4
255,碑林,4
256,新龙门,4
257,武汉,4
258,长沙,4
259,百门,4
260,尚纳学,4
261,龙跃门,4
262,龙学门,4
263,太原市,4
264,指南,4
265,民办学校,4
266,建造,4
267,养老保险,4
268,缴费,4
269,进项税额,4
270,免征,4
271,保险费,4
272,工业,4
273,批,4
274,沙坪坝区,4
275,李庆文,3
276,人士,3
277,度,3
278,单体,3
279,朱海,3
280,平林闻俊,3
281,海通,3
282,维度,3
283,手段,3
284,课堂,3
285,教管,3
286,体育,3
287,春季,3
288,秋季,3
289,实践,3
290,多元化,3
291,习惯,3
292,课外辅导,3
293,线下,3
294,学习效果,3
295,延伸,3
296,先行,3
297,龙头,3
298,国际标准,3
299,高档,3
300,迁移,3
301,气味,3
302,节能,3
303,依赖,3
304,专职,3
305,口碑,3
306,通道,3
307,奠定,3
308,产品认证,3
309,知名,3
310,差异化,3
311,界,3
312,颁发,3
313,迎来,3
314,挑战,3
315,游戏,3
316,面授,3
317,新设,3
318,忞,3
319,围,3
320,郝,3
321,新风,3
322,育,3
323,国务院办公厅,3
324,利润率,3
325,促进法,3
326,信息化,3
327,展示,3
328,设置,3
329,营利性,3
330,秉承,3
331,主管部门,3
332,监管部门,3
333,第十二次,3
334,铭明,3
335,旻,3
336,谋求,3
337,合资,3
338,承包经营,3
339,至科,3
340,或科,3
341,司法机关,3
342,现实,3
343,中介机构,3
344,事,3
345,权证,3
346,敦促,3
347,盐城,3
348,尽可能,3
349,创业投资,3
350,三板,3
351,为目,3
352,基准日,3
353,报字,3
354,第六次,3
355,四名,3
356,由科,3
