,分词排序,词频
0,复合材料,265
1,长海,260
2,江苏,248
3,常州,106
4,玻纤,85
5,天马,72
6,信息,66
7,制品,58
8,工程,51
9,玻璃纤维,43
10,常州市,42
11,建材,40
12,二五,38
13,三厂,37
14,毡,35
15,国文,31
16,杨,30
17,银行,28
18,排放,22
19,杨鹏威,22
20,环保,21
21,纤维,20
22,材料,20
23,汽车,20
24,数据,17
25,化工,17
26,池窑,16
27,热塑性,16
28,短切,15
29,志军,14
30,科技,14
31,蔡,13
32,环境,13
33,瑞盛,13
34,船艇,13
35,湿法,12
36,薄,12
37,装饰,12
38,玻璃钢,12
39,气体,12
40,克莱,12
41,轻量化,11
42,创业板,11
43,资讯网,11
44,化学,10
45,不饱和,10
46,聚酯树脂,10
47,投产,10
48,欧迪,10
49,互联,10
50,房地产,10
51,展会,9
52,扶贫,9
53,远期,8
54,工业,8
55,环保型,8
56,拉丝,8
57,土地,8
58,制造业,8
59,应用领域,7
60,污染物,7
61,遥观,7
62,镇,7
63,制造,7
64,国外,7
65,扩能,7
66,资源,7
67,教育,7
68,香港,7
69,现金管理,7
70,生物,7
71,外销,6
72,外汇,6
73,环境保护,6
74,强度,6
75,复合,6
76,玻纤纱,6
77,轨道交通,6
78,建设,6
79,成交价,6
80,为元股,6
81,附属,6
82,摊薄,6
83,元龙,6
84,厂区,6
85,经济师,6
86,简历,6
87,油气,6
88,实施细则,6
89,商务,6
90,武进区,5
91,网站,5
92,天健,5
93,表中,5
94,建筑,5
95,领导,5
96,车间,5
97,信用证,5
98,迎来,5
99,高新技术,5
100,锁汇,5
101,交割,5
102,动力,5
103,发,5
104,栏目,5
105,记录表,5
106,杨鹏,5
107,西北侧,5
108,深水,5
109,江边,5
110,污水,5
111,处理厂,5
112,接管,5
113,水质标准,5
114,溧萍,5
115,信托,5
116,武进,5
117,蔡桂如,5
118,商业银行,5
119,拨款,5
120,源于,5
121,为此,4
122,环节,4
123,监测,4
124,事故,4
125,树脂,4
126,股向,4
127,分配比例,4
128,需提交,4
129,制成,4
130,塘桥,4
131,互联网,4
132,媒体,4
133,陈素素,4
134,韩熙,4
135,涂层,4
136,透明,4
137,发票,4
138,内销,4
139,有望,4
140,延伸,4
141,去年同期,4
142,人工工资,4
143,能源,4
144,承继,4
145,汇票,4
146,尚有,4
147,常,4
148,州长,4
149,传统,4
150,补缴,4
151,社会保险,4
152,住房,4
153,填补,4
154,戚稽兴,4
155,邵,4
156,周,4
157,混合型,4
158,爱建,4
159,海玻纤,4
160,台钻,4
161,张燕,4
162,丑世栋,4
163,错,4
164,凭证,4
165,提单,4
166,抽样,4
167,非专利,4
168,教育费,4
169,掉期,4
170,不获,4
171,新北区,4
172,南海,4
173,攻坚,3
174,采取措施,3
175,抗,3
176,操作,3
177,罚款,3
178,负面影响,3
179,绝缘性,3
180,耐热性,3
181,腐蚀性,3
182,机械,3
183,定向,3
184,平面,3
185,村,3
186,隔板,3
187,高等,3
188,电子,3
189,采购部,3
190,采购计划,3
191,调度,3
192,开具,3
193,释放,3
194,规模化,3
195,市场占有率,3
196,专业化,3
197,督查,3
198,上游,3
199,统计,3
200,新高,3
201,进程,3
202,拉动,3
203,装修,3
204,零星,3
205,预提,3
206,加工费,3
207,龙头,3
208,配置,3
209,广阔,3
210,灵活,3
211,用作,3
212,游戏,3
213,软件,3
214,千个,3
215,消化,3
216,出资额,3
217,天鹏,3
218,第十八次,3
219,存续,3
220,近几年,3
221,很大,3
222,新能源,3
223,节能,3
224,技术创新,3
225,转化,3
226,应有,3
227,杨凤琴,3
228,派遣,3
229,社保,3
230,证监会,3
231,清理,3
232,工程项目,3
233,脱贫,3
234,搬迁,3
235,健康,3
236,标准表,3
237,间歇,3
238,锅炉房,3
239,焚烧炉,3
240,环境影响,3
241,李荣平,3
242,张中,3
243,中国建设银行,3
244,天治,3
245,常务副,3
246,副厂长,3
247,邵俊,3
248,男月,3
249,之三,3
250,顾问,3
251,智能,3
252,石化,3
253,本节,3
254,规章,3
255,及第,3
256,流失,3
257,负面新闻,3
258,支持性,3
259,期后,3
260,保费,3
261,准备金,3
262,中央银行,3
263,金融机构,3
264,包装物,3
265,建筑物,3
266,建造,3
267,专利权,3
268,政策性,3
269,应缴,3
270,税额,3
