,分词排序,词频
0,鸿利,411
1,智汇,271
2,善,126
3,科技,125
4,谊,125
5,照明,118
6,光电,97
7,信息,93
8,汽车,91
9,互联网,88
10,速易,76
11,封装,67
12,资讯网,64
13,东莞市,61
14,江苏,61
15,车灯,60
16,丹阳,60
17,金材,58
18,江西,54
19,器件,50
20,网络,49
21,丹阳市,48
22,节能,47
23,制造,45
24,深圳,45
25,广州,44
26,白光,42
27,电子,41
28,房地产,40
29,半导体,39
30,良友,39
31,建设,39
32,工程,38
33,五金,37
34,银行,33
35,办公会议,31
36,网络科技,30
37,系本,30
38,南昌,28
39,高新技术,27
40,志强,27
41,李国平,26
42,土地,26
43,制造业,26
44,李,26
45,牡丹,26
46,郭,26
47,创业板,24
48,参照,24
49,莱帝亚,23
50,斯迈得,23
51,镇江,23
52,车主,21
53,零部件,21
54,杨云峰,21
55,泽博,21
56,履行期,21
57,泸州市,21
58,订立,21
59,金舵,20
60,花都区,20
61,成章,19
62,主合同,19
63,数据,18
64,上海,18
65,智能,18
66,拖欠,18
67,临空,17
68,材料,17
69,光源,17
70,宿舍,17
71,环境,16
72,重盈,16
73,香港,16
74,五金制品,16
75,广东,16
76,初数,16
77,帮帮,16
78,否李国平,16
79,花都,16
80,四川,15
81,车,15
82,立得,15
83,大功率,15
84,场地,15
85,工业,15
86,进口,15
87,紫外,14
88,关键技术,14
89,交易方式,14
90,马,14
91,元经本,14
92,媒体,13
93,工元,13
94,佛达,13
95,信号,13
96,秉一,13
97,网站,13
98,模组,13
99,灯具,13
100,面积,13
101,光,13
102,喀什,13
103,深,13
104,商业银行,13
105,国泽,13
106,技术改造,13
107,老窖,12
108,一百,12
109,发光,12
110,器具,12
111,阳光,12
112,符合条件,12
113,霍尔果斯,12
114,董监,12
115,旭晟,12
116,优惠期,12
117,集成电路,12
118,中国银行,12
119,每月,12
120,智达,11
121,互联网服务,11
122,软件,11
123,检测,11
124,量子,11
125,金谷,11
126,李俊,11
127,农村,11
128,整,11
129,月租金,11
130,赵军,10
131,资源,10
132,可持续性,10
133,环,10
134,浦发银行,10
135,组件,10
136,颁发,10
137,东莞,10
138,舵,10
139,鑫,10
140,永发,10
141,股占该,10
142,宝安区,10
143,参与者,10
144,所得税法,10
145,电子科技,10
146,外经贸,10
147,该行,10
148,尚有,10
149,主债务,10
150,逐年,9
151,赣江,9
152,泸州,9
153,审众,9
154,日用,9
155,浙江,9
156,欣上,9
157,林丽彪,9
158,中国建设银行,9
159,配偶,9
160,孵化器,9
161,孙昌远,9
162,邓寿铁,9
163,经本,9
164,建筑物,9
165,使用费,9
166,第二十八条,9
167,孙,9
168,稳定期,9
169,信息化,9
170,招商引资,9
171,地方性,9
172,为谊善,9
173,新桥,9
174,签订合同,9
175,组团,8
176,股股,8
177,长,8
178,背光,8
179,北京,8
180,林龙彪,8
181,承,8
182,诺人,8
183,杨,8
184,判决书,8
185,摘要,8
186,由名,8
187,信托,8
188,石碣镇,8
189,汽车装饰,8
190,定向,8
191,刘信国,8
192,交通银行,8
193,嵌入,8
194,混合,8
195,减半,8
196,免征,8
197,物业,8
198,注本,8
199,加剧,7
200,增长点,7
201,计费,7
202,单价,7
203,乘用车,7
204,能源管理,7
205,定金,7
206,生物,7
207,贬值,7
208,西南,7
209,伊犁,7
210,芯片,7
211,支架,7
212,光效,7
213,朱,7
214,毅力,7
215,期为,7
216,李国,7
217,根据上述,7
218,二审,7
219,第二十四,7
220,第五次,7
221,马黎清,7
222,烨,7
223,汽车部件,7
224,瑞祺塑业,7
225,东,7
226,教育,7
227,判定,7
228,国家税务局,7
229,新疆,7
230,扣款,7
231,波电,7
232,佛隽,7
233,加拿大,7
234,持平,7
235,市场营销,7
236,优劣势,7
237,呈,7
238,研制,7
239,展期,7
240,该案,7
241,猎豹,7
242,应用领域,6
243,花东镇,6
244,先科,6
245,一路,6
246,发,6
247,健康,6
248,商用车,6
249,灯,6
250,估价,6
251,延伸,6
252,技术创新,6
253,集成,6
254,精益,6
255,小额,6
256,南京,6
257,信息技术,6
258,汇达,6
