,分词排序,词频
0,材料,383
1,浙江,284
2,开尔新,243
3,搪瓷,189
4,杭州,127
5,珐琅,103
6,银行,88
7,装饰,75
8,信息,75
9,板,74
10,建筑,69
11,环保,66
12,开尔,63
13,幕墙,61
14,科技,61
15,工程,56
16,金华,54
17,绿色,50
18,义通,45
19,工业,41
20,开尔新材,38
21,钢板,38
22,邢翰学,37
23,排放,36
24,节能,35
25,建设,34
26,隧道,34
27,合肥,32
28,资讯网,31
29,超低,31
30,天润,30
31,金华市,28
32,功能性,28
33,开尔文,27
34,同上,27
35,烟气,26
36,香港,25
37,淮安,25
38,宁波,25
39,立面,25
40,吴剑鸣,24
41,魔峰,23
42,房地产,23
43,釉料,22
44,科尔,22
45,该行,22
46,类产品,21
47,邢翰科,20
48,制造,19
49,立昂,19
50,数据,19
51,上海,19
52,晟,18
53,无锡,18
54,沃驰,18
55,创业板,17
56,燃煤,17
57,营销中心,17
58,轨道交通,16
59,脱硫,16
60,供货,16
61,环境,15
62,电厂,15
63,结构性,15
64,开晴,14
65,土地,14
66,装置,13
67,软件,13
68,年生,13
69,开具,13
70,金义,12
71,都市,12
72,太阳能,12
73,施工,12
74,下滑,12
75,山西,12
76,开幕,11
77,祥盛,11
78,传统,11
79,地铁,11
80,发明专利,11
81,获,11
82,以元,11
83,丰伟,11
84,特性,10
85,非电,10
86,工程项目,10
87,墙,10
88,地下,10
89,新厂区,10
90,体现,10
91,静电,10
92,山东,10
93,建筑物,10
94,否无,10
95,起任,10
96,资源,9
97,梅山,9
98,保税,9
99,港区,9
100,通道,9
101,消白,9
102,机组,9
103,年底,9
104,换热器,9
105,钢铁,9
106,招商银行,9
107,建造,9
108,火电,8
109,开,8
110,能源技术,8
111,动力设备,8
112,烟羽,8
113,入伙,8
114,脱硝,8
115,元件,8
116,自洁,8
117,释放,8
118,绿色建材,8
119,装饰板,8
120,高新技术,8
121,著作权,8
122,制备,8
123,达到目标,8
124,生物,8
125,现金管理,8
126,农民工,8
127,投资总额,8
128,节余,8
129,办公楼,8
130,开立,8
131,多样化,7
132,优异,7
133,北京,7
134,无锡市,7
135,耐高温,7
136,烟囱,7
137,低温,7
138,主营,7
139,业主,7
140,文化,7
141,预热器,7
142,波纹,7
143,承接,7
144,纳米,7
145,烧成,7
146,干法,7
147,浙江大学,7
148,港珠澳,7
149,数字化,7
150,健康,7
151,工程施工,7
152,万平方米,7
153,技术改造,7
154,公里,7
155,王泽霞,7
156,会计学,7
157,中国建设银行,7
158,不达,6
159,核心技术,6
160,适时,6
161,不派,6
162,新能,6
163,江西,6
164,国外,6
165,无机,6
166,清洁,6
167,色彩,6
168,互联网,6
169,证券部,6
170,出资额,6
171,到位,6
172,年前,6
173,较强,6
174,传热,6
175,换热,6
176,空气,6
177,整机,6
178,光催化,6
179,个性化,6
180,竣工,6
181,更好,6
182,铝,6
183,近年,6
184,固定成本,6
185,充足,6
186,该类,6
187,在内,6
188,喷涂,6
189,智能,6
190,第类,6
191,发电,6
192,工厂,6
193,危废,6
194,交易方式,6
195,第一名,6
196,第二名,6
197,第三名,6
198,第四名,6
199,第五名,6
200,结题,6
201,油气,6
202,装修,6
203,赵虹,6
204,浙商,6
205,否陈,6
206,衡量,6
207,教育费,6
208,马丽芬,5
209,灵活,5
210,长,5
211,环节,5
212,外延,5
213,易,5
214,维修,5
215,艺术,5
216,金属,5
217,立信,5
218,可变,5
219,科学,5
220,烟道,5
221,投标,5
222,蜂窝,5
223,固有,5
224,应用领域,5
225,外墙,5
226,贡献,5
227,耐腐蚀,5
228,艺术画,5
229,控制软件,5
230,长度,5
231,工艺技术,5
232,信息化,5
233,谨慎,5
234,配置,5
235,制造业,5
236,可持续性,5
237,光伏,5
238,龙山,5
239,空,5
240,预器,5
241,建设工程,5
242,莱钢永锋,5
243,烧结机,5
244,面积,5
245,厂区,5
246,城镇化,5
247,煤电,5
248,钢铁行业,5
249,如遇,5
250,顺延,5
251,集合,5
252,电子,5
253,券商,5
254,中信证券,5
255,凤起,5
256,第一个,5
257,除净,5
258,市区,5
259,无本,5
260,创造性,4
261,延伸,4
262,经济效益,4
263,能源,4
264,稳定性,4
265,初步,4
266,斐然,4
267,优良,4
268,基材,4
269,高温,4
270,耐腐,4
271,长效,4
272,保真,4
273,业内,4
274,零,4
275,瓷釉,4
276,广顺,4
277,机构名称,4
278,第一季度,4
279,摊薄,4
280,滞纳金,4
281,致力于,4
282,清晰,4
283,酒店,4
284,商务,4
285,省煤器,4
286,综合治理,4
287,减排,4
288,物料,4
289,响应,4
290,发货,4
291,交通运输,4
292,介入,4
293,新进,4
294,力争,4
295,水,4
296,网络,4
297,万方,4
298,一等奖,4
299,保温,4
300,隔热,4
301,架,4
302,回转式,4
303,密封,4
304,彩色,4
305,表面,4
306,大桥,4
307,主任委员,4
308,三大,4
309,呈现,4
310,抓住,4
311,车间,4
312,单元,4
313,工时,4
314,教育,4
315,防火,4
316,对义通,4
317,成交价,4
318,为元股,4
319,成交,4
320,平等,4
321,信息技术,4
322,统计,4
323,大型项目,4
324,新一轮,4
325,分包,4
326,上表,4
327,污染,4
328,初试,4
329,超募,4
330,钱塘,4
331,新建,4
332,住房,4
333,康恩贝,4
334,环境保护,4
335,人均,4
336,佳环,4
337,开睿,4
338,日日,4
339,保障型,4
340,风险投资,4
341,中国农业银行,4
342,郑根土,4
343,候选人,4
344,建有,4
345,刘永珍,4
346,陈,4
347,重卡之家,4
348,就职,4
349,人力资源部,4
350,工作效率,4
351,财务部门,4
352,工作细则,4
353,验收单,4
354,以换,4
355,存入,4
356,养老保险,4
357,计征,4
358,无未,4
359,俞铖耀,3
360,载体,3
361,激烈,3
362,挑战,3
363,对策,3
364,采购计划,3
365,扩张,3
366,公司业绩,3
367,中航,3
368,新设,3
369,物理,3
370,属性,3
371,新工艺,3
372,美观大方,3
373,白色,3
374,德,3
375,街号,3
376,网站,3
377,李惠,3
378,丰洪建良,3
379,徐泮卿,3
380,层面,3
381,制造商,3
382,秉承,3
383,污水处理,3
384,防腐,3
385,楼宇,3
386,发电厂,3
387,市场推广,3
388,直销,3
389,交流,3
390,总价,3
391,调试,3
392,部件,3
393,分支,3
394,低值易耗品,3
395,反馈,3
396,材,3
397,量减少,3
398,迟滞,3
399,龙头,3
400,先发,3
401,场所,3
402,安全性,3
403,基础设施,3
404,工程建设,3
405,里程,3
406,广阔,3
407,配件,3
408,一轮,3
409,大气污染,3
410,市场占有率,3
411,污染物,3
412,一体化,3
413,有望,3
414,轻工业,3
415,荣获,3
416,吊具,3
417,腐蚀,3
418,喷墨,3
419,商标,3
420,超长,3
421,全自动,3
422,搪瓷制品,3
423,数据库,3
424,配方,3
425,两化,3
426,现已,3
427,现代化,3
428,骨干,3
429,人力资源,3
430,副理事长,3
431,分会,3
432,标志性,3
433,青岛,3
434,胶州湾,3
435,选用,3
436,定制,3
437,回暖,3
438,契机,3
439,深化,3
440,工序,3
441,降本增效,3
442,追求,3
443,宝贵,3
444,工期,3
445,稳固,3
446,珠光,3
447,立体,3
448,吸音,3
