,分词排序,词频
0,科技,326
1,广东,274
2,佳云,266
3,佳兆业,257
4,明家,181
5,北京,132
6,金源,117
7,信息,114
8,互联网,82
9,深圳,63
10,多彩,55
11,微赢,48
12,媒体,47
13,时空,46
14,房地产,42
15,甄勇,38
16,创业板,32
17,周建林,31
18,新余市,28
19,红,26
20,日兴,25
21,网络,24
22,文化,24
23,霍尔果斯,24
24,裕,23
25,电涌,23
26,香港,23
27,上海,22
28,数据,22
29,东莞,21
30,第名,20
31,网站,19
32,土地,19
33,华腾,18
34,资讯网,18
35,银行,18
36,建筑物,18
37,新余,18
38,高新区,18
39,资源,17
40,赢,17
41,超募,16
42,工作日,16
43,工程,16
44,大道,15
45,流量,15
46,周建禄,15
47,之孙,14
48,不动产,14
49,保护器,14
50,东莞市,13
51,南山区,13
52,互联,13
53,扣减,13
54,辞职,13
55,深南,12
56,威盛,12
57,广告业务,12
58,粤,12
59,李佳宇,12
60,单元,12
61,傅晗,12
62,刘超雄,11
63,一号,11
64,中喜,11
65,搜索引擎,11
66,智赢,11
67,宁波,11
68,陈忠伟,11
69,刑事,11
70,网络科技,11
71,朝阳区,11
72,消耗,11
73,郑毅,10
74,扩张,10
75,淮安,10
76,从业,10
77,补缴,10
78,另加,10
79,职工代表,10
80,仓佳速,9
81,健康,9
82,孙,9
83,设置,9
84,技术改造,9
85,环境,9
86,广,9
87,防雷,9
88,海燕,9
89,张翔,9
90,筋斗云,9
91,其所,9
92,候选人,9
93,海军,9
94,外汇,9
95,手机,8
96,百度,8
97,建设,8
98,搜索,8
99,系列化,8
100,粤海,8
101,街道,8
102,海涌,8
103,张雷,8
104,立案侦查,8
105,陈阳,8
106,杜,8
107,涉嫌,8
108,证券市场,8
109,其于,8
110,装饰,8
111,第一个,8
112,净现金,8
113,正中,7
114,珠江,7
115,罚款,7
116,爱,7
117,一致同意,7
118,无条件,7
119,真实性,7
120,李广,7
121,王永钢,7
122,司法机关,7
123,李,7
124,负有,7
125,还应,7
126,民事诉讼,7
127,规章,7
128,欧阳,7
129,勇斌,7
130,黄山,7
131,乐视,7
132,失效,7
133,林卓彬,7
134,生物,7
135,免征,7
136,头条,6
137,第八次,6
138,信息技术,6
139,开发技术,6
140,中本,6
141,陈长洁,6
142,谢雪斌,6
143,发信,6
144,德,6
145,珠海,6
146,经济纠纷,6
147,违法行为,6
148,白华,6
149,软件,6
150,住房,6
151,成都,6
152,佳,6
153,浩云,6
154,该笔,6
155,赖玉珍,6
156,补选,6
157,汉族,6
158,投资银行,6
159,返利,6
160,金融机构,6
161,投出,6
162,嵌入,6
163,教育费,6
164,策划,5
165,客户资源,5
166,厂商,5
167,游戏,5
168,计费,5
169,户,5
170,营,5
171,卓识,5
172,文化传媒,5
173,担保物,5
174,第十五次,5
175,第十八次,5
176,第十二次,5
177,实,5
178,展示,5
179,海淀区,5
180,第六次,5
181,审字,5
182,对明家,5
183,完整性,5
