,分词排序,词频
0,温州,383
1,宏丰,355
2,合金,248
3,电工,204
4,材料,117
5,复合材料,92
6,接触,85
7,电,77
8,硬质合金,55
9,信息,51
10,金属,43
11,汽车,42
12,科技,34
13,基,33
14,电器,30
15,智能,30
16,工程,28
17,特种,25
18,复合,25
19,陈晓林萍,25
20,陈晓,24
21,房地产,24
22,浙江,23
23,组件,22
24,土地,22
25,麦特,21
26,蒂,21
27,元件,21
28,制备,21
29,银行,21
30,动力机械,20
31,电子,20
32,电气,19
33,工业,19
34,新能源,19
35,开关,17
36,触点,16
37,制造,16
38,数据,14
39,低压电器,13
40,建设,13
41,制造业,13
42,一体化,13
43,元器件,13
44,正泰,12
45,颗粒,12
46,广泛应用,12
47,高性能,12
48,导电,12
49,热,11
50,断路器,11
51,钎焊,11
52,乐清市,10
53,环保,10
54,德国,10
55,带动,10
56,扶贫,10
57,创业板,9
58,刀具,9
59,乐清,9
60,建筑物,9
61,德力西,8
62,纤维,8
63,金属材料,8
64,技术创新,8
65,氧化,8
66,电网,8
67,陈林驰,8
68,施耐德,7
69,西门子,7
70,宏,7
71,层状,7
72,装备,7
73,持续增长,7
74,自动化,7
75,电工材料,7
76,电路,7
77,结,7
78,住房,7
79,否陈晓,7
80,白象,6
81,白银,6
82,焊接,6
83,合金材料,6
84,瓯江,6
85,口,6
86,继电器,6
87,高精度,6
88,模具,6
89,外销,6
90,高新技术,6
91,温州市,6
92,银基,6
93,关键技术,6
94,发明专利,6
95,稳步增长,6
96,热交换器,6
97,焊料,6
98,稳定性,6
99,期货,6
100,万辆,6
101,余金杰,6
102,人及,6
103,黄维肖,6
104,环境保护,6
105,绩效评价,6
106,生物,6
107,减库,6
108,教育费,6
109,招商引资,6
110,地方性,6
111,铜,5
112,新工艺,5
113,丰特,5
114,保护器,5
115,集聚,5
116,学文,5
117,接触器,5
118,电流,5
119,微型,5
120,延伸,5
121,产品开发,5
122,监测,5
123,智能化,5
124,检测,5
125,寿命,5
126,镍,5
127,抗,5
128,资讯网,5
129,林萍,5
130,技术开发区,5
131,排污,5
132,梦华,5
133,李绍春,5
134,胡春琦,5
135,销售部,5
136,股债,5
137,除净,5
138,建造,5
139,装修,5
140,北,4
141,镇,4
142,大桥,4
143,工业区,4
144,塘下,4
145,片区,4
146,贵金属,4
147,投资规模,4
148,非专利,4
149,森萨塔,4
150,机械,4
151,触头,4
152,工艺技术,4
153,膨胀系数,4
154,机械加工,4
155,区瓯,4
156,锦,4
157,大道,4
158,互联网,4
159,立信,4
160,凌燕,4
161,陈磊,4
162,王琪,4
163,可靠性,4
164,硬度,4
165,熔断器,4
166,多层,4
167,材,4
168,温控器,4
169,数控,4
170,领先地位,4
171,周期性,4
172,工业协会,4
173,电子产品,4
174,客户资源,4
175,高度重视,4
176,焊,4
177,列入,4
178,通讯,4
179,环境,4
180,汽车行业,4
181,运杂费,4
182,暂收款,4
183,纳米,4
184,降本增效,4
185,进一步提高,4
186,油墨,4
187,雾化,4
188,锡,4
189,熔渗,4
190,高温,4
191,熔焊,4
192,成型,4
193,能耗,4
194,再生,4
195,开立,4
196,再融资,4
197,改为,4
198,教育,4
199,黄乐晓,4
200,昆明,4
201,审计部,4
202,秘书长,4
203,车间,4
204,否余金杰,4
205,油气,4
206,存股益,4
207,以换,4
208,浙商,4
209,鹿城,4
210,废水,4
211,在线,4
212,无需,4
213,张权兴,3
214,对电,3
215,开发新,3
216,知名企业,3
217,泄密,3
218,密集型,3
219,银轮,3
220,基体,3
221,两种,3
222,双金属,3
223,被动,3
224,电阻,3
225,温控,3
226,过载,3
227,航空,3
228,采掘,3
229,化工,3
230,严,3
231,网站,3
232,家用电器,3
233,强度,3
234,知名,3
235,主要用途,3
236,小型,3
237,熔断,3
238,带材,3
239,配件,3
240,航空航天,3
241,医疗,3
242,刀片,3
243,非标,3
244,直销,3
245,控制程序,3
246,创新能力,3
247,优异,3
248,产品设计,3
249,来源于,3
250,分会,3
251,本行业,3
252,国家标准,3
253,行业标准,3
254,欧洲,3
255,博士后,3
256,工作站,3
257,省级重点,3
258,弹性,3
259,浙江大学,3
260,荣获,3
261,同步,3
262,研发部门,3
263,方针,3
264,人工成本,3
265,科研,3
266,深入开展,3
267,竣工,3
268,光伏,3
269,游戏,3
270,内销,3
271,少,3
272,微量元素,3
273,碳化钨,3
274,粘结剂,3
275,成分,3
276,氧化物,3
277,含量,3
278,银基电,3
279,低成本,3
280,粉体,3
281,高压,3
282,形貌,3
283,粒度,3
284,调控,3
285,真空,3
286,基焊膏,3
287,导热,3
288,规模化,3
289,微观,3
290,成材,3
291,极大,3
292,起到,3
293,研究成果,3
294,攻关,3
295,冷轧,3
296,双金,3
297,贡献,3
298,挑战,3
299,线路板,3
300,产销,3
301,有望,3
302,高速,3
303,需求量,3
304,装机容量,3
305,电力行业,3
306,高附加值,3
307,增长点,3
308,深化,3
309,进程,3
310,用工,3
311,清晰,3
312,听取,3
313,透明,3
314,个人财产,3
315,社会保险,3
316,劳动合同,3
317,素质,3
318,脱贫,3
319,李欣,3
320,夫妻关系,3
321,性别,3
322,陈王,3
323,颜新,3
324,吴新合,3
325,毅力,3
326,少华,3
327,周庆清,3
328,法律援助,3
329,职工代表,3
330,易颜新,3
331,戴,3
332,沈阳,3
333,电气传动,3
334,副所长,3
335,技术部,3
336,公正,3
337,科学,3
338,召集,3
339,尽可能,3
340,通过议案,3
341,利益者,3
342,审查,3
343,工作效率,3
344,偏离,3
345,编报,3
346,以该,3
347,将要,3
348,上海,3
349,保费,3
350,准备金,3
351,中央银行,3
352,低值易耗品,3
353,包装物,3
354,额外,3
355,通用设备,3
356,运输设备,3
357,存入,3
358,电脑软件,3
359,专利权,3
360,号楼,3
361,场所,3
362,政策性,3
363,进项税额,3
364,新湖,3
365,代扣代缴,3
366,远东,3
367,省,3
368,专项经费,3
369,发展局,3
370,赊销,3
371,远期,3
372,权证,3
373,温国用,3
374,引致,2
375,取决于,2
376,依存度,2
377,加剧,2
378,逐年,2
379,流失,2
380,赢得,2
381,申请专利,2
382,设有,2
383,优势互补,2
384,热双,2
385,特性,2
386,带,2
387,两层,2
388,称为,2
389,粉末冶金,2
390,外文,2
391,网址,2
392,电子信箱,2
393,电话传真,2
394,证券部,2
395,第二季度,2
396,第三季度,2
397,元非,2
398,统一标准,2
399,汽车电器,2
400,交通,2
401,信息工程,2
402,中是,2
403,分断,2
404,载体,2
405,称之为,2
406,心脏,2
407,耐磨性,2
408,耐腐蚀性,2
409,被誉为,2
410,牙齿,2
411,艾默生,2
412,厂商,2
413,所示,2
414,漏电,2
415,交流,2
416,电机,2
417,建筑,2
418,墙壁,2
419,电动机,2
420,零部件,2
421,旋转,2
422,锉,2
423,开采,2
424,矿山,2
425,棒材,2
426,防滑,2
427,切削,2
428,钻头,2
429,异形,2
430,以销定产,2
431,电器配件,2
432,居于,2
433,技术水平,2
434,产品线,2
435,强大,2
436,试制,2
437,同期相比,2
438,快,2
439,国民经济,2
440,硬,2
441,国外,2
442,起草,2
443,不断加强,2
444,奠定,2
445,技术支持,2
446,科技成果,2
447,转化,2
448,首台,2
449,套,2
450,积极参与,2
451,主持,2
452,经信厅,2
453,攻关项目,2
454,浙江工业大学,2
455,微纳,2
456,进步奖,2
457,二等奖,2
458,国家知识产权局,2
459,信任,2
460,合作伙伴,2
461,缩短,2
462,速度,2
463,成效,2
464,每批,2
465,成品,2
466,出库,2
467,发达,2
468,便利,2
469,占据,2
470,领导,2
471,扩张,2
472,产品链,2
473,系统集成,2
474,电池,2
475,广播,2
476,电影,2
477,电视,2
478,第一名,2
479,第二名,2
480,第三名,2
481,第四名,2
482,第五名,2
483,紧密结合,2
484,市场占有率,2
485,小试,2
486,期望,2
487,均匀,2
488,焊膏,2
489,贯穿,2
490,挤压,2
491,定向,2
492,石墨,2
493,水气,2
494,制粉,2
495,不锈钢,2
496,复合型,2
497,可控,2
498,钨,2
499,配比,2
500,铋,2
501,改性,2
502,节能,2
503,细胞状,2
504,超细,2
505,合金刀具,2
506,配方,2
507,理论,2
508,残炭,2
509,基钎料,2
510,表面,2
511,活性剂,2
512,体,2
513,寿命长,2
514,丝材,2
515,一步,2
516,冷,2
517,压焊,2
518,传统,2
519,借鉴,2
520,晶粒,2
521,难点,2
522,粉末,2
523,态覆铜,2
524,锌,2
525,高质量,2
526,高强度,2
527,高弹性,2
528,有色金属,2
529,四层,2
530,电阻率,2
531,净流量,2
532,售出,2
533,日该,2
534,按计划,2
535,信号,2
536,接通,2
537,传递,2
538,运转,2
539,家电,2
540,办公设备,2
541,面向,2
542,用电,2
543,指出,2
544,伴随,2
545,迎来,2
546,加工业,2
547,迅猛发展,2
548,必将,2
549,年底,2
550,万千瓦,2
551,时期,2
552,微,2
553,升级换代,2
554,分割,2
555,周边设备,2
556,手机,2
557,联网,2
558,各国,2
559,安全性,2
560,拉动,2
561,军工,2
562,技术含量,2
563,消费,2
564,在内,2
565,上涨,2
