,分词排序,词频
0,飞利信,722
1,北京,639
2,软件,275
3,数据,227
4,科技,203
5,信息,149
6,智慧,122
7,东蓝,119
8,著作权,116
9,信息技术,110
10,就职,101
11,电子,99
12,建设,89
13,数码,85
14,宁波,82
15,智能,81
16,联网,77
17,杨振华,69
18,工程,68
19,可视化,63
20,服务业,59
21,王守言,58
22,精图,57
23,上海,57
24,厦门,55
25,曹忻军,55
26,杰东,52
27,陈洪顺,52
28,智能化,50
29,资源,48
30,互联,47
31,中所作,47
32,三期,46
33,互联网,45
34,欧飞凌,41
35,天下,41
36,音视频,41
37,系统工程,36
38,数据中心,36
39,银行,36
40,动力,35
41,义务人,35
42,可控,34
43,信托,34
44,配偶,31
45,人工智能,30
46,发明专利,30
47,信息化,29
48,计算机,29
49,成都,28
50,深圳,28
51,应急,28
52,软硬件,28
53,教育,28
54,管理系统,28
55,浙江,28
56,集成,27
57,管线,27
58,高新技术,27
59,蓝,26
60,通讯,26
61,动员,26
62,国信,24
63,杭州,24
64,中国籍,24
65,数字化,23
66,通信,23
67,版块,23
68,地下,23
69,资讯网,23
70,解禁,23
71,环境,22
72,工业,22
73,地名,22
74,天津,21
75,创业板,21
76,房地产,21
77,陈剑栋,21
78,湖北,20
79,粤能,20
80,态势,20
81,远程,20
82,服务平台,20
83,电子产品,20
84,自该,20
85,搭建,19
86,网络安全,19
87,军民,19
88,自动,19
89,终端,19
90,展示,18
91,实时,18
92,国民经济,18
93,芯片,18
94,监测,18
95,技术咨询,18
96,平安,18
97,宁夏,17
98,珠海,17
99,网络,17
100,感知,17
101,飞利,17
102,数据处理,17
103,计算机软件,17
104,泓,17
105,计算机系统,17
106,堂,16
107,众华,16
108,创信,16
109,流媒体,16
110,采集,16
111,基础设施,16
112,溯源,16
113,信息系统,16
114,土地,16
115,众元,16
116,天云,16
117,软件开发,15
118,模块,15
119,施工,15
120,管廊,15
121,海宇,15
122,电子设备,14
123,指挥,14
124,场景,14
125,总线,14
126,发言,14
127,存储,14
128,零售,14
129,重庆,14
130,冰,14
131,经营项目,14
132,利信,13
133,大华,13
134,立信,13
135,光,13
136,传输,13
137,运维,13
138,水务,13
139,政务,13
140,定制,13
141,检测,13
142,测试报告,13
143,中介,13
144,乾元,13
145,张俊峰,13
146,董监,13
147,工程师,13
148,海通,13
149,大脑,12
150,无线,12
151,运营商,12
152,信息安全,12
153,类产品,12
154,机房,12
155,软件产品,12
156,党建,12
157,一体化,12
158,公告日,12
159,应用软件,12
160,超募,12
161,技术转让,12
162,产业政策,12
163,更名,12
164,父母,12
165,高新,12
166,下拨,12
167,海淀区,11
168,核心技术,11
169,数据业务,11
170,共享,11
171,制造,11
172,视频,11
173,建筑,11
174,消防,11
175,外观,11
176,管网,11
177,权属,11
178,机房设备,11
179,技术推广,11
180,本市,11
181,竞业禁止,11
182,学士学位,11
183,欧飞,10
184,黑龙江,10
185,产品线,10
186,系列产品,10
187,助力,10
188,案例,10
189,数据库,10
190,身份,10
191,传统,10
192,录播,10
193,节能,10
194,北斗,10
195,食品,10
196,文物,10
197,海南,10
198,机械,10
199,艾,10
200,赛尔,10
201,机械设备,10
202,材料,10
203,人及,10
204,扶贫,10
205,硕士学位,10
206,发展局,10
207,数码科技,9
208,新华,9
209,智胜,9
210,银湾,9
211,中卫,9
212,中关村,9
213,中枢,9
214,关键技术,9
215,新一代,9
216,深化,9
217,电信,9
218,接入,9
219,防护,9
220,介绍,9
221,端,9
222,在线,9
223,视频会议,9
224,巡查,9
225,奖,9
226,交通,9
227,文化,9
228,网,9
229,业经,9
230,验资,9
231,光大,9
232,永明,9
233,中关村科技园区,9
234,学院路,9
235,至诚,9
236,展览,9
237,电信业务,9
238,商业机会,9
239,刘涛,9
240,邓世光,8
241,华人,8
242,阳光,8
243,联诚,8
244,网站,8
245,补助款,8
246,为个,8
247,版本,8
248,红外,8
249,主要用途,8
250,垂直,8
251,民生,8
252,单元,8
253,应用服务,8
254,安防,8
255,普查,8
256,丽水,8
257,建筑物,8
258,地铁,8
259,信息管理系统,8
260,系统集成,8
261,操作,8
262,信泽渊,8
263,设置,8
264,空调,8
265,会师,8
266,报字,8
267,恒铭,8
268,东控,8
269,如该,8
270,期在,8
271,顺延,8
272,至该,8
273,兄弟姐妹,8
274,子女,8
275,博信,8
276,王立,8
277,信息产业,8
278,建造,8
279,潘火,8
280,街道,8
281,频媒,7
282,网信,7
283,网络科技,7
284,能源,7
285,天亿达,7
286,更好,7
287,配合,7
288,显示屏,7
289,实践,7
290,国产,7
291,集,7
292,无纸化,7
293,升降,7
294,平板,7
295,直播,7
296,语音,7
297,通用,7
298,强大,7
299,轨道交通,7
300,咨询服务,7
301,指数,7
302,电力,7
303,高校,7
304,三维,7
305,技术创新,7
306,账号,7
307,测绘,7
308,二维码,7
309,层面,7
310,中卫市,7
311,高新区,7
312,第一名,7
313,第二名,7
314,第三名,7
