,分词排序,词频
0,德曼,670
1,北京,276
2,生化,272
3,试剂盒,269
4,血清,208
5,注准,202
6,含量,192
7,诊断,180
8,德赛,124
9,化学发光,105
10,试剂,102
11,免疫,98
12,类本,95
13,京械,79
14,医疗器械,78
15,信息,73
16,法类,69
17,血浆,68
18,磁,66
19,微粒,66
20,检测,65
21,科技,64
22,法京械,54
23,人体,51
24,广州,50
25,上海,45
26,审评,45
27,递交,44
28,否利,44
29,生物,42
30,校准,40
31,吉林,39
32,临床,38
33,蛋白,38
34,比浊,37
35,检验,36
36,第名,35
37,工程,31
38,抗原,29
39,球蛋白,29
40,酶,28
41,仪器,27
42,凯得,26
43,糖化,25
44,胶乳,25
45,底物,24
46,厦门,23
47,医疗机构,23
48,医院,22
49,资讯网,21
50,抗体,21
51,抑素,21
52,武汉,20
53,脂蛋白,20
54,氨,20
55,载脂蛋白,20
56,氨酸,20
57,房地产,20
58,分析仪,19
59,甲状腺,19
60,脱氢酶,19
61,比浊法,19
62,类类,19
63,创业板,18
64,迈迪卡,18
65,数据,18
66,全自动,18
67,建设,18
68,诊断系统,17
69,胱,17
70,未有,17
71,医学,16
72,范圳,16
73,质控,16
74,游离,16
75,尿液,16
76,胆红素,16
77,违背,16
78,沈广仟,16
79,就职,16
80,力鼎,15
81,注册证,15
82,化学原料,15
83,激素,15
84,血红蛋白,15
85,乳酸,15
86,前列腺,15
87,特异性,15
88,品京械,15
89,环保,15
90,智度,14
91,资源,14
92,素,14
93,基转移酶,14
94,白蛋白,14
95,离子,14
96,银行,14
97,经销,13
98,赛领,13
99,样本,13
100,葡萄糖,13
101,浓度,13
102,盒,13
103,国械,13
104,张海涛,13
105,德国,12
106,银科,12
107,高新技术,12
108,凝血,12
109,曲线,12
110,配合,12
111,病毒,12
112,进口,11
113,高新区,11
114,医疗,11
115,成都,11
116,拉萨,11
117,德诚,11
118,网站,11
119,疾病,11
120,肿瘤,11
121,产品线,11
122,室内,11
123,肌酸激酶,11
124,同工酶,11
125,试京械,11
126,天门冬,11
127,类风湿,11
128,因子,11
129,品,11
130,法沪械,11
131,用本,11
132,土地,11
133,终端,10
134,终端用户,10
135,阿匹斯,10
136,创业投资,10
137,测量,10
138,免疫诊断,10
139,丁酸,10
140,半胱氨酸,10
141,氨基,10
142,绒毛,10
143,膜,10
144,促性腺激,10
145,乙型肝炎,10
146,与利,10
147,文化,9
148,万信,9
149,网络,9
150,国产,9
151,中关村,9
152,视黄醇,9
153,磷酸酶,9
154,注准剂,9
155,教育,9
156,环境保护,9
157,获授,9
158,王珩,8
159,合资,8
160,化学品,8
161,生物医药,8
162,带动,8
163,羟,8
164,丙氨酸,8
165,酶法,8
166,生成,8
167,甲状腺素,8
168,胆固醇,8
169,环境,8
170,子,8
171,建筑物,8
172,工资制,8
173,直销,7
174,赛,7
175,德华,7
176,意识,7
177,学术,7
178,强制,7
179,化学,7
180,品类,7
181,过氧化物,7
182,碘,7
183,法国,7
184,械,7
185,糖苷酶,7
186,丁耀良,7
187,危险,7
188,钦江,7
189,外科,7
190,广东,7
191,林霖,6
192,速度,6
193,核心技术,6
194,稳定性,6
195,北京经济技术开发区,6
196,健康,6
197,科学,6
198,循环法,6
199,胆汁酸,6
200,铁蛋白,6
201,促,6
202,中促,6
203,黄体,6
204,肌红蛋白,6
205,超敏反应,6
206,纤维蛋白,6
207,淀粉酶,6
208,肌酐,6
209,亮氨酸,6
210,腺苷,6
211,脱氨酶,6
212,二聚体,6
213,线粒体,6
214,活力,6
215,公众,6
216,对利,6
217,企,6
218,张,6
219,雅丽,6
220,绿色,6
221,废弃物,6
222,技术开发区,6
223,油气,6
224,嵌入,6
225,换取,6
226,唐亮,6
227,退出,6
228,制造,5
229,菜单,5
230,配方,5
231,建立健全,5
232,中勤,5
233,兴,5
234,海路,5
235,质量体系,5
236,体检中心,5
237,英国,5
238,三甲,5
239,很大,5
240,分子,5
241,产品开发,5
242,单抗,5
243,降钙素,5
244,监测,5
245,全血中,5
246,尿素,5
247,谷氨酸,5
248,磷,5
249,碱性,5
250,链球菌,5
251,催化,5
252,竞,5
253,听取,5
254,实施细则,5
255,承,5
256,机器设备,5
257,日月,5
258,清理,5
259,应急,5
260,节能,5
261,排放,5
262,赵曼君,5
263,防治,5
264,王艳,5
265,欧阳,5
266,钰,5
267,清,5
268,获,5
269,胸外科,5
270,导师,5
271,深圳,5
272,中联,5
273,工作细则,5
274,长春,5
275,推行,4
276,不达,4
277,制备,4
278,不派,4
279,英格曼,4
280,室,4
281,多家,4
282,人林霖,4
283,互联网,4
284,张丽华,4
285,事务部,4
286,领军,4
287,标杆,4
288,科研院所,4
289,胶体金,4
290,治疗,4
291,常规,4
292,标志物,4
293,食品,4
294,分级,4
295,诊疗,4
296,学,4
297,交流,4
298,意向,4
299,高度重视,4
300,服务网络,4
301,助力,4
302,转化,4
303,共有,4
304,基因,4
305,发明专利,4
306,抓住,4
307,大会,4
308,制品,4
309,血管,4
310,紧张,4
311,转化酶,4
312,速率,4
313,中胱,4
314,素质,4
315,酸性,4
316,肌钙蛋白,4
317,泌乳素,4
318,卵泡,4
319,睾酮,4
320,孕酮,4
321,胰岛素,4
322,生长激素,4
323,雌二醇,4
324,素亚,4
325,尿酸,4
326,乙酰,4
327,中利,4
328,葡萄,4
329,脑脊液,4
330,降解,4
331,产物,4
332,脂肪酸,4
333,磷酸,4
334,微量,4
335,补体,4
336,氧化酶,4
337,转移酶,4
338,血清蛋白,4
339,肽酶,4
340,脂肪酶,4
341,甘油三酯,4
342,胃蛋白酶,4
343,甲胎蛋白,4
344,准京械,4
345,品国械,4
346,凝固,4
347,沪械,4
348,子公,4
349,为利,4
350,创新能力,4
351,通道,4
352,充分考虑,4
353,需经,4
354,半数以上,4
355,拟定,4
356,经中勤,4
357,近年,4
358,非专利,4
359,财务会计,4
360,污染物,4
361,清洁,4
362,能源,4
363,出行,4
364,公司总裁,4
365,成交价,4
366,为元股,4
367,初,4
368,咨询服务,4
369,中介,4
370,钱震斌,4
371,吴琥,4
372,辞去,4
373,主要职责,4
374,医学院,4
375,住院医生,4
376,北京肿瘤医院,4
377,主任医师,4
378,北京大学,4
379,天公,4
380,诚,4
381,药业,4
382,否张,4
383,熟悉,4
384,凭证,4
385,选取,4
386,材料,4
387,投出,4
388,教育费,4
389,业绩考核,4
390,深化,3
391,落地,3
392,国外,3
393,外延,3
394,贝克曼,3
395,间质,3
396,评,3
397,量值,3
398,溯源,3
399,反馈,3
400,实验,3
401,基准,3
402,李述,3
403,喜梁,3
404,海涌,3
405,国家级,3
406,入选,3
407,跨越,3
408,血凝,3
409,生物科技,3
410,化学试剂,3
411,半成品,3
412,自产,3
413,民营,3
