,分词排序,词频
0,新能源,401
1,珈,379
2,伟,332
3,光伏,306
4,科技,239
5,电站,170
6,发电,135
7,照明,127
8,电力,125
9,华源,90
10,振发,90
11,深圳,80
12,能源,67
13,太阳能,67
14,工程,66
15,储能,63
16,金昌,60
17,石墨,60
18,烯,56
19,江苏,52
20,信息,52
21,阳光,50
22,香港,47
23,上海,47
24,材料,39
25,国源,35
26,高邮,35
27,振兴,35
28,土地,33
29,西坡,33
30,建设,32
31,储,30
32,草坪灯,30
33,丁孔贤,27
34,伟新能,25
35,振新,25
36,孔贤,24
37,否丁,23
38,品上,22
39,定边,22
40,中山,21
41,地面,21
42,李雳,21
43,锂电池,20
44,固态,20
45,孙,20
46,灏,19
47,轩,19
48,发光,19
49,电池,19
50,光电,19
51,正镶白旗,18
52,国创珈伟,17
53,兆瓦,17
54,银行,17
55,元珈伟,17
56,振,17
57,阿拉山口,16
58,万套,16
59,丁蓓,16
60,市灏轩,15
61,运维,15
62,房地产,15
63,大华,15
64,会计报表,15
65,如皋,14
66,智能,14
67,国,14
68,庭院灯,14
69,审查,14
70,振华,14
71,万年,14
72,创业板,13
73,节能,13
74,抚州,13
75,金湖振合,13
76,腾名,13
77,立信,12
78,互补,12
79,动力电池,12
80,汽车,12
81,福建,12
82,湖,12
83,成武,12
84,兴城,12
85,建筑物,12
86,第二个,12
87,龙能,12
88,半导体,11
89,资讯网,11
90,数据,11
91,宁夏,11
92,绿色,11
93,安徽,11
94,侵权,11
95,虞城,11
96,奇盛,11
97,厦门,11
98,建造,11
99,锂电,10
100,宿迁,10
101,锂离子,10
102,住房,10
103,变为,10
104,元瓦否,10
105,北京,10
106,苏州,10
107,伟隆能,9
108,新能,9
109,伟龙能,9
110,前海珈伟,9
111,电子商务,9
112,葫芦岛,9
113,金融机构,9
114,第个,9
115,用地,9
116,无效,9
117,元瓦,9
118,阳谷,9
119,海原县,9
120,淮南,9
121,如皋市,9
122,无锡,9
123,加拿大,9
124,侵权行为,9
125,工业区,8
126,农光,8
127,资源,8
128,灯,8
129,导电,8
130,装机,8
131,电费,8
132,并网,8
133,并网发电,8
134,文,8
135,所指,8
136,丁,8
137,南京,8
138,起任,8
139,经营收入,8
140,税额,8
141,杜蒙,8
142,买卖合同,8
143,段落,7
144,更名,7
145,甘肃,7
146,浆料,7
147,涂料,7
148,散热,7
149,环保,7
150,多家,7
151,电价,7
152,惠州市,7
153,龙岗,7
154,江西,7
155,太普,7
156,山东,7
157,湖振合,7
158,线路,7
159,高新技术,7
160,浙江,7
161,电光,7
162,网,7
163,日升,7
164,电气,7
165,否李雳,7
166,否黄小清,7
167,工作细则,7
168,离岸,7
169,带,6
170,人丁,6
171,龙岗区,6
172,坪地,6
173,发,6
174,智慧,6
175,智能家居,6
176,电子,6
177,惠州,6
178,到位,6
179,长江,6
180,电源,6
181,阿克陶县,6
182,菏泽,6
183,陕西省,6
184,第二十三,6
185,交割,6
186,对珈伟,6
187,自本,6
188,足额,6
189,对此,6
190,地方法院,6
191,商标,6
192,上诉,6
193,由股,6
194,榆林市,6
195,榆神,6
196,锦,6
197,振能,6
198,家电,6
199,白亮,6
200,陈琼阁,6
201,瑞波,6
202,钟宇,6
203,否茆胜,6
204,教育费,6
205,岔河镇,6
206,其因,6
207,大庆市,6
208,股珈伟,5
209,媒体,5
210,安防,5
211,环境,5
212,工业,5
213,新政,5
214,传统,5
215,组件,5
216,共享,5
217,态势,5
218,户外,5
219,人工,5
220,承租,5
221,小计元,5
222,电,5
223,否珈伟,5
224,增发,5
225,未达,5
226,谨慎,5
227,许可证,5
228,限度,5
229,库伦旗,5
230,静振,5
231,及珈伟,5
232,尊重,5
233,补缴,5
234,养老保险,5
235,保险,5
236,额外,5
237,核查,5
238,修订稿,5
239,由元,5
240,盱眙,5
241,吉阳,5
242,舞阳,5
243,单价,5
244,动力系统,5
245,复牌,5
246,股因,5
247,刘,5
248,吴童海,5
249,除净,5
250,乘以,5
251,蓝天,5
252,退税款,5
253,苏,5
254,技,5
255,兴泰,5
256,理解,4
257,加剧,4
258,送,4
259,建设工程,4
260,制备,4
261,街道,4
262,社区,4
263,南山区,4
264,南路,4
265,刘雪芬,4
266,陈延柏,4
267,黄翠冬,4
268,技术创新,4
269,施工,4
270,审慎,4
271,庭院,4
272,低压,4
273,室内,4
274,光源,4
275,半成品,4
276,战略性,4
277,新兴产业,4
278,健康,4
279,稳步增长,4
280,发电量,4
281,小时,4
282,发明专利,4
283,泰华,4
284,电力公司,4
285,再生能源,4
286,星际,4
287,应有,4
288,是否是,4
289,发改委,4
290,淮安市,4
291,外汇,4
292,分配比例,4
293,五家渠,4
294,名下,4
295,内因,4
296,送红股,4
297,中珈伟,4
298,伏应,4
299,向珈伟,4
300,尽可能,4
301,后本,4
302,分布式,4
303,应尽,4
304,为止,4
305,完,4
306,审,4
307,会师,4
308,报字,4
309,缓解,4
310,第三十三,4
311,审结,4
312,专利审查,4
313,第十九次,4
314,摘要,4
315,意见书,4
316,刘俊显,4
317,获授,4
318,第一个,4
319,襄汾县,4
320,夏邑,4
321,南通,4
322,电力设备,4
323,孔奇,4
324,停牌,4
325,中宁县,4
326,资管,4
327,廖骞,4
328,黄小清,4
329,谷,4
330,阳新,4
331,项目经理,4
332,广东,4
333,生物,4
334,电站设备,4
335,以换,4
336,专利权,4
337,装修费,4
338,模具,4
339,建筑安装,4
340,免税,4
341,三免,4
342,减半,4
343,野兽,4
344,海南州,4
345,固原,4
346,中能,4
347,墨竹工卡,4
348,洪泽,4
349,洪泽县,4
350,许可费,4
351,律师费,4
352,经营风险,3
353,为珈伟,3
354,兆,3
355,科苑,3
356,延伸,3
357,致力于,3
358,新疆,3
359,装机容量,3
360,陕西,3
361,电缆,3
362,渔光,3
363,速度,3
364,高质量,3
365,多元化,3
366,高品质,3
367,电动车,3
368,专用车,3
369,粉体,3
370,导热,3
371,核心技术,3
372,确立,3
373,动力,3
374,门铃,3
375,更好,3
376,电芯,3
377,批量生产,3
378,检测,3
379,显示屏,3
380,板,3
381,初,3
382,户,3
383,查正发,3
384,宁波,3
385,装置,3
386,国外,3
387,募,3
388,止本,3
389,业经,3
390,验资,3
391,先期,3
392,向储,3
393,长信,3
394,定向,3
395,超募,3
396,投向,3
397,武汉,3
398,否不,3
399,放缓,3
400,路灯,3
401,不达,3
402,国家电网,3
403,可行性研究,3
404,快速增长,3
405,竞争性,3
406,上网,3
407,定边县,3
408,预先,3
409,原定,3
410,风电,3
411,各国,3
412,远期,3
413,派元,3
414,透明,3
415,详细情况,3
416,另行,3
417,自该,3
418,限售期,3
419,含储,3
420,伏于,3
421,自动,3
422,失效,3
423,控股权,3
424,承,3
425,日个,3
426,正发,3
427,督促,3
428,法人地位,3
429,鱼塘,3
430,水面,3
431,征用,3
432,房屋产权,3
433,业务范围,3
434,社会保险,3
435,规章,3
436,税项,3
437,限电,3
438,购入,3
439,提醒,3
440,对珈,3
441,疑虑,3
442,无异议,3
443,组和,3
444,工程项目,3
445,新泽西州,3
446,加利福尼亚州,3
447,北区,3
448,发起,3
449,节能灯,3
450,名单,3
451,第十三次,3
452,获批,3
453,振武,3
454,电池组,3
455,新坦福,3
456,元否,3
457,众向,3
458,门,3
459,筹划,3
460,旗下,3
461,霍城县,3
462,图颢,3
463,科技开发,3
464,岳普湖县,3
465,前上,3
466,人为,3
467,女儿,3
468,女婿,3
469,工艺品,3
470,茆胜,3
471,国珈,3
472,深圳大学,3
