,分词排序,词频
0,江阴,295
1,海达,292
2,橡塑,221
3,汽车,190
4,科诺,110
5,精工,87
6,工程,80
7,宁波,75
8,橡胶,73
9,天窗,72
10,密封条,65
11,信息,64
12,车型,62
13,单价,57
14,轨道交通,54
15,材料,52
16,止水,50
17,江阴市,45
18,科技,40
19,密封件,36
20,中铁,36
21,部件,33
22,上海,31
23,钱振宇,29
24,密封,29
25,隧道,27
26,胡寿,27
27,整车,26
28,导轨,26
29,橡胶制品,25
30,轻量化,25
31,制造,25
32,号线,25
33,房地产,24
34,减振,24
35,建设,23
36,全景,23
37,环境,22
38,建筑,22
39,钱,22
40,铝制品,20
41,地铁,20
42,工业,20
43,兴海,19
44,组件,19
45,橡,19
46,银行,19
47,清华,18
48,新能源,18
49,机械,18
50,江苏,18
51,挤压,18
52,塑制品,18
53,航运,17
54,汽车部件,17
55,泡塑,16
56,型材,16
57,零件,16
58,创业板,16
59,集装箱,14
60,零部件,14
61,制造业,14
62,标,14
63,换,14
64,轨道,13
65,铁路,13
66,伟巴,13
67,斯特,13
68,铝,13
69,材,13
70,高新,13
71,建平,13
72,光伏,12
73,盾构,12
74,零配件,12
75,铝合金,12
76,邱,12
77,毅达,12
78,广州,11
79,麦基嘉,11
80,数据,11
81,恩坦华,11
82,三菱,11
83,交货,11
84,车顶,11
85,钱燕韵,11
86,消费,10
87,科耐,10
88,广汽,10
89,双,10
90,铝制,10
91,铝锭,10
92,无锡,10
93,成都,10
94,介绍,10
95,股限售,10
96,年生,10
97,朱建娟,9
98,时玺海,9
99,胡蕴,9
100,英纳法,9
101,玻,9
102,工程师,9
103,去年同期,9
104,土地,9
105,城际,9
106,时至,9
107,董监,9
108,基准日,9
109,公证,8
110,带动,8
111,延伸,8
112,车辆,8
113,供货,8
114,上汽,8
115,高精密,8
116,压块,8
117,周期性,8
118,深圳,8
119,物贸,8
120,北京,8
121,塑料制品,8
122,人钱,8
123,信守,8
124,吴天翼,8
125,外汇,8
126,放缓,7
127,太阳能,7
128,铝业,7
129,无锡市,7
130,装备,7
131,高铁,7
132,高性能,7
133,棒材,7
134,采购部,7
135,模具,7
136,环保,7
