,分词排序,词频
0,德威,428
1,材料,388
2,江苏,265
3,苏州,87
4,新材,78
5,电缆,75
6,信息,54
7,上海,52
8,科技,50
9,时利,46
10,线缆,45
11,周建明,43
12,高分子,39
13,燃料电池,39
14,江阴,35
15,次日,35
16,去年同期,32
17,料,31
18,太仓,30
19,海燕,29
20,香塘,28
21,工程,28
22,纤维,26
23,滁州,26
24,银行,26
25,树脂,25
26,绝缘,25
27,屏蔽,25
28,时利新,23
29,交联,23
30,特种,23
31,姚丽琴,23
32,万益,22
33,化工,21
34,香港,21
35,汽车,21
36,期自,21
37,首个,21
38,当日,21
39,否曹,21
40,华能,19
41,动力,18
42,常州,18
43,建华,17
44,诺德,16
45,安徽,16
46,数据,16
47,新能源,15
48,弹性体,15
49,制造,15
50,发明,15
51,瞿,15
52,扬州,14
53,南通,14
54,氢,14
55,陆仁芳,13
56,环保,13
57,捷报,13
58,太仓市,13
59,招商银行,13
60,工讯,12
61,硅烷,12
62,导电,12
63,高新技术,12
64,电缆料,12
65,创业板,12
66,额较,12
67,第八次,12
68,保理款,12
69,胡晓明,12
70,明兴,11
71,绝缘材料,11
72,高压,11
73,阻燃,11
74,超高压,11
75,制备,11
76,第三个,11
77,实施细则,11
78,建造,11
79,德润,10
80,湖南,10
81,电线电缆,10
82,合成,10
83,半,10
84,创业投资,10
85,长顺,10
86,售后,10
87,万晨清,9
88,建设,9
89,房地产,9
90,李晓,9
91,生物,9
92,环境,8
93,重庆,8
94,电,8
95,盛,8
96,拉萨,8
97,立信,8
98,国际贸易,8
99,卤,8
100,沙溪镇,8
101,沙南,8
102,东路,8
103,红梅,8
104,第五次,8
105,主,8
106,第一个,8
107,第二个,8
108,曹,8
109,吴,8
110,流失,7
111,斯特,7
112,技术开发区,7
113,热塑性,7
114,李,7
115,工业,7
116,薛黎霞,7
117,否姚,7
118,介元,7
119,锦纶,6
120,工讯售,6
121,贵州,6
122,孙,6
123,博新,6
124,聚乙烯,6
125,电力电缆,6
126,互联网,6
127,护套,6
128,能源,6
129,输变电,6
130,苏州市,6
131,充电,6
132,信用证,6
133,至股,6
134,由股,6
135,瞿一锋,6
136,文化,6
137,医药,6
138,南京,6
139,车间,6
140,短纤,5
141,低烟,5
142,聚酯,5
143,对苯二甲,5
144,丁二醇,5
145,技术改造,5
146,混合,5
147,研制,5
148,获奖,5
149,辐照,5
150,线路,5
151,应急,5
152,转贷,5
153,工商行政管理局,5
154,第六次,5
155,冯炳良,5
156,赵春雨,5
157,张,5
158,晶晶,5
159,完,5
160,陆介平,5
161,退休,5
162,锦,5
163,山东,5
164,中州,5
165,戴红兵,5
166,安会然,5
167,苏文,5
168,河南,5
169,可回收,5
170,除净,5
171,土地,5
172,搬迁,5
173,往来款项,5
174,款年,5
175,化工产品,4
176,失密,4
177,创新能力,4
178,农村,4
179,航天,4
180,特种车,4
181,聚氯乙烯,4
182,酸,4
183,石化,4
184,网站,4
185,杨力生,4
186,印爱杰,4
187,内外,4
188,线束,4
189,电线,4
190,低压,4
191,参照,4
192,电气,4
193,改性,4
194,服装,4
195,释放,4
196,聚烯烃,4
197,桩,4
198,发明专利,4
199,工商登记,4
200,软件,4
201,现款,4
202,工程项目,4
203,混动,4
204,签发,4
205,装置,4
206,汽车配件,4
207,限定,4
208,业经,4
209,会师,4
210,报字,4
211,超募,4
212,制冷,4
213,企业法人,4
214,半数以上,4
215,网络,4
216,投票,4
217,第十一次,4
218,第十五次,4
219,改为,4
220,获授,4
221,期股,4
222,股票数,4
223,为元股,4
224,扶贫,4
225,股日,4
226,顾振其,4
227,姚介元,4
228,宿迁,4
229,小额贷款,4
230,北京,4
231,淏,4
232,职工代表,4
233,教育,4
234,选取,4
235,样本,4
236,核对,4
237,油气,4
238,工程塑料,4
239,创,4
240,以换,4
241,加利福尼亚州,4
242,洛杉矶,4
243,高等法院,4
244,租回,4
245,生产费,4
246,某种,4
247,公用事业,4
248,必要产品,4
249,价格控制,4
250,职能,4
251,回租,4
252,基点,4
253,宝塔,4
254,太平洋,4
255,投产,3
256,分子,3
257,未达,3
258,共有,3
259,缩写,3
260,系列产品,3
261,化学交联,3
262,结晶,3
263,酯,3
264,四氢呋喃,3
265,通用,3
266,电力,3
267,检验,3
268,绝缘层,3
269,复合,3
270,装备,3
271,有助于,3
272,少,3
273,效益型,3
274,专注,3
275,一批,3
276,电子,3
277,国外,3
278,投向,3
279,发动机,3
280,两新,3
281,健康,3
282,康涅狄克州,3
283,推广应用,3
284,耐油,3
285,线用,3
286,料苏工,3
287,信鉴,3
288,焦烧,3
289,光伏,3
290,需向,3
291,游戏,3
292,与非,3
293,小计本,3
294,滚动,3
295,正盛,3
296,加氢,3
297,自营,3
298,第九次,3
299,检测,3
300,软硬件,3
301,危险品,3
302,化工原料,3
303,颁发,3
304,氢能,3
305,运输,3
306,中所,3
307,方可,3
308,派送,3
309,基本准则,3
310,指南,3
311,建立健全,3
312,摘要,3
313,第十九次,3
314,夏磊,3
315,协议书,3
316,远洋,3
317,东泽,3
318,株洲,3
319,第三期,3
320,综上,3
321,类限年,3
322,月售,3
323,信托,3
324,张东清,3
325,郑金梁,3
326,电缆厂,3
327,鸿业,3
328,配件,3
329,塑雅新,3
330,浮动工资,3
331,工作细则,3
332,主任委员,3
333,衡量,3
334,负面影响,3
335,发票,3
336,出库,3
337,保费,3
338,准备金,3
339,中央银行,3
340,按原,3
341,深圳,3
342,次级,3
343,低值易耗品,3
344,包装物,3
345,建筑物,3
346,机器设备,3
347,货单,3
348,国税函,3
349,所得税率,3
