,分词排序,词频
0,钢琴,554
1,海伦,392
2,宁波,110
3,制造,83
4,文化,72
5,信息,66
6,乐器,60
7,智能,56
8,教育,50
9,音乐,45
10,艺术,34
11,北仑区,31
12,互联网,30
13,结余,29
14,建设,27
15,超募,24
16,部件,23
17,国家级,23
18,立式,22
19,工程,22
20,传统,21
21,文化产业,21
22,台,21
23,扩建,20
24,击弦机,20
25,香港,19
26,创业板,19
27,起任,19
28,陈,18
29,四季,18
30,北仑,17
31,金海,17
32,路,16
33,北京,15
34,工程技术,15
35,钢琴家,15
36,投资总额,15
37,育星,14
38,罗曼,14
39,科技,14
40,资讯网,14
41,南雄市,13
42,维也纳,13
43,电钢琴,13
44,陈朝峰,13
45,制品,12
46,龙潭山,12
47,教学,12
48,高新技术,12
49,银行,12
50,三角钢琴,11
51,环保,11
52,开发技术,11
53,材料,11
54,芬,11
55,梅山,11
56,保税,11
57,港区,11
58,消费,10
59,营口,10
60,音乐会,10
61,环境,10
62,音乐教育,10
63,奥地利,10
64,工业园区,10
65,第七次,10
66,第六次,10
67,土地,10
68,中央,10
69,数据,9
70,工业,9
71,自立,9
72,上线,8
73,双海琴,8
74,壳,8
75,安信,8
76,中东欧,8
77,艺术节,8
78,机芯,8
79,技术开发区,8
80,名单,8
81,就职,8
82,建造,8
83,金江,7
84,伦琴,7
85,凳,7
86,七彩,7
87,网站,7
88,定位,7
89,国外,7
90,外销,7
91,电商,7
92,资源,7
93,举办,7
94,架,7
95,外汇,7
96,定期存款,7
97,检测,7
98,校企,7
99,捷克,7
100,之旅,7
101,套,7
102,调试,7
103,第十四次,7
104,应急,7
105,弗里希,7
106,同心,6
107,制造业,6
108,迪士尼,6
109,教室,6
110,外壳,6
111,外观,6
112,科学,6
113,实践,6
114,丝路,6
115,琴声,6
116,走过,6
117,配件,6
118,第九次,6
119,新建,6
120,由原,6
121,在内,6
122,第八次,6
123,顾客,6
124,赞助,6
125,房地产,6
126,嵌入,6
127,建筑物,6
128,工程师,6
129,三线,5
130,装潢,5
131,电镀厂,5
132,网络,5
133,率先,5
134,个性化,5
135,软件,5
136,大师,5
137,旅游,5
138,知名,5
139,宣传部,5
140,技术创新,5
141,对比,5
142,展,5
143,比赛,5
144,俄罗斯,5
145,中介,5
146,第十一次,5
147,第十二次,5
148,核查,5
149,内销,5
150,元后,5
151,派发,5
152,巴赫,5
153,学校,5
154,陈斌,5
155,卓,5
156,锋,5
157,送货,5
158,装船,5
159,商品销售,5
160,川音,5
161,经贸,5
162,把握,4
163,产品开发,4
164,步伐,4
165,更名,4
166,石定靖,4
167,媒体,4
168,瑞华,4
169,孙玉霞,4
170,孙业亮,4
171,欧洲,4
172,经贸合作,4
173,国家火炬计划,4
174,计算机辅助,4
175,共有,4
176,宣传,4
177,班,4
178,线上,4
179,产业结构,4
180,发明专利,4
181,德国,4
182,坦,4
183,承办,4
184,爱好者,4
185,交流,4
186,苏州,4
187,西,4
188,音妙,4
189,琴行,4
190,带,4
191,尾款,4
192,租用,4
193,面积,4
194,第十三次,4
195,现于,4
196,延伸,4
197,延迟,4
198,铺底,4
199,尚需,4
200,开设,4
201,危害,4
202,启蒙教育,4
203,编日,4
204,摘要,4
205,对此,4
206,公示,4
207,健康,4
208,主任委员,4
209,人民,4
210,事业,4
211,扶贫,4
212,李耀强,4
213,陈良君,4
214,来访,4
215,熟悉,4
216,混合,4
217,签收,4
218,单据,4
219,报关,4
220,保险费,4
221,归类,4
222,教育费,4
223,宏声,4
224,粮局,4
225,服务中心,4
226,科技局,4
227,委,4
228,新兴产业,4
229,鄞州,4
230,王琼,3
231,呈现,3
232,院校,3
233,开发新,3
234,五金厂,3
235,大榭,3
236,电子信箱,3
237,海淀区,3
238,研制,3
239,动漫,3
240,启蒙,3
241,智能化,3
242,交货,3
243,销售业务,3
244,带动,3
245,技术改造,3
246,逐步形成,3
247,数字化,3
248,工艺流程,3
249,人工成本,3
250,态势,3
251,娱乐,3
252,消费市场,3
253,谋求,3
254,增量,3
255,结构调整,3
256,合作意向,3
257,卓越,3
258,摆脱,3
259,特性,3
260,行业协会,3
261,鉴定,3
262,列入,3
263,荣获,3
264,有益,3
265,高度,3
266,信息化,3
267,服务型,3
268,实物,3
269,手段,3
270,结构性,3
271,环节,3
272,佩卓夫,3
273,弦,3
274,很大,3
275,上海,3
276,深圳,3
277,各大,3
278,邀请,3
279,巡演,3
280,游戏,3
281,增设,3
282,汽车配件,3
283,五金模具,3
284,定向,3
285,关键因素,3
286,追索权,3
287,鼓尚,3
288,新厂区,3
289,北海,3
290,投向,3
291,加剧,3
292,当中,3
293,定制,3
294,划转,3
295,甬发,3
296,已获,3
297,筹划,3
298,天健,3
299,节约,3
300,付出,3
301,现金管理,3
302,以此,3
303,超越,3
304,透明度,3
305,经天健,3
306,住房,3
307,日日,3
308,爱乐,3
309,收集,3
310,环境保护,3
311,制订,3
312,门,3
313,抗台,3
314,浙江,3
315,测量,3
316,操作,3
317,边疆,3
318,就业,3
319,甘娜,3
320,股外,3
321,王伟,3
322,周英,3
323,陆鸣,3
324,初,3
325,姚维芳,3
326,汉明,3
327,简历,3
328,见本节,3
329,人力资源,3
330,劳动合同,3
331,保险,3
332,建立健全,3
333,工作细则,3
334,面向市场,3
335,设有,3
336,利益者,3
337,日年,3
338,工作效率,3
339,偏离,3
340,函证,3
341,保费,3
342,准备金,3
343,生物,3
344,油气,3
345,中央银行,3
346,数在,3
347,投出,3
348,公平交易,3
349,物料,3
350,养老保险,3
351,余值,3
352,分类单位,3
353,年薪,3
354,外经贸,3
355,企,3
356,土地税,3
357,商务局,3
358,服务业,3
359,发展局,3
360,主管人员,2
361,动态,2
362,大中城市,2
363,开,2
364,战略重点,2
365,各层次,2
366,潜在用户,2
367,项目风险,2
368,接受程度,2
369,广度,2
370,股股,2
371,永盟,2
372,云乐,2
373,外文,2
374,网址,2
375,选定,2
376,证券部,2
377,机构名称,2
378,比上,2
379,统一标准,2
380,否一,2
381,文,2
382,德隆,2
383,弗尔,2
384,开启,2
385,静音,2
386,以销定产,2
387,缩短,2
388,明确规定,2
389,电子商务,2
390,更好,2
391,外延,2
392,化解,2
393,缓解,2
394,释放,2
395,专注,2
396,美日,2
397,等国,2
398,工业化生产,2
399,特有,2
400,一整套,2
401,项新,2
402,申请专利,2
403,年底,2
404,著作权,2
405,推荐,2
406,亮点,2
407,知名度,2
408,配合,2
409,大赛,2
410,稳步,2
411,顺应,2
412,潮流,2
413,在线,2
414,同步,2
415,单价,2
416,上涨,2
417,不断扩大,2
418,致使,2
419,步入,2
420,常态,2
421,转向,2
422,变局,2
423,内功,2
424,终端,2
425,创意,2
426,系海艺,2
427,网络科技,2
428,转化成,2
429,兑现,2
430,执行力,2
431,高起点,2
432,限度,2
433,高新科技,2
434,产品品质,2
435,指明,2
436,第一家,2
437,文化部,2
438,起草,2
439,致力于,2
440,荣誉,2
441,法国,2
442,大奖,2
443,评为,2
444,色彩,2
445,最高级别,2
446,奖项,2
447,参,2
448,琴,2
449,排名,2
450,北美,2
451,斩获,2
452,沈阳,2
453,音乐学院,2
454,高等院校,2
455,供给,2
456,侧,2
457,尝试,2
458,高素质,2
459,实用型,2
460,专业人才,2
461,优势互补,2
462,互惠,2
463,共赢,2
464,高校,2
465,教学科研,2
