,分词排序,词频
0,江门市,278
1,科恒,262
2,科技,235
3,材料,162
4,浩能,109
5,万国,69
6,稀土,66
7,发光,65
8,信息,51
9,电池,45
10,江,42
11,锂离子,38
12,银行,37
13,建军,36
14,正极,34
15,新能源,34
16,广东,34
17,数据,34
18,锂电,32
19,科明诺,32
20,超募,28
21,工程,27
22,扩建,27
23,程,27
24,解禁,26
25,英德,25
26,能源,24
27,江门,24
28,智能,23
29,陈荣,23
30,无可,22
31,强制执行,22
32,杭州,20
33,深圳,20
34,联腾,19
35,资讯网,19
36,高新技术,19
37,自动化,18
38,药业,18
39,萤科,18
40,协议书,18
41,广州,18
42,江唐芬,18
43,德隆,17
44,涂布机,17
45,建设,16
46,东莞市,16
47,新鑫,16
48,北京,16
49,广证,16
50,元系本,16
51,配偶,16
52,健康,16
53,湖南,15
54,江海区,15
55,房地产,15
56,拨款,15
57,科明,14
58,睿,14
59,智慧,14
60,锂电池,13
61,瑞孚信,13
62,惠州,13
63,存入,13
64,医疗,13
65,动力电池,13
66,雅城,12
67,易德,12
68,滘,12
69,土地,12
70,结项,12
71,三十六个,12
72,唐芬,12
73,震雄,12
74,当选,12
75,格力,12
76,锂,11
77,科特,11
78,九州,11
79,浩德,11
80,惠州市,11
81,下滑,11
82,创业板,11
83,粤,10
84,英德市,10
85,装备,10
86,电子,10
87,宁波,10
88,二号,10
89,触发,10
90,工业园区,10
91,幢,10
92,保字,10
93,科泓润,9
94,立信,9
95,挤压,9
96,博大,9
97,睿尔思,9
98,审验,9
99,验资,9
100,坪,9
101,钴,8
102,江苏,8
103,合纵,8
104,三元,8
105,阿尔法,8
106,软件,8
107,世捷,8
108,工程项目,8
109,会师,8
110,报字,8
111,上海,8
112,一号,8
113,投资规模,7
114,诚捷,7
115,南昌,7
116,绿苑,7
117,镍,7
118,工业,7
119,台,7
120,银行贷款,7
121,技术改造,7
122,工业园,7
123,困难职工,7
124,吴娟,7
125,男年生,7
126,生,7
127,建筑物,7
128,关键技术,7
129,转光,7
130,合同书,7
131,产品价格,6
132,誉辰,6
133,深汕浩能,6
134,南昌市,6
135,南通,6
136,领鑫,6
137,创恒,6
138,盐,6
139,头,6
140,开具,6
141,原先,6
142,产线,6
143,及募,6
144,结余,6
145,交割日,6
146,起满,6
147,第九条,6
148,竞业禁止,6
149,苏建,6
150,湖北,6
151,倍数,6
152,建造,6
153,教育费,6
154,信息化,6
155,署年,6
156,山区,6
157,报高,6
158,李树生,5
159,公司业绩,5
160,制造,5
161,创业投资,5
162,机械设备,5
163,武汉,5
164,易捷源,5
165,兴,5
166,南路,5
167,唐秀雷,5
168,酸,5
169,燃料电池,5
170,信息产业,5
171,招商银行,5
172,业经,5
173,下调,5
174,节能灯,5
175,明显改善,5
176,相差,5
177,经济损失,5
178,第二层,5
179,楼,5
180,唐维,5
181,江与,5
182,争雄,5
183,续聘,5
184,中山大学,5
185,环保,5
186,实施细则,5
187,联星,5
188,除净,5
189,集成,5
190,金泉,5
191,补偿款,5
192,农村,5
193,商业银行,5
194,外海,5
195,金元,5
196,支波,5
197,银隆,5
198,汽车产业,4
199,快速增长,4
200,区浩能,4
201,指南,4
202,工业区,4
203,钟宇,4
204,量产,4
205,膜,4
206,高速,4
207,发明专利,4
208,著作权,4
209,深汕,4
210,华兴,4
211,东滨,4
212,投资额,4
213,年份,4
214,号文,4
215,资源,4
216,更好,4
217,变为,4
218,已满,4
219,月浩能,4
220,根据上述,4
221,责任人,4
222,程红芳,4
223,同类,4
224,市场价,4
225,有无,4
226,楼震雄,4
227,撤回,4
228,万涛,4
229,工商管理,4
230,副会长,4
231,工商联,4
232,任教,4
233,创办,4
234,左,4
235,海波,4
236,日日,4
237,同年,4
238,五邑,4
239,助剂,4
240,缺乏,4
241,高新,4
242,核对,4
243,选取,4
244,样本,4
245,函证,4
246,生物,4
247,油气,4
248,江源,4
249,以换,4
250,养老保险,4
251,计征,4
252,第一批,4
253,科明昊,4
254,禧,4
255,光效,4
256,环境友好,4
257,制备,4
258,第二批,4
259,小微,4
260,高性能,4
261,元系,4
262,奖,4
263,服务业,4
264,上表,4
265,年原,4
266,马丽琴,3
267,金属,3
268,电动汽车,3
269,加剧,3
270,汽车,3
271,追求,3
272,动力,3
273,易,3
274,国信,3
275,之原,3
276,负极,3
277,联系人,3
278,网站,3
279,王丹,3
280,台风,3
281,毁损,3
282,近年,3
283,光学,3
284,战略性,3
285,新兴产业,3
286,来看,3
287,照明,3
288,专注,3
289,创新能力,3
290,经济效益,3
291,得益于,3
292,超越,3
293,增长点,3
294,共项,3
295,外延,3
296,顺利,3
297,人工,3
298,止本,3
299,发起,3
300,信用证,3
301,定期存单,3
302,投向,3
303,能效,3
304,指令,3
305,中介,3
306,否不,3
307,募,3
308,最新,3
309,第十六次,3
310,第二十四,3
311,登记表,3
312,派元,3
313,以股,3
314,凌燕春,3
315,拆除,3
316,无效,3
317,二审,3
318,无需,3
319,解读,3
320,基本准则,3
321,获批,3
322,白石,3
323,筹划,3
324,日程,3
325,朱平波,3
326,中央,3
327,天津,3
328,教授级,3
329,高工,3
330,全国工商联,3
331,执委,3
332,总商会,3
333,广东省政协,3
334,复旦大学,3
335,化学系,3
336,本科毕业,3
337,留校,3
338,创始人,3
339,吉,3
340,周林彬,3
341,建华,3
342,博士,3
343,学会,3
344,职工代表,3
345,齐力,3
346,教育,3
347,人才培养,3
348,召集,3
349,尽可能,3
350,自主经营,3
351,充足,3
352,会员单位,3
353,开户银行,3
354,评定,3
355,明细表,3
356,发票,3
357,签收,3
358,保费,3
359,准备金,3
360,中央银行,3
361,益,3
362,助剂厂,3
363,改号,3
364,自制,3
365,半成品,3
366,额外,3
367,机器设备,3
368,缴费,3
369,商品销售,3
370,发运,3
371,政策性,3
372,厅,3
373,所得税法,3
374,减免税,3
375,小型,3
376,微利,3
377,复新,3
378,莫业文,3
379,富士,3
380,母粒,3
381,省,3
382,产学研,3
383,储能,3
384,高比能,3
385,工厂,3
386,江财,3
387,工号,3
388,粤科,3
389,高新区,3
390,补贴款,3
391,山,3
392,赊销,3
393,外汇,3
394,中国银行,3
395,甲方,3
396,龙岗区,3
397,质保,3
398,人士,2
399,理解,2
400,灵活,2
401,推行,2
402,业内,2
403,卓越,2
404,永恒,2
405,超期,2
406,已有,2
407,设置,2
408,保荐人,2
409,雅城浩能,2
410,明诺,2
411,聚,2
412,兰德,2
413,电解质,2
414,嵌入,2
415,复合,2
416,外文,2
417,互联网,2
418,网址,2
419,电子信箱,2
420,媒体,2
421,福田区,2
422,统一标准,2
423,灭失,2
424,迅猛,2
425,放量,2
426,辊,2
427,出货量,2
428,光源,2
429,源纵,2
430,宿舍楼,2
431,高校,2
432,电压,2
433,激光,2
434,极耳,2
435,切割机,2
436,正负极,2
437,多台,2
438,涂布,2
439,双层,2
440,超高速,2
441,高精度,2
442,高智能,2
443,烘干,2
444,速度,2
445,同行,2
446,领跑,2
447,技术创新,2
448,万家,2
449,光电,2
450,华东地区,2
451,实物,2
452,系由本,2
453,第一名,2
454,第二名,2
455,第三名,2
456,第四名,2
457,第五名,2
458,增大,2
459,年期,2
460,元元,2
461,系本,2
462,售出,2
463,去向,2
464,公司债,2
