,分词排序,词频
0,天翔,587
1,成都,563
2,环境,463
3,环保,428
4,科技,178
5,圣骑士,143
6,工程,116
7,邓亲华,114
8,四川,104
9,天保,100
10,天圣,85
11,制造,80
12,杭州,77
13,邓翔,75
14,信息,74
15,污泥,72
16,简阳市,61
17,青白江区,59
18,大庆,57
19,污水处理,54
20,安德里,52
21,茨,52
22,建设,51
23,污水,50
24,简阳,50
25,编码,46
26,工业,44
27,资讯网,44
28,水务,43
29,德国,43
30,离心机,42
31,机械设备,39
32,华科技,39
33,房地产,39
34,银行,38
35,装置,36
36,节能,35
37,亲,35
38,中欧,34
39,装备,34
40,华世洁,33
41,欧绿保,32
42,创业板,31
43,北京,31
44,企业法人,31
45,汇同,30
46,供排水,30
47,核发,30
48,水,28
49,葛博,27
50,处理厂,27
51,暂无,27
52,市政,26
53,排放,26
54,油田,25
55,土地,24
56,分离,22
57,天盛,22
58,水电,22
59,不动产,22
60,中德,21
61,监测,21
62,建造,21
63,翔盟,21
64,华翔,20
65,生态,20
66,环境保护,20
67,亲华,20
68,转鼓,19
69,固体废物,19
70,管理局,19
71,陷入,18
72,施工,18
73,机械,18
74,悦佳,18
75,翔易,17
76,机器设备,17
77,同源,17
78,巴中,17
79,判决书,17
80,有机,16
81,困境,16
82,材料,16
83,新乡市,16
84,上海,15
85,废弃物,15
86,含油,15
87,技术改造,15
88,川,15
89,中海,15
90,绿野,15
91,汇凯水,14
92,网站,14
93,数据,14
94,脱水,14
95,污染,14
96,邓亲,14
97,遂宁市,14
98,格林,14
99,植瑞,14
100,深圳,14
101,达阔,14
102,镇,13
103,乡镇,13
104,青岛,13
105,石油,13
106,危机,13
107,经营权,13
108,民间,13
109,售后,13
110,螺旋,13
111,注入,13
112,联合体,13
113,尽快恢复,13
114,尽快,13
115,绿源,13
116,悦文,13
117,扶贫,13
118,日月,13
119,链断裂,12
120,发明,12
121,控股权,12
122,水务局,12
123,仪器仪表,12
124,婷婷,12
125,日为,12
126,基准日,11
127,污染物,11
128,资源,11
129,综合治理,11
130,水轮,11
131,奥地利,11
132,投标,11
133,第类,11
134,引入,11
135,化解,11
136,管网,11
137,丰源,11
138,规章制度,11
139,邓翔许,11
140,建筑物,11
141,为元股,11
142,限售期,11
143,永中,10
144,服务业,10
145,餐厨,10
146,废水,10
147,处理工艺,10
148,水质,10
149,电力,10
150,水污染,10
151,借贷,10
152,回租,10
153,第号川,10
154,卧螺,10
155,凤泉区,10
156,接管,10
157,工商行政管理局,10
158,技术推广,10
159,配件,10
160,首期,10
161,建设工程,10
162,华信,10
163,质保,10
164,承包方,10
165,国际贸易,9
166,城镇,9
167,磷,9
168,罚息,9
169,垃圾,9
170,再生,9
171,废物,9
172,油气,9
173,煅烧炉,9
174,推料,9
175,密封,9
176,转运,9
177,石盘,9
178,退出,9
179,废气,9
180,新乡,9
181,东证,9
182,专用设备,9
183,惠畅,9
184,筹措,9
185,德,9
186,和解,9
187,宽大,9
188,平米,9
189,青白江,9
190,生物,9
191,保险费,9
192,仲颖,9
193,保重,8
194,装,8
195,固体,8
196,修复,8
197,浓缩,8
198,发电机,8
199,焊接,8
200,下半年,8
201,出让,8
202,商标,8
203,机器,8
204,过滤机,8
205,分离器,8
206,配合,8
207,槽车,8
208,抗,8
209,食品,8
210,遂宁,8
211,成套设备,8
212,技术咨询,8
213,工程设计,8
214,磋商,8
215,切实可行,8
216,制定方案,8
217,被执行人,8
218,失信,8
219,吕炜,8
220,余庆,8
221,否杨武,8
222,宏华,8
223,太古,8
224,极致,8
225,由本,8
226,可供使用,8
227,时起,8
228,过滤,7
229,大同,7
230,油气田,7
231,环境监测,7
232,环境治理,7
233,出水,7
234,开采,7
235,农村,7
236,无害化,7
237,基诺,7
238,水轮机,7
239,一带,7
240,一路,7
241,香港,7
242,工程项目,7
243,真空,7
244,组建,7
245,权证,7
246,蒸汽,7
247,工装,7
248,叶片,7
249,压力容器,7
250,产业园,7
251,担保责任,7
252,西南,7
253,验资,7
254,人为,7
255,维修,7
256,攀钢,7
257,电子产品,7
258,信守,7
259,解禁,7
260,第一个,7
261,高新技术,7
262,上诉,7
263,建筑工程,7
264,雷斯,7
265,承租,7
266,每月,7
267,月租金,7
268,车间,7
269,实施细则,7
270,彭文胜,7
271,自力,7
272,刘兴祥,7
273,就职,7
274,西部,7
275,信息化,7
276,金融机构,7
277,定向,7
278,绿,7
279,年本,6
280,国际化,6
281,压裂,6
282,返排,6
283,液,6
284,合资,6
285,脱盐,6
286,危险,6
287,消化,6
288,零,6
289,能耗,6
290,气体,6
291,油,6
292,废,6
293,天府,6
294,汇票,6
295,石油化工,6
296,计算机,6
297,净化,6
298,修理,6
299,活塞,6
300,债务纠纷,6
301,质权,6
302,公司债务,6
303,中央,6
304,四海,6
305,医药,6
306,签订合同,6
307,电机,6
308,颁发,6
309,五金产品,6
310,大道,6
311,沙市,6
312,礼瀚,6
313,黄涛,6
314,德阳,6
315,万千瓦,6
316,函证,6
317,信托,6
318,中泰,6
319,创盈,6
320,华栋,6
321,列入,6
322,欧盛腾水,6
323,不含税,6
324,成稽,6
325,后限售,6
326,海瑞,6
327,嘉鹏翔,6
328,交通,6
329,此次,6
330,为个,6
331,教育费,6
332,合作项目,6
333,每期,6
334,保全费,6
335,欧盛腾,5
336,固液,5
337,汇凯,5
338,大同路,5
339,互联网,5
340,文明,5
341,易态,5
342,工业园区,5
343,整治,5
344,流域,5
345,浓缩机,5
346,液压,5
347,石化,5
348,成套,5
349,生态环境,5
350,防治,5
351,农业,5
352,固体废弃物,5
353,矿物油,5
354,绿色,5
355,无力,5
356,权第,5
357,工业用地,5
358,核定,5
359,机,5
360,发电机组,5
361,应急,5
362,许可证,5
363,催收,5
364,筹划,5
365,山水,5
366,建设期,5
367,顺利,5
368,供水,5
369,厂及,5
370,城区,5
371,安居区,5
372,协议书,5
373,麦克库,5
374,伯,5
375,年化,5
376,致使,5
377,资不抵债,5
378,吸附,5
379,履行合同,5
380,如期,5
381,核电,5
382,涉嫌,5
383,巴州区,5
384,机组,5
385,是因为,5
386,化工,5
387,雷毅,5
388,柯明,5
389,房产,5
390,青羊区,5
391,路,5
392,无需,5
393,或许,5
394,危险品,5
395,公众,5
396,货运,5
397,全力,5
398,阿维斯,5
399,西拉,5
400,子,5
401,款年,5
402,暂未,5
403,法律文书,5
404,市场价,5
405,银承,5
406,项目管理,5
407,每季度,5
408,公司员工,5
409,氨氮,5
410,厂界,5
411,建有,5
412,获,5
413,王培勇,5
414,辞去,5
415,段宏,5
416,东,5
417,娄雨雷,5
418,范,5
419,男出,5
420,生于,5
421,倍数,5
422,验号,5
423,审验,5
424,其他支出,5
425,联邦,5
426,税州税,5
427,中垣,5
428,四期,5
429,中安租,5
430,物为,5
431,购费元,5
432,物留,5
433,补助款,5
434,否邓,5
435,第二个,5
436,冲销,4
437,滞纳金,4
438,延伸,4
439,固废,4
440,干化,4
441,回,4
442,采,4
443,危险废物,4
444,传统,4
445,少,4
446,在线,4
447,自动,4
448,反向,4
449,清淤,4
450,泥浆,4
451,结构件,4
452,新建,4
453,承接,4
454,去年同期,4
455,不能偿还,4
456,缓慢,4
457,十九,4
458,年底,4
459,提标,4
460,名单,4
461,清理,4
462,停滞,4
463,系本,4
464,担保人,4
465,未付,4
466,面积,4
467,权第号,4
468,化学,4
469,破碎机,4
470,轴承,4
471,水合,4
472,推,4
473,料器,4
474,转轮,4
475,树脂,4
476,卸料,4
477,废料,4
478,委,4
479,无条件,4
480,华及,4
481,现阶段,4
482,睿汇,4
483,海纳,4
484,科技产业,4
485,裁决,4
486,复牌,4
487,城乡建设,4
488,中建,4
489,恢复正常,4
490,裂解,4
491,脱困,4
492,调查结果,4
493,软件,4
494,弧焊,4
495,轴,4
496,净流量,4
497,原名,4
498,李泳,4
499,化学品,4
500,特拉华州,4
501,威斯康星州,4
502,第街,4
503,伊利诺伊州,4
504,美国公司,4
505,改为,4
506,工商行政,4
507,质量技术监督局,4
508,翔实,4
509,大庆市,4
510,电气设备,4
511,污油,4
512,泥,4
513,勘察,4
514,房屋建筑,4
515,水利水电,4
516,咨询服务,4
517,配方,4
518,二年,4
519,用地,4
520,难度,4
521,希望,4
522,组和,4
523,调解,4
524,号本,4
525,平安,4
526,厦门,4
527,股份有限,4
528,裁定书,4
529,京,4
530,益,4
531,汉富,4
532,海淀区,4
533,紧张,4
534,物业,4
535,嘉,4
536,博文,4
537,教育,4
538,省,4
539,套,4
540,工作日,4
541,上述情况,4
542,王军,4
543,证监会,4
544,何丹,4
545,第六次,4
546,崔树清,4
547,风险投资,4
548,余雅彬,4
549,年任,4
550,环境工程,4
551,温江区,4
552,起任,4
553,否王军,4
554,延迟,4
555,当日,4
556,股票交易,4
557,股均,4
558,摘要,4
559,后本,4
560,股占,4
561,嵌入,4
562,混合,4
563,期后,4
564,办公设备,4
565,未决,4
566,安徽,4
567,中安,4
568,城乡规划,4
569,工程验收,4
570,留购,4
571,止自,4
572,第二批,4
573,第一批,4
574,国库,4
575,资本金,4
576,同受,4
577,众合,4
578,收益权,4
579,陈敏,3
580,不派,3
581,收集,3
582,展开,3
583,众合智控,3
584,绿保,3
585,联系人,3
586,东城区,3
587,罗东,3
588,先罗洁,3
589,机构名称,3
590,新风,3
591,净化系统,3
592,系统集成,3
593,给水,3
594,热水,3
595,洗,3
596,氧化,3
597,石墨,3
598,烯,3
599,油水,3
600,广泛应用,3
601,天然气,3
602,催化,3
603,排水,3
604,技术装备,3
605,水体,3
606,水解,3
607,厌氧,3
608,热电,3
609,联产,3
610,能源,3
611,资源化,3
612,大幅度,3
613,资金周转,3
614,现状,3
615,健全,3
616,条例,3
617,出台,3
618,排污,3
619,相继,3
620,走,3
621,奠定,3
622,激烈,3
623,可回收,3
624,服务中心,3
625,宣传,3
626,长江,3
627,广州,3
628,安全性,3
629,转化,3
630,售后服务,3
631,科学,3
632,纯碱,3
633,搅拌机,3
634,建筑,3
635,电站,3
636,外观设计,3
637,汽车,3
638,面,3
639,润滑,3
640,立式,3
641,级别,3
642,剥离,3
643,停牌,3
644,后于,3
645,妥善解决,3
646,河南省,3
647,中标人,3
648,期年,3
649,选址,3
650,暂缓,3
651,主办方,3
652,公开招标,3
653,为预,3
654,候选人,3
655,到位,3
656,甘肃,3
657,凉州区,3
658,丹佛,3
659,第三十四,3
660,投运,3
661,挥发性,3
662,工程进度,3
663,采取措施,3
664,放射性,3
665,集体,3
666,接到,3
667,电视,3
668,游戏,3
669,打捆,3
670,放款,3
671,工业园,3
672,清江,3
673,口镇,3
674,宁寺,3
675,镇场,3
676,正其,3
677,机电设备,3
678,基础设施,3
679,室,3
680,失效,3
681,堆焊,3
682,埋,3
683,技,3
684,外资,3
685,科技实业,3
686,大气污染,3
687,腾飞,3
688,化工产品,3
689,非法,3
690,集资,3
691,工程施工,3
692,种植,3
693,再生资源,3
694,环境污染,3
695,水电站,3
696,亩,3
697,派发,3
698,大宗,3
699,中介机构,3
700,确实,3
701,半年,3
702,资金紧张,3
703,无异议,3
704,尽早,3
705,回收率,3
706,督促,3
707,有无,3
708,情,3
709,浙商,3
710,金汇,3
711,书,3
712,闽,3
713,江苏,3
714,调解书,3
