,分词排序,词频
0,上海,377
1,安硕,342
2,信息技术,255
3,信息,108
4,科技,72
5,银行,65
6,软件,56
7,北京,39
8,数据,36
9,高勇,34
10,高鸣,33
11,金融机构,28
12,征信,28
13,金融信息,28
14,苏州,25
15,软件开发,24
16,创业板,23
17,互联网,20
18,腾华,20
19,商业银行,19
20,软件技术,19
21,翟涛,19
22,宏远,17
23,贵德,17
24,谴责,17
25,王和忠,16
26,工程,16
27,服务业,15
28,万份,15
29,复之硕,14
30,农村,14
31,一百四十,14
32,七条,14
33,通报批评,14
34,管理系统,13
35,创业投资,13
36,金融服务,13
37,高新技术,13
38,六个月,13
39,侯小东,13
40,第条,13
41,环境,12
42,信息化,12
43,软科,12
44,商务,12
45,安硕易民,12
46,建设,11
47,综安,11
48,祝若川,11
49,软件产品,10
50,经济损失,10
51,扶贫,10
52,房地产,10
53,非银行,9
54,季节性,9
55,西昌,9
56,网络,9
57,信贷风险,9
58,失控,9
59,益盛,8
60,大信,8
61,产品线,8
62,贡献,8
63,附属,8
64,获授,8
65,到达,8
66,技术创新,7
67,第四季度,7
68,江汉,7
69,杨浦区,7
70,国泰,7
71,路,7
72,数据服务,7
73,商业机会,7
74,陆衍,7
75,王蔚松,7
76,证券交易,7
77,复旦大学,7
78,魏治毅,7
79,胡鸿高,7
80,本科毕业,7
81,博士,7
82,生物,7
83,第三季度,6
84,人力,6
85,君联,6
86,睿智,6
87,数科,6
88,重庆,6
89,信贷,6
90,室,6
91,定制,6
92,项目管理,6
93,系统集成,6
94,账,6
95,江苏,6
96,兀峰,6
97,复旦,6
98,额外,6
99,补缴,6
100,教育,6
101,赵孟全,6
102,南京大学,6
103,否高勇,6
104,建造,6
105,银行业,5
106,业务量,5
107,近年,5
108,应诉,5
109,助居,5
110,计算机系统,5
111,集成,5
112,深圳,5
113,数据仓库,5
114,商业智能,5
115,人高勇,5
116,介绍,5
117,专注,5
118,监管部门,5
119,致力于,5
120,资源,5
121,有所提高,5
122,年报,5
123,日年,5
124,科技园,5
125,系本,5
126,清理,5
127,安硕织,5
128,张,5
129,租赁经营,5
130,住房,5
131,摘要,5
132,苏州市,5
133,材料,5
134,山西,5
135,奉军,5
136,年生,5
137,数学,5
138,上海财经大学,5
139,会计学院,5
140,首道,5
141,工作量,5
142,油气,5
143,天津,5
144,日个,5
145,难度,4
146,人力资源,4
147,专业性,4
148,银行业务,4
149,易,4
150,一代,4
151,易助融,4
152,所得税法,4
153,媒体,4
154,郭义,4
155,喜,4
156,毕文涛,4
157,著作权,4
158,量化,4
159,协助,4
160,出资额,4
161,江西,4
162,广西,4
163,安融,4
164,曹丰,4
165,复权,4
166,采取有效,4
167,独资,4
168,合资,4
169,合作经营,4
170,入股,4
171,予,4
172,有损,4
173,索赔,4
174,社保,4
175,赔偿款,4
176,应予以,4
177,失效,4
178,应用软件,4
179,电子,4
180,开庭审理,4
181,送达,4
182,张蓓,4
183,张怀,4
184,黄荣南,4
185,李刚,4
186,计算机科学,4
187,简历,4
188,资讯网,4
189,测算,4
190,畅达,4
191,信息管理,4
192,结果表明,4
193,创新能力,3
194,管理效率,3
195,立项,3
196,长,3
197,均衡,3
198,要素,3
199,败诉,3
200,决定书,3
201,计算机,3
202,城市信用社,3
203,平安,3
204,网站,3
205,第一季度,3
206,第二季度,3
207,促使,3
208,熟悉,3
209,稳步增长,3
210,四季度,3
211,紧密,3
212,名单,3
213,责任人,3
214,拖延,3
215,最新,3
216,资源管理,3
217,难以完成,3
218,游戏,3
219,信贷管理,3
220,小贷,3
221,更好,3
222,留住,3
223,数据业务,3
224,贵州,3
225,透明,3
226,元不送,3
227,大宗,3
228,价,3
229,利益冲突,3
230,人高鸣,3
231,核定,3
232,主管部门,3
233,代,3
234,第五次,3
235,涉案,3
236,符合条件,3
237,已有,3
238,为关,3
239,联方,3
240,金融风险,3
241,脱贫,3
242,传票,3
243,孙,3
244,孙峰,3
245,计算中心,3
246,工程师,3
247,项目经理,3
248,同济大学,3
249,否祝若川,3
250,否王,3
251,为元股,3
252,公正,3
253,利益者,3
254,测试报告,3
255,保费,3
256,准备金,3
257,中央银行,3
258,益,3
259,计算方法,3
260,低值易耗品,3
261,保险费,3
262,换取,3
263,模型,3
264,证书编号,3
265,土地,3
266,代扣代缴,3
267,开发技术,3
268,赊销,3
269,首个,3
270,主管人员,2
271,金融业务,2
272,挑战,2
273,激烈,2
274,近两年,2
275,下滑,2
276,更为,2
277,既有,2
278,深化,2
279,短期内,2
280,一线,2
281,多份,2
282,起诉状,2
283,赔偿损失,2
284,恺域,2
285,厦门,2
286,中所,2
287,数据源,2
288,转化,2
289,股份制,2
290,新型农村,2
291,保监会,2
292,中信银行,2
293,中国光大银行,2
294,招商,2
295,上海浦东发展银行,2
296,村镇,2
297,银行贷款,2
298,信托公司,2
299,经纪,2
300,金融公司,2
301,消费,2
302,外文,2
303,网址,2
304,电子信箱,2
305,统一标准,2
306,业务管理,2
307,银行信贷,2
308,不高,2
309,完备,2
310,成熟,2
311,多样化,2
312,得以,2
313,技术水平,2
314,升级换代,2
315,两月,2
316,上线,2
317,高峰期,2
318,下半年,2
319,服务质量,2
320,响应,2
321,研发部,2
322,一支,2
323,队伍,2
324,复合型,2
325,人才培养,2
326,提高效率,2
327,来源于,2
328,紧抓,2
329,意识,2
330,积极性,2
331,全过程,2
332,承接,2
333,个性化,2
334,数十项,2
335,院校,2
336,招聘,2
337,引入,2
338,可控,2
339,开展业务,2
340,撤诉,2
341,损益表,2
342,综上,2
343,广播,2
344,电影,2
345,电视,2
346,华东地区,2
347,华北地区,2
348,华南地区,2
349,紧跟,2
350,普惠,2
351,不断创新,2
352,增长点,2
353,模块,2
354,致,2
355,退税,2
356,元为,2
357,产品开发,2
358,技术支持,2
359,务,2
360,整理,2
361,优秀人才,2
362,老,2
363,定,2
364,至该,2
365,搭建,2
366,市场推广,2
367,原本,2
368,中因,2
369,工商局,2
370,带有,2
371,字样,2
372,整顿,2
373,距离,2
374,较长时间,2
375,在职,2
376,力量,2
377,拓宽,2
378,不断加强,2
379,上涨幅度,2
380,登记表,2
381,详细情况,2
