,分词排序,词频
0,北京,273
1,腾信,263
2,网络营销,178
3,互联网,105
4,青岛,80
5,信息,76
6,数据,65
7,上海,56
8,媒体,54
9,科技,37
10,媒介,35
11,资源,34
12,公关,27
13,萃品,25
14,建设,24
15,投放,23
16,中兴,21
17,财,21
18,光华,21
19,网络,20
20,浩基,20
21,视频,17
22,徐炜,17
23,信息技术,16
24,数研腾信,14
25,微星,14
26,璨,14
27,排期,14
28,创业板,13
29,朝阳区,13
30,史实,12
31,银行,12
32,通讯,12
33,宇宙,11
34,刘勋,11
35,火钳,11
36,工程,11
37,文化,11
38,否刘勋,11
39,聚力,10
40,霍尔果斯,10
41,刘明,10
42,表现,10
43,辞职,10
44,环境,9
45,软件,9
46,贡献,9
47,银华恒盛,9
48,扶贫,9
49,徐卓慧,9
50,年生,9
51,财富,9
52,广州,8
53,光华路,8
54,创意,8
55,社会化,8
56,采集,8
57,自制,8
58,传媒,8
59,结项,8
60,招股,8
61,特思尔大,8
62,本科,8
63,定,8
64,通天,7
65,第四季度,7
66,广告投放,7
67,汽车,7
68,教育,7
69,文化传媒,7
70,搜索,7
71,端,7
72,神州,7
73,薪资,7
74,孙玉亮,7
75,房地产,7
76,产业政策,6
77,汇金,6
78,立方,6
79,江西,6
80,车瑞,6
81,号院,6
82,监测,6
83,对接,6
84,崂山区,6
85,事业,6
86,广告位,6
87,定制,6
88,候选人,6
89,投出,6
90,可回收,6
91,服务公司,5
92,舆情,5
93,数据分析,5
94,垂直,5
95,挖掘,5
96,清欠,5
97,服务行业,5
98,人工智能,5
99,激发,5
100,健康,5
101,金奖,5
102,人工成本,5
103,青岛市,5
104,剧目,5
105,上线,5
106,房产,5
107,应城,5
108,品誉,5
109,工作室,5
110,永久性,5
111,按计划,5
112,技术创新,5
113,朱金丽,5
114,刘树艳,5
115,届满时,5
116,山东,5
117,否田炳信,5
118,第一名,5
119,第二名,5
120,第三名,5
121,第四名,5
122,第五名,5
123,注年,5
124,理解,4
125,生态,4
126,网站,4
127,陈发勇,4
128,王军,4
129,第一季度,4
130,更好,4
131,策划,4
132,依赖,4
133,清理,4
134,资源优势,4
135,资源整合,4
136,巨兽,4
137,合作伙伴,4
138,层面,4
139,百度,4
140,注册资金,4
141,可视化,4
142,客户服务,4
143,人工,4
144,开庭审理,4
145,节余,4
146,建筑物,4
147,传统,4
148,透明,4
149,晋升,4
150,服务业,4
151,流失,4
152,促使,4
153,高毅东,4
154,第七次,4
155,硕为思,4
156,选取,4
157,更换,4
158,第九次,4
159,公司财务,4
160,崂山,4
161,一职,4
162,中炬高新,4
163,伍刚,4
164,职位,4
165,核定,4
166,框架,4
167,单笔,4
168,准备金,4
169,中除,4
170,销售款,4
171,购房款,4
172,款年,4
173,基准日,4
174,定金,4
175,刘,3
176,新平,3
177,对此,3
178,取决于,3
179,不派,3
180,特思尔,3
181,楼层,3
182,楼,3
183,亿利,3
184,广场,3
185,年本,3
186,环节,3
187,数据挖掘,3
188,竞争对手,3
189,战略规划,3
190,成效,3
191,未决,3
192,全方位,3
193,模块,3
194,引入,3
195,良性,3
196,端的,3
197,活力,3
198,国资,3
199,优秀人才,3
200,资金回笼,3
201,梳理,3
202,互,3
203,手段,3
204,进一步提高,3
205,链条,3
206,投后,3
207,推行,3
208,积极性,3
209,荣获,3
210,广告主,3
211,奖,3
212,广告设计,3
213,门户,3
214,专业性,3
215,关,3
216,独立核算,3
217,提供数据,3
218,存储,3
219,在线,3
220,剧,3
221,失误,3
222,明星,3
223,脚本,3
224,计算机,3
225,技术咨询,3
226,技术推广,3
227,计算机系统,3
228,电脑,3
229,图文,3
230,承办,3
231,展览,3
232,展示,3
233,艺术交流,3
234,扣减,3
235,帐户,3
236,超募,3
237,投向,3
238,其他费用,3
239,公众,3
240,整体利益,3
241,竞争能力,3
242,确立,3
243,创建,3
244,激烈,3
245,科学,3
246,专业人才,3
247,表中,3
248,因派,3
249,增发,3
250,摊,3
251,三方,3
252,或本,3
253,公平交易,3
254,视,3
255,谨慎,3
256,基本准则,3
257,指南,3
258,会计报表,3
259,事前,3
260,中介,3
261,十大,3
262,脱贫,3
263,董静,3
264,瞿岚,3
265,曲凯,3
266,黄天友,3
267,一部,3
268,汇,3
269,隆中,3
270,宸,3
271,博士,3
272,港澳,3
273,中国区,3
274,株式会社,3
275,项目经理,3
276,事务所律师,3
277,很少,3
278,超越,3
279,相关性,3
280,召集,3
281,平等,3
282,利益者,3
283,共次,3
284,无异议,3
285,负面影响,3
286,追索权,3
287,并非,3
288,拆出,3
289,保费,3
290,生物,3
291,油气,3
292,中央银行,3
293,由本,3
294,当本,3
295,下述,3
296,其摊,3
297,同年,3
298,组和,3
299,除净,3
300,运输设备,3
301,电子设备,3
302,办公设备,3
303,原先,3
304,大修理,3
305,两者之间,3
306,保险费,3
307,建设费,3
308,新疆,3
309,睿智,3
310,博达,3
311,一事,3
312,何非,3
313,申威,3
314,罚款,3
315,发改委,3
316,中关村,3
317,房屋买卖,3
318,审会,2
319,已有,2
320,人士,2
321,量化,2
322,很大,2
323,详述,2
324,查阅,2
325,数据管理,2
326,外文,2
327,网址,2
328,电子信箱,2
329,西城区,2
330,阜成门,2
331,大街,2
332,号层,2
333,比上,2
334,第三季度,2
335,精准度,2
336,传播,2
337,位置,2
338,抓取,2
339,盈利模式,2
340,深刻,2
341,金融保险,2
342,电商,2
343,老客户,2
344,为个,2
345,稳固,2
346,旅游,2
347,缓解,2
348,速度,2
349,依然,2
350,领先地位,2
351,零星,2
352,体现,2
353,深耕,2
354,节点,2
355,线上,2
356,有机,2
357,销,2
358,技术水平,2
359,系统化,2
360,工作效率,2
361,服务质量,2
362,流量,2
363,数据库,2
364,接口,2
365,跨屏,2
366,初步,2
367,画像,2
368,矩阵,2
369,增长点,2
370,扭亏,2
371,路径,2
372,并行,2
373,展开,2
374,快消,2
375,地产,2
376,削减,2
377,结构调整,2
378,入股,2
379,文化产业,2
380,新旧,2
381,带动,2
382,收购方,2
383,自动,2
384,凝聚力,2
385,资金周转,2
386,严控,2
387,子,2
388,梯队,2
389,荣誉,2
390,金远奖,2
391,大奖,2
392,实战,2
393,金案,2
394,服务类型,2
395,主营,2
396,爱奇艺,2
397,土豆,2
398,侧重于,2
399,略有,2
400,手机,2
401,北方,2
402,中长期,2
403,结合实际,2
404,独资,2
405,编码,2
406,管理局,2
407,核发,2
408,开户,2
409,税务报,2
410,立项,2
411,发,2
412,展现,2
413,点击,2
414,便利,2
415,区块,2
416,云端,2
417,提报,2
418,汽车行业,2
419,可控,2
420,管理系统,2
421,交互,2
422,集成,2
423,规,2
424,人力,2
425,账期,2
426,数研,2
427,回,2
428,催收,2
429,房产证,2
430,裁令本,2
431,京,2
432,财保,2
433,民事裁定,2
434,书,2
435,保全申请,2
436,此案,2
437,投资额,2
438,合作方,2
439,应用软件,2
440,演出,2
441,证券期货,2
442,年份,2
443,去向,2
444,朝阳,2
445,户,2
446,第十二次,2
447,当日,2
448,为准,2
449,杭州,2
450,大兴,2
451,投资总额,2
452,扩充,2
453,否不,2
454,终端,2
455,适宜,2
456,投入使用,2
457,节约,2
458,审慎,2
459,初起,2
460,日该,2
461,净利,2
462,润,2
463,如期,2
464,如未,2
465,附属,2
466,法否,2
467,网络科技,2
468,技术转让,2
469,计算机网络,2
470,第十三次,2
471,增量,2
472,充分调动,2
473,倡导,2
474,能动性,2
475,职业生涯,2
476,奖惩,2
477,之上,2
478,影视制作,2
479,植入,2
480,恶性竞争,2
481,下滑,2
482,冲击,2
483,新兴,2
484,登记表,2
485,详细情况,2
486,第十四次,2
487,时所作,2
488,再融资,2
489,复权,2
490,承,2
491,经济效益,2
492,薄,2
493,科学合理,2
494,契机,2
495,经济实体,2
496,商业机会,2
497,善意,2
498,尊重,2
499,统称,2
500,显失,2
501,就腾信,2
502,故意,2
503,超出,2
504,致使,2
505,证券交易,2
506,社会公众,2
507,追究,2
508,拟定,2
509,资讯网,2
510,瀚,2
511,天星,2
