,分词排序,词频
0,光伏,481
1,苏州,313
2,新材,264
3,新能源,146
4,电池,121
5,太阳能,108
6,科技,107
7,泰州,99
8,发电,66
9,上海,66
10,能源,65
11,电力,64
12,信息,58
13,组件,57
14,锦聚,57
15,背膜,56
16,电站,48
17,杭州,48
18,电气,46
19,博玺,43
20,单晶,41
21,民生,40
22,光电,39
23,银行,39
24,信托,38
25,壹号,37
26,双面,36
27,材料,36
28,工程,36
29,建伟,33
30,凯特,30
31,环境,28
32,常熟市,26
33,扶贫,26
34,香港,26
35,建设,25
36,衢州,25
37,江苏,24
38,浙江,23
39,电池组,22
40,原名,22
41,林建伟,21
42,制造,20
43,农业,20
44,安徽,20
45,智能,19
46,创业板,19
47,泰州市,19
48,获授,19
49,北控,19
50,数据,18
51,透明,18
52,固镇县,18
53,电,17
54,人林,17
55,张育政,17
56,六产,16
57,姜堰,16
58,上网,15
59,精益,15
60,乳山,15
61,洁太,15
62,普乐,15
63,领跑者,14
64,分布式,14
65,清洁,14
66,山东,14
67,二届,14
68,常熟,13
69,出资额,13
70,土地,12
71,光能,12
72,填补,12
73,华融,12
74,对此,11
75,网,11
76,平价,11
77,扬州,11
78,张育,11
79,沈文忠,11
80,深圳,11
81,赤峰,11
82,周期性,10
83,互联网,10
84,北京,10
85,网格,10
86,集成,10
87,涂覆,10
88,文化,10
89,阜宁,10
90,金柏,10
91,由股,10
92,第七次,10
93,迷迷,10
94,次级,10
95,南京,10
96,柔性,9
97,科学,9
98,万平方米,9
99,装备,9
100,嵊州,9
101,台州,9
102,开封,9
103,中民来,9
104,衢州市,9
105,信用证,9
106,建军,9
107,第十次,9
108,房地产,9
109,翡膜,9
110,考特,9
111,光禾,9
112,半导体,8
113,功率,8
114,沙家浜,8
115,路,8
116,三大,8
117,量产,8
118,内蒙古,8
119,平泉县,8
120,丰来,8
121,远期,8
122,夏文进,8
123,晞,8
124,为元股,8
125,脱贫,8
126,协鑫,8
127,否颜,8
128,中聚沙,8
129,绮,8
130,凯世通,8
131,售后,8
132,实缴,8
133,天健,7
134,背板,7
135,装机量,7
136,安庆,7
137,赤峰市,7
138,互补,7
139,拟以,7
140,蒋文军,7
141,集合,7
142,收益权,7
143,教育,7
144,任中来,7
145,中信,7
146,无锡,7
147,否林,7
148,生物,7
149,海润,7
150,注注,7
151,铜米,7
152,长安,7
153,新来,7
154,郭海彬,7
155,强制执行,7
156,产业政策,6
157,电价,6
158,到位,6
159,技术创新,6
160,账期,6
161,环保,6
162,高新技术,6
163,初步,6
164,轻质,6
165,降本增效,6
166,最新,6
167,自供,6
168,蚌埠市,6
169,焦作,6
170,新设,6
171,孙,6
172,易津,6
173,结售汇,6
174,锁汇,6
175,扩建,6
176,交易方式,6
177,招股,6
178,苏,6
179,第五次,6
180,第八次,6
181,万份,6
182,源于,6
183,张正龙,6
184,副理事长,6
185,学会,6
186,博,6
187,高阳,6
188,四川,6
189,凯中,6
190,成套,6
191,内销,6
192,六禾,6
193,不获,6
194,旗胜,6
195,财富,6
196,中电,6
197,判决书,6
198,优异,5
199,耐,5
200,兆瓦,5
201,工业园区,5
202,青年,5
203,张超,5
204,制造业,5
205,辅材,5
206,梳理,5
207,高效率,5
208,场景,5
209,多家,5
210,绿色,5
211,深耕,5
212,印度,5
213,资源,5
214,种植,5
215,镇,5
216,农光,5
217,结余,5
218,节余,5
219,派元,5
220,为止,5
221,开具,5
222,单次,5
223,薄,5
224,改正,5
225,足额,5
226,柳正,5
227,第一个,5
228,徐芳,5
229,李炽,5
230,多彩,5
231,铝业,5
232,台州市,5
233,机电,5
234,销售部,5
235,油气,5
236,苏州市,5
237,换取,5
238,商业银行,5
239,鑫辉,5
240,佳,5
241,金融服务,5
242,京来,5
243,日元,5
244,管理局,5
245,元及,5
246,铸日,5
247,市场推广,4
248,海内外,4
249,动力,4
250,登记日,4
251,封装,4
252,单元,4
253,镇常昆,4
254,陈志维,4
255,专注,4
256,全系列,4
257,投产,4
258,透光率,4
259,走,4
260,路线,4
261,差异化,4
262,多主栅,4
263,审慎考虑,4
264,生态,4
265,业内,4
266,出台,4
267,落后,4
268,健康,4
269,风电,4
270,设有,4
271,发明专利,4
272,生产工艺,4
273,降低生产,4
274,检测,4
275,稳定性,4
276,性价比,4
277,展会,4
278,再生能源,4
279,长远,4
280,设置,4
281,人力资源,4
282,养殖,4
283,入射光,4
284,功率密度,4
285,中军,4
286,金控,4
287,系锦聚,4
288,故博玺,4
289,中屹鼎晨,4
290,预先,4
291,中所,4
292,杨,4
293,英武,4
294,钟雪冰,4
295,百分之二十五,4
296,票,4
297,二十四个,4
298,江小伟,4
299,协助,4
300,金融机构,4
301,末经,4
302,不应,4
303,本项,4
304,致使,4
305,证券交易,4
306,证券市场,4
307,若干,4
308,摊,4
309,监管部门,4
310,住房,4
311,由名,4
312,为名,4
313,由元股,4
314,获批,4
315,名下,4
316,其人,4
317,王鑫,4
318,辞职,4
319,成交价,4
320,商会,4
321,人大代表,4
322,常务理事,4
323,电力工程,4
324,否沈文忠,4
325,否张,4
326,房产,4
327,外销,4
328,发票,4
329,期后,4
330,工商行政管理局,4
331,智联,4
332,专用设备,4
333,售出,4
334,承兑人,4
335,万业,4
336,以元,4
337,汇冷,4
338,瞩日,4
339,回租,4
340,单晶硅,4
341,区鑫源,4
342,焦作市,4
343,威海市,4
344,外汇,4
345,万日元,4
346,法律效力,4
347,供货,4
348,补足,4
349,华君,4
350,李强,3
351,表现,3
352,制订,3
353,外部环境,3
354,依赖,3
355,紧密,3
356,积极参与,3
357,招投标,3
358,可转债,3
359,技术升级,3
360,信誉,3
361,资源配置,3
362,充足,3
363,积极性,3
364,充分调动,3
365,公司员工,3
366,送,3
367,股股,3
368,具体实施,3
369,数为,3
370,户外,3
371,光,3
372,紫外,3
373,德国,3
374,加拿大,3
375,网站,3
376,资讯网,3
377,严燕鸿,3
378,机构名称,3
379,表中,3
380,奋斗,3
381,电压,3
382,外观,3
383,重量轻,3
384,高可靠性,3
385,超强,3
386,输出功率,3
387,产线,3
388,调试,3
389,小规模,3
390,同类,3
391,新政,3
392,集中式,3
393,一套,3
394,步伐,3
395,权威机构,3
396,应用软件,3
397,多样化,3
398,相继,3
399,反射,3
400,南京大学,3
401,检验,3
402,制造商,3
403,十年,3
404,水面,3
405,泗洪,3
406,权威,3
407,东京,3
408,职能,3
409,创新性,3
410,导师,3
411,推行,3
412,国外,3
413,展览会,3
414,欧洲,3
415,获,3
416,不用,3
417,片型,3
418,信息技术,3
419,松山区,3
420,新马桥,3
421,游戏,3
422,软件,3
423,对博玺,3
424,少,3
425,投资额,3
426,超募,3
427,投资总额,3
428,新建,3
429,三届,3
430,开立,3
431,技术咨询,3
432,家庭,3
433,限定,3
434,经营项目,3
435,占有,3
