,分词排序,词频
0,浙江,734
1,金盾,721
2,风机,491
3,科技,289
4,信息,138
5,杭州,129
6,红相,124
7,中强,112
8,周纯,97
9,消防器材,90
10,红,89
11,周建灿,89
12,红外,81
13,中宜,80
14,工程,67
15,绍兴市,53
16,压力容器,51
17,格洛斯,51
18,资讯网,50
19,无缝钢管,50
20,装备,47
21,上虞,46
22,配募,46
23,黄红友,45
24,银行,44
25,浙,43
26,上海,41
27,夜视,40
28,通风,39
29,制造,37
30,四川,36
31,风源,36
32,周伟洪,36
33,负担,35
34,建设,34
35,伪装,34
36,暂未,31
37,民事裁定,31
38,数据,30
39,成像,30
40,撤诉,30
41,送达,30
42,民间,28
43,中院,28
44,王淼根,27
45,书,27
46,上诉,27
47,减轻,27
48,制造业,26
49,车载,26
50,事先,26
51,蓝能,26
52,立案侦查,24
53,成像仪,24
54,预警,24
55,担保人,24
56,材料,23
57,借贷,23
58,燃气设备,23
59,汪银芳,23
60,绍兴,22
61,行人,22
62,江阴市,21
63,镜头,21
64,高新技术,20
65,中止,19
66,分局,19
67,陈根荣,19
68,公安局,18
69,电力设备,18
70,地铁,18
71,创业板,18
72,商业机会,18
73,许昌,18
74,撤回,17
75,土地,17
76,条,17
77,下发,17
78,终审,17
79,印章,16
80,张汛,16
81,核电,16
82,第八十三,16
83,杭州市中级人民法院,16
84,拆,16
85,借款人,16
86,案,15
87,涉嫌,15
88,紫外,15
89,组件,15
90,红外光,15
91,志达,15
92,王淼,15
93,河南省,15
94,本院,15
95,赵钢,15
96,剑,15
97,年生,15
98,鹏程,14
99,军工,14
100,或期,14
101,光电,14
102,隧道,14
103,涂料,14
104,钱,14
105,关系密切,14
106,家庭成员,14
107,河南,14
108,环境,13
109,公安机关,13
110,远方,13
111,萌顾,13
112,隐身,13
113,环保,13
114,精密,13
115,学,13
116,资源,13
117,准许,13
118,粤,13
119,为准,12
120,检修,12
121,创业投资,12
122,框架,12
123,马夏康,12
124,易,12
125,完整性,12
126,副本,12
127,人周,12
128,判决书,12
129,保全,12
130,工程施工,12
131,伪造,11
132,深圳,11
133,气体,11
134,机芯,11
135,遮障,11
136,热,11
137,定向,11
138,代持,11
139,长葛市,11
140,小额贷款,11
141,拱墅区,11
142,二审,10
143,尚存,10
144,侦查,10
145,镇,10
146,软件,10
147,数码,10
148,建筑安装,10
149,谋求,10
150,司法机关,10
151,身份,10
152,中日,10
153,建灿,10
154,父亲,10
155,岳父,10
156,长葛,10
157,沪,10
158,藕,10
159,驳回上诉,10
160,机械设备,10
161,需以,9
162,裁决,9
163,经济犯罪,9
164,天健,9
165,未决,9
166,工业,9
167,节能,9
168,教育,9
169,足额,9
170,伟民,9
171,建灿及,9
172,蒋岩,9
173,鄂,9
174,武汉市,9
175,莲,9
176,消防,9
177,国投,9
178,扶贫,9
179,借用,9
180,房地产,9
181,军民,8
182,宗,8
183,移送,8
184,届满时,8
185,美丽,8
186,检测,8
187,涂装,8
188,迷彩,8
189,制冷,8
190,主动式,8
191,证镐,8
192,占军,8
193,真实性,8
194,证券市场,8
195,违法行为,8
196,协商一致,8
197,来源于,8
198,查清,8
199,上诉状,8
200,豫,8
201,海豹,8
202,工程师,8
203,上风,8
204,喷涂,8
205,节约,8
206,文化,7
207,裁定书,7
208,集资,7
209,公众,7
210,刑事案件,7
211,期即,7
212,数为,7
213,建设工程,7
214,消声器,7
215,号线,7
216,军用,7
217,建军,7
218,去年同期,7
219,工程项目,7
220,现金管理,7
221,短期内,7
222,业经,7
223,交,7
224,住房,7
225,张,7
226,因涉嫌,7
227,经济纠纷,7
228,递交,7
229,周燕萍,7
230,家族,7
231,金融机构,7
232,根周,7
233,配偶,7
234,十日,7
235,当事人,7
236,湖北省,7
237,高级人民法院,7
238,载明,7
239,北京,7
240,胡斌,7
241,生物,7
242,建造,7
243,工业污染,7
244,外延,6
245,四宗,6
246,败诉,6
247,房产,6
248,非法,6
249,区章,6
250,油气,6
251,健康,6
252,车间,6
253,预研,6
254,测温,6
255,巡检,6
256,专利权,6
257,机电设备,6
258,被动式,6
259,车企,6
260,股份有限,6
261,提供商,6
262,杜绝,6
263,中所,6
264,最新,6
265,相符,6
266,承,6
267,确有,6
268,禹铭费,6
269,利用自身,6
270,退出,6
271,将相,6
272,发号,6
273,建平,6
274,光明,6
275,连义,6
276,碧桃,6
277,周斌,6
278,刑事,6
279,后本,6
280,关,6
281,负有,6
282,数额较大,6
283,杠杆,6
284,商业银行,6
285,真实有效,6
286,工作日,6
287,公章,6
288,纠纷案件,6
289,数万元,6
290,单新宝,6
291,不服,6
292,内向,6
293,已年,6
294,江夏区,6
295,铁投,6
296,周纯章,6
297,上海市浦东新区,6
298,嫌疑,6
299,法律依据,6
300,深圳市中级人民法院,6
301,城区,6
302,徐,6
303,包装物,6
304,退税,6
305,坤,6
306,核心技术,5
307,队伍,5
308,阳洪,5
309,仲裁委,5
310,统计,5
311,诈骗案,5
312,首个,5
313,国防,5
314,军事,5
315,西安,5
316,空调,5
317,网络,5
318,已有,5
319,智能,5
320,图像,5
321,投标,5
322,部件,5
323,机器人,5
324,规章制度,5
325,房屋建筑,5
326,保养,5
327,系红相,5
328,降低成本,5
329,配置,5
330,技术水平,5
331,意愿,5
332,充分考虑,5
333,听取,5
334,近年,5
335,名非,5
336,股日,5
337,竞,5
338,滨江区,5
339,王,5
340,未向,5
341,该次,5
342,费禹铭,5
343,投票权,5
344,至本,5
345,减半,5
346,光典,5
347,中泰,5
348,之二,5
349,周志萍,5
350,一案,5
351,唐,5
352,利民,5
353,物产,5
354,品博,5
355,软件产品,5
356,低值易耗品,5
357,生产成本,5
358,源于,5
359,外汇,5
360,锐创,5
361,技术创新,4
362,转化,4
363,领先地位,4
364,扩张,4
365,投融资,4
366,补偿款,4
367,排除,4
368,海通,4
369,创投,4
370,工业园区,4
371,互联网,4
372,江干区,4
373,船用,4
374,电网,4
375,国家电网,4
376,检验,4
377,发明专利,4
378,著作权,4
379,课题,4
380,长远,4
381,产品开发,4
382,科研,4
383,挡片,4
384,交流,4
385,制造商,4
386,安防,4
387,热像,4
388,武器装备,4
389,公路交通,4
390,消防设备,4
391,内销,4
392,实物,4
393,轴流,4
394,步骤,4
395,第二批,4
396,信用证,4
397,应有,4
398,电力,4
399,智能化,4
400,项目前期,4
401,距离,4
402,成本低,4
403,整车,4
404,经济效益,4
405,日红相,4
406,实,4
407,定,4
408,差异化,4
409,建立健全,4
410,素质,4
411,正数,4
412,成熟期,4
413,另行,4
414,详细情况,4
415,共派,4
416,自本,4
417,优于,4
418,促使,4
419,争,4
420,答复,4
421,若干,4
422,了结,4
423,经济损失,4
424,根徐,4
425,涉嫌犯罪,4
426,徐意根,4
427,稽查,4
428,代其,4
429,核实,4
430,情节,4
431,正本,4
432,原件,4
433,周,4
434,存,4
435,第六条,4
436,任一,4
437,失信,4
438,逾,4
439,推荐,4
440,理,4
441,江阴,4
442,周伟,4
443,周伟洪以,4
444,工作日内,4
445,等值,4
446,划转,4
447,确需,4
448,第个,4
449,招股,4
450,告,4
451,涉案,4
452,邮寄,4
453,事,4
454,公安,4
455,诉讼法,4
456,三条,4
457,迟延,4
458,保全费,4
459,许昌市,4
460,适用法律,4
461,方晓斌,4
462,法定继承,4
463,长沙,4
464,决定书,4
465,合众,4
466,申请费,4
467,起诉状,4
468,桐庐,4
469,撤年,4
470,武汉,4
471,华盛,4
472,合肥市,4
473,创盈,4
474,浙民终,4
475,金华市,4
476,庄立群,4
477,继承人,4
478,先行,4
479,租,4
480,逝世,4
481,案号绍,4
482,信托,4
483,父子,4
484,贾,4
485,负面影响,4
486,等于,4
487,拆出,4
488,率年,4
489,批次,4
490,作业,4
491,第一批,4
492,不获,4
493,十大,4
494,虞,4
495,全力,4
496,补齐,4
497,短板,4
498,出借,4
499,标的额,4
500,董萍,4
501,稳步,3
502,多元化,3
503,激烈,3
504,责任制,3
505,张绪,3
506,江章,3
507,雪峰,3
508,去世,3
509,其后,3
510,陆续,3
511,共有,3
512,应诉,3
513,报案,3
514,大队,3
515,已故,3
516,网站,3
517,沈培强,3
518,吴慧,3
519,广东,3
520,路,3
521,风冷,3
522,体制,3
523,寻求,3
524,入,3
525,服务公司,3
526,民用,3
527,风阀,3
528,系统集成,3
529,三期,3
530,成都,3
531,机组,3
532,就业,3
533,基础设施,3
534,热像仪,3
535,科研院所,3
536,成长期,3
537,光学,3
538,展开,3
539,军品,3
540,研制,3
541,军标,3
542,频谱,3
543,涂层,3
544,交通,3
545,周年,3
546,阅兵,3
547,陆军,3
548,管理者,3
549,意识,3
550,汽车,3
551,样机,3
552,类产品,3
553,非晶硅,3
554,探测器,3
555,管理体制,3
556,凝聚力,3
557,审查,3
558,质保,3
559,游戏,3
560,外销,3
561,台套,3
562,台,3
563,千克,3
564,施工,3
565,元该,3
566,中原,3
567,发货,3
568,估价,3
569,作价,3
570,此次,3
571,诉讼费,3
572,电机,3
573,项红相,3
574,远,3
575,募,3
576,超募,3
577,造价,3
578,审慎,3
579,最大化,3
580,禹铭,3
581,定制,3
582,便于,3
583,同步,3
584,相适应,3
585,公正,3
586,细节,3
587,科学,3
588,投票,3
589,清晰,3
590,诉求,3
591,因本,3
592,年月动,3
593,尽可能减少,3
594,等价,3
595,有偿,3
596,签订协议,3
597,报批,3
598,显失,3
599,该类,3
600,中争,3
601,黄,3
602,业务范围,3
603,肯定,3
604,尽力,3
605,红友,3
606,参,3
607,变相,3
608,国家有关,3
609,预防,3
610,银行业,3
611,监督管理,3
612,人及,3
613,罚款,3
614,火炬,3
615,陈根荣管,3
616,胡雄罗,3
617,徐月鑫许,3
618,营运,3
619,自主经营,3
620,规章,3
621,泄露,3
622,依法追究,3
623,刑事责任,3
624,许,3
625,书面材料,3
626,口头,3
627,证言,3
628,复印件,3
629,民事行为,3
630,近,3
631,内本,3
632,对红相,3
633,民事诉讼,3
634,中介机构,3
635,套,3
636,故本,3
637,江苏,3
638,农村,3
639,孟红伟,3
640,负,3
641,以元,3
642,周伟洪应,3
643,大宗,3
644,交易方式,3
645,股票价格,3
646,致使,3
647,证券交易,3
648,间隔,3
649,独资,3
650,合资,3
651,工艺流程,3
652,商业秘密,3
653,或本,3
654,军方,3
655,于本,3
656,金钱,3
657,二百五十,3
658,加倍,3
659,十五日,3
660,追偿,3
661,蔡,3
662,远远,3
663,闵行区,3
664,白永锋,3
665,扣押,3
666,之三,3
667,胡,3
668,青杨,3
669,士勇,3
670,器材,3
671,月诉,3
672,天津市,3
673,津,3
674,律师费,3
675,桐庐县,3
676,武仲受,3
677,财富,3
678,应予,3
679,沈和根,3
680,缺乏,3
681,重庆市,3
682,渝,3
683,金东区,3
