,分词排序,词频
0,暴风,642
1,北京,180
2,科技,179
3,天津,125
4,智能,115
5,互联网,104
6,视频,81
7,电视,73
8,信息,62
9,冯鑫,57
10,文化,48
11,深圳,38
12,减资,34
13,建设,33
14,传播,32
15,网络,31
16,数据,31
17,大华,28
18,东莞,25
19,软件,25
20,石景山区,25
21,诉状,25
22,魔镜,24
23,上海,24
24,虚拟现实,24
25,珠海,22
26,付费,22
27,端,20
28,崔,20
29,天龙,20
30,梧桐,19
31,娱乐,19
32,终端,19
33,浸鑫,19
34,创业板,18
35,就职,18
36,风秀,17
37,服务平台,17
38,奔流,16
39,信息技术,16
40,影业,16
41,日日,16
42,家庭,15
43,人工智能,15
44,硬件,15
45,当日,15
46,霍尔果斯,15
47,注注,15
48,版权,14
49,未经许可,14
50,公众,14
51,银行,14
52,元注,14
53,海淀区,13
54,工程,13
55,体验,13
56,云帆,13
57,秘境,13
58,鑫影,12
59,影音,12
60,科学技术委员会,12
61,元以,12
62,东山,12
63,精密,12
64,制造,12
65,江苏,11
66,体育,11
67,新影,11
68,文化产业,11
69,影视作品,11
70,盛世,10
71,媒体,10
72,信息流,10
73,期为,10
74,第项,10
75,后本,10
76,中国籍,10
77,摘要,10
78,新一代,10
79,青岛,10
80,张丽娜,9
81,香港,9
82,瑞,9
83,丰利,9
84,似锦,9
85,广告业务,9
86,流量,9
87,创新能力,9
88,电子商务,9
89,材料,9
90,第二个,9
91,银川,9
92,产权交易,9
93,开发技术,9
94,首个,9
95,开庭审理,9
96,卓智,8
97,永,8
98,融辉,8
99,众翔宏泰,8
100,软硬件,8
101,入口,8
102,房地产,8
103,交易方式,8
104,社会公众,8
105,吕宁,8
106,电子,8
107,职能,8
108,关键技术,8
109,交流,8
110,魔娱,8
111,高新,8
112,直播,8
113,生态,8
114,招商引资,8
115,起源,7
116,手机,7
117,服务器,7
118,业务量,7
119,资源,7
120,本地,7
121,资金紧张,7
122,面向,7
123,播放,7
124,自动,7
125,当月,7
126,环境,7
127,日为,7
128,首席,7
129,网络科技,7
130,业经,7
131,稳定期,7
132,石景山,7
133,园,7
134,止本,7
135,在线点播,7
136,光大,7
137,统帅,6
138,播放器,6
139,引入,6
140,影视,6
141,第一名,6
142,计较,6
143,道歉,6
144,公告日,6
145,赵军,6
146,单次,6
147,李媛萍,6
148,成就,6
149,疑虑,6
150,于本,6
151,计算机,6
152,错,6
153,审验,6
154,验,6
155,验资,6
156,潘子,6
157,三级,6
158,模型,6
159,视听,6
160,风土,6
161,民艺,6
162,超高,6
163,清,6
164,数字视频,6
165,中关村,6
166,地方性,6
167,中关村科技园区,6
168,城,6
169,传媒,6
170,股票交易,6
171,组组,6
172,前称,5
173,融信,5
174,网站,5
175,差异化,5
176,一体化,5
177,商业模式,5
178,交互,5
179,知名度,5
180,机器人,5
181,微信,5
182,金融机构,5
183,商务,5
184,推荐,5
185,动漫,5
186,教育,5
187,第二名,5
188,第三名,5
189,第四名,5
190,第五名,5
191,清晰,5
192,停牌,5
193,下同,5
194,为止,5
195,触发,5
196,监督管理,5
197,每次,5
198,第五次,5
199,劳动人事,5
200,参照,5
201,股高管,5
202,职工代表,5
203,获,5
204,信息化,5
205,成信,5
206,修订稿,5
207,税额,5
208,电器,5
209,服务期,5
210,在线,5
211,售后服务,5
212,影像,5
213,集成,5
214,某种,5
215,公用事业,5
216,必要产品,5
217,价格控制,5
218,东,5
219,咨询中心,4
220,无线,4
221,学院路,4
222,首享,4
223,表时,4
224,电商,4
225,日均,4
226,消费,4
227,群体,4
228,自然,4
229,体现,4
230,闪电,4
231,月度,4
232,端约,4
233,电影,4
234,线下,4
235,广播,4
236,游戏,4
237,匹配,4
238,全天,4
239,任职期间,4
240,载明,4
241,毕士钧,4
242,获授,4
243,务,4
244,著作权,4
245,全屋,4
246,前限售,4
247,股股,4
248,张鹏宇,4
249,柳纯录,4
250,张琳,4
251,成家,4
252,官,4
253,委派代表,4
254,否张鹏宇,4
255,第条,4
256,召集,4
257,兑现,4
258,报错,4
259,可回收,4
260,生物,4
261,珊,4
262,订立,4
263,嵌入,4
264,混合,4
265,或重,4
266,以换,4
267,带息,4
268,退休,4
269,内退,4
270,政策性,4
271,事业,4
272,建设费,4
273,废弃,4
274,电子产品,4
275,高新技术,4
276,证书编号,4
277,房租,4
278,成都,4
279,文化传媒,4
280,广州,4
281,物流,4
282,创作,4
283,传承,4
284,作品,4
285,载体,4
