,分词排序,词频
0,富临,563
1,精工,493
2,绵阳,319
3,机械,309
4,升华,298
5,科技,216
6,材料,113
7,汽车,104
8,四川,77
9,信息,77
10,银行,66
11,湖南,65
12,江西,63
13,发动机,56
14,零部件,52
15,正极,49
16,彭澍,43
17,成都,39
18,新能源,39
19,彭澎,39
20,实业集团,35
21,气门,34
22,制造,32
23,宜春,32
24,醴陵市,29
25,沃特玛,29
26,精密,28
27,工程,28
28,可变,27
29,绵阳市,27
30,乙方,26
31,数据,25
32,安治,25
33,锂电池,22
34,甲方,22
35,株洲,22
36,房地产,21
37,电池,18
38,锂电,18
39,磷酸,18
40,供货,18
41,湖南省,18
42,富,18
43,野马,18
44,醴陵,18
45,铁锂,17
46,主机厂,17
47,建设,17
48,土地,17
49,电磁阀,16
50,挺柱,16
51,动力电池,16
52,鑫,16
53,液压,15
54,委托人,15
55,襄阳,14
56,自动,14
57,工业,14
58,蒋益,14
59,刘智敏,13
60,深圳,13
61,生于,13
62,兴业银行,13
63,彭建生,12
64,能源动力,12
65,乘用车,12
66,喷嘴,12
67,转化,12
68,保全,12
69,电子,12
70,配偶,12
71,基准日,12
72,工程师,12
73,九江,12
74,华融,12
75,湘江,12
76,国旺,12
77,欧洲,11
78,锂离子,11
79,总成,11
80,上汽,11
81,动力,11
82,高新技术,11
83,如需,11
84,开具,11
85,限额,11
86,青,11
87,年株,11
88,中银,11
89,瑞尔,10
90,机油,10
91,凸轮,10
92,装备,10
93,摇臂,10
94,下同,10
95,公式,10
96,安东,10
97,关系密切,10
98,社会公众,10
99,资讯网,10
100,涪城区,10
101,运业,10
102,建筑物,10
103,宜春市,10
104,生产型,10
105,黄陶苏,10
106,不动产,10
107,兴银赣,10
108,宜业,10
109,谭建伟,9
110,传感器,9
111,密度,9
112,部件,9
113,创业板,9
114,商业机会,9
115,增发,9
116,中国银行,9
117,权第号,9
118,华银,9
119,电子电器,8
120,锂,8
121,链条,8
122,汽车产业,8
123,竞争对手,8
124,三元,8
125,车间,8
126,出货量,8
127,传统,8
128,定点,8
129,配件,8
130,水泵,8
131,雷达,8
132,电动汽车,8
133,量产,8
134,测算,8
135,曹勇,8
136,家庭成员,8
137,尽可能,8
138,非公,8
139,反担保,8
140,元为,8
141,估算,8
142,自由,8
143,达实,8
144,酒店,8
145,房产,8
146,西藏,7
147,融睿,7
148,能量,7
149,媒体,7
150,张紧器,7
151,传动,7
152,正时,7
153,变速箱,7
154,主流,7
155,易,7
156,商务,7
157,毫米波,7
158,智能,7
159,次日,7
160,未决,7
161,因派,7
162,阳宇,7
163,暂无,7
164,股股,7
165,经营收入,7
166,生物,7
167,江西省,7
168,赣,7
169,渝水,7
170,暂计,7
171,相位,6
172,升程,6
173,汽油机,6
174,主机,6
175,德国,6
176,立信,6
177,电机,6
178,检测,6
179,产销,6
180,万辆,6
181,初步,6
182,自动化,6
183,试制,6
184,特玛,6
185,案例,6
186,减速器,6
187,北京,6
188,促使,6
189,超出,6
190,代偿,6
191,作价,6
192,道歉,6
193,处长,6
194,错,6
195,报错,6
196,建造,6
197,机器设备,6
198,大道,6
199,醴,6
200,农,6
201,商行,6
202,在内,5
203,经开区,5
204,产业园,5
205,上海,5
206,冷却,5
207,流量,5
208,燃油,5
209,执行机构,5
210,月度,5
211,大众,5
212,整理,5
213,通用,5
214,发货,5
215,宁乡,5
216,陕西,5
217,人力资源,5
218,机电,5
219,电动,5
220,电,5
221,收集,5
222,彭正国,5
223,彭云华,5
224,承,5
225,交,5
226,总价,5
227,聂正,5
228,公众,5
229,王艳,5
230,涉案,5
231,第七次,5
232,财务科,5
233,科长,5
234,高层,5
235,选取,5
236,发票,5
237,油气,5
238,除净,5
239,运输设备,5
240,预提,5
241,据此,5
242,技术改造,5
243,信息化,5
244,龙泉驿区,5
245,株国旺支,5
246,南山区,5
247,不派,4
248,共和国,4
249,负极,4
250,运动,4
251,板桥,4
252,街号,4
253,凤凰,4
254,中路,4
255,互联网,4
256,黎昌军,4
257,大街,4
258,赌,4
259,配气,4
260,附件,4
261,张紧,4
262,皮带,4
263,工况,4
264,门,4
265,润滑,4
266,活塞,4
267,即可,4
268,电控,4
269,废气,4
270,排放,4
271,样件,4
272,通用五菱,4
273,降本增效,4
274,精益,4
275,消费,4
276,中汽协,4
277,吉利,4
278,法国,4
279,广汽,4
280,高压,4
281,实,4
282,专利权,4
283,吴家镇,4
284,体现,4
285,新品,4
286,锁止,4
287,素质,4
288,周期长,4
289,年底,4
290,催收,4
291,万支,4
292,批量生产,4
293,度,4
294,立项,4
295,悬挂,4
296,合成,4
297,可回收,4
298,智能化,4
299,步伐,4
300,杜俊波,4
301,新华联,4
302,高新科技,4
303,苏州,4
304,厚扬,4
305,启航,4
306,核实,4
307,书面通知,4
308,精,4
309,各年,4
310,审慎,4
311,证,4
312,父母,4
313,子女,4
314,无效,4
315,张金伟,4
316,出资额,4
317,内涵,4
318,以元,4
319,经营项目,4
320,傅江,4
321,牟文,4
322,临园,4
323,宾馆,4
324,都江堰,4
325,蜀,4
326,人年,4
327,个人简历,4
328,本节,4
329,准备金,4
330,开票,4
331,通知单,4
332,仓库,4
333,票,4
334,日止,4
335,以换,4
336,额外,4
337,负担,4
338,政策性,4
339,国科,4
340,发火,4
341,财政厅,4
342,若干,4
343,损失率,4
344,技术开发区,4
345,可比,4
346,途径,4
347,所得税率,4
348,回报率,4
349,强省,4
350,栋,4
351,成龙,4
352,抵,4
353,湘,4
354,醴借,4
355,一委贷,4
356,抵押权,4
357,株国旺,4
358,支承,4
359,按日,4
360,律师费,4
361,诉讼费,4
362,保全费,4
363,担保费,4
364,粤,4
365,借贷,4
366,整车厂,3
367,商用车,3
368,零件,3
369,综合性,3
370,网站,3
371,谢骞,3
372,陈璐瑛,3
373,停工,3
374,两大,3
375,图,3
376,传给,3
377,起到,3
378,原理,3
379,传动系统,3
380,凸轮轴,3
381,冷却系统,3
382,内燃机,3
383,进气,3
384,节能,3
385,器,3
386,信号,3
387,功率,3
388,两种,3
389,外协,3
390,装配,3
391,小批量,3
392,少部分,3
393,航天,3
394,三菱,3
395,产线,3
396,各大,3
397,统计,3
398,一汽大众,3
399,长安,3
400,奇瑞,3
401,核心技术,3
402,博格,3
403,华纳,3
404,伊纳,3
405,康明斯,3
406,合资,3
407,思达,3
408,车,3
409,销售部,3
410,送样,3
411,评为,3
412,创新能力,3
413,高精度,3
414,中南大学,3
415,科学,3
416,发明专利,3
417,电动式,3
418,定型,3
419,骨干,3
420,危机,3
421,谨慎,3
422,小批,3
423,南,3
424,样品,3
425,督促,3
426,对沃,3
427,商票,3
428,出票,3
429,人事行政,3
430,出发,3
431,人为,3
432,文化,3
433,工会,3
434,深,3
435,真实性,3
436,完整性,3
437,游戏,3
438,高功率,3
439,主,3
440,集成,3
441,一体化,3
442,更好,3
443,经济性,3
444,组建,3
445,发,3
446,体,3
447,环境,3
448,进程,3
449,电磁,3
450,扩展,3
451,足额,3
452,赌方,3
453,王志红,3
454,赖同斌,3
455,王军,3
456,菱令,3
457,股年,3
458,日个,3
459,最晚,3
460,我方,3
461,不可避免,3
462,公平交易,3
463,定向,3
464,总和,3
465,三十六个,3
466,老股,3
467,为准,3
468,交易方式,3
469,如未,3
470,率为,3
471,为关,3
472,联方,3
473,扶贫,3
474,及名,3
475,内因,3
476,共股,3
477,第一年,3
478,第三年,3
479,任职期间,3
480,聂丹,3
481,非法,3
482,集资,3
483,亲属,3
484,陈立宝,3
485,常务,3
486,能源,3
487,华西,3
488,中专,3
489,青年,3
490,剑阁县,3
491,财务处,3
492,高新区,3
493,资格证书,3
494,同斌,3
495,否阳宇,3
496,否彭澍,3
497,公司员工,3
498,教育,3
499,访谈,3
500,实施细则,3
501,流失,3
502,固有,3
503,请参阅,3
504,释,3
505,模型,3
506,选用,3
507,售出,3
508,核对,3
509,内销,3
510,函证,3
511,保费,3
512,中央银行,3
513,益,3
514,第三十三,3
515,彭澎等,3
516,无现金,3
517,工程项目,3
518,以该,3
519,装修费,3
520,天然气,3
521,管道,3
522,三包,3
523,环保,3
524,株洲市,3
525,提,3
526,稳定期,3
527,贡献,3
528,委托合同,3
529,超额,3
530,保险费,3
531,诺夫,3
532,奖,3
533,外经贸,3
534,赊销,3
535,路,3
536,桃花岛,3
537,波尔,3
538,菲特,3
539,权证,3
540,项下,3
541,所在位置,3
542,保字,3
543,罚息,3
544,光大银行,3
545,南昌,3
546,股份有限,3
547,最质,3
548,质权,3
549,汇票,3
550,新余,3
551,想,3
552,诉求,3
553,案号,3
554,主管人员,2
555,阐述,2
556,缸内,2
557,直喷,2
558,嵌入,2
559,时则,2
560,储能,2
561,元素,2
562,铁,2
563,体积,2
564,生产厂家,2
565,整车,2
566,座,2
567,运载,2
568,微米,2
569,分组,2
570,间隙,2
571,制造商,2
572,外文,2
573,缩写,2
574,网址,2
575,电子信箱,2
576,机构名称,2
577,第四季度,2
578,元非,2
579,统一标准,2
580,系列产品,2
581,增长期,2
582,产品名称,2
583,特性,2
584,称,2
585,构件,2
586,噪音,2
587,高速,2
588,齿轮,2
589,开启,2
590,喷射,2
591,上以,2
592,柴油机,2
593,汽油,2
594,英文,2
595,变,2
596,实时,2
597,可控,2
598,扭矩,2
599,消耗,2
600,两级,2
601,可调式,2
602,坯料,2
603,标准件,2
604,采购计划,2
605,每月,2
606,初,2
607,重要性,2
608,权限,2
609,生产方式,2
610,以销定产,2
611,直销,2
612,售后服务,2
613,传递,2
614,降本,2
615,推行,2
616,退出,2
617,摩擦,2
618,信心,2
619,多缸,2
620,资源,2
621,级别,2
622,大陆,2
623,容量,2
624,长,2
625,时期,2
626,杭州,2
627,坐标,2
628,浙江,2
629,海力,2
630,售后,2
631,余家,2
632,比亚迪,2
633,长安汽车,2
634,福特,2
635,丰田,2
636,耐科勒,2
637,北美,2
638,印度,2
639,盖茨,2
640,辉门,2
641,出色,2
642,成本核算,2
643,盘点,2
644,保持高速,2
645,几年,2
646,高工,2
647,产研,2
648,态势,2
649,配置,2
650,良性,2
651,贝特,2
652,瑞,2
653,安达,2
654,攻关,2
655,实验,2
656,经验丰富,2
657,队伍,2
658,成熟,2
659,工人,2
660,要素,2
661,产品设计,2
662,精度,2
663,内资,2
664,客户资源,2
665,知名,2
666,研究成果,2
667,制备,2
668,非专利,2
669,提案,2
670,余项,2
671,节约,2
672,合格率,2
673,班组,2
674,控,2
675,爆发,2
676,化解,2
677,开发新,2
678,牢牢,2
679,把握,2
680,动态,2
681,大批量,2
682,恶化,2
683,名下,2
684,宗旨,2
685,招聘,2
686,营造,2
687,回答,2
688,及时性,2
689,广播,2
690,电影,2
691,电视,2
692,软件,2
693,突破性,2
694,人工,2
695,下滑,2
696,应用领域,2
697,控制器,2
698,车厂,2
699,机,2
700,最新,2
701,无刷电机,2
702,油压,2
703,可靠性,2
704,移位,2
705,切换,2
706,装置,2
707,热,2
708,论证,2
709,投产,2
710,减震器,2
711,换挡,2
712,零,2
713,高能量,2
714,一款,2
715,中试,2
716,前驱,2
717,净流量,2
718,累,2
719,投资额,2
720,技术转让,2
721,技术咨询,2
722,陶瓷,2
723,是因为,2
724,不及,2
725,高质量,2
726,出台,2
727,建立健全,2
728,贯彻落实,2
729,网联,2
730,尽快,2
731,多元化,2
732,力争,2
733,产业布局,2
734,制造业,2
735,全过程,2
736,洽谈,2
737,满意度,2
738,产业政策,2
739,相继,2
740,动向,2
