,分词排序,词频
0,美康,867
1,生物,669
2,血清,328
3,检测,271
4,浓度,251
5,诊断,205
6,试剂盒,203
7,盛德,193
8,宁波,192
9,医学,168
10,检验,154
11,医疗器械,151
12,免疫,151
13,欧盟,145
14,法类,114
15,生物科技,108
16,血浆,103
17,医疗,95
18,科技,90
19,试剂,84
20,染色,77
21,信息,75
22,活性,68
23,杭州,62
24,仪器,62
25,健康,58
26,浙江,55
27,医检所,54
28,蛋白,54
29,生化,52
30,邹炳德,49
31,比浊,48
32,工程,46
33,临床,44
34,上海,43
35,细胞,42
36,检验所,41
37,分析仪,40
38,盈实,39
39,化学发光,39
40,元美康,39
41,银行,38
42,天津,38
43,江西,36
44,抗体,36
45,样本,35
46,内蒙古,34
47,酶,34
48,倚天,33
49,胶乳,33
50,白蛋白,32
51,全自动,31
52,尿液,30
53,医师,30
54,乙方,30
55,血红蛋白,29
56,重庆,28
57,苏州,28
58,常规,28
59,聊城,27
60,人体,27
61,泰州,26
62,脂蛋白,26
63,组织化学,25
64,获授,25
65,京都,24
66,医疗机构,24
67,血细胞,24
68,化学法,24
69,球蛋白,24
70,建设,23
71,无美康,23
72,市场价,23
73,上饶,22
74,胆红素,22
75,盛,21
76,武汉,21
77,伟业,21
78,香港,21
79,数据,21
80,集约化,21
81,脱氢酶,21
82,甲方,21
83,盛达,20
84,新余,20
85,国宾,20
86,伯晶,19
87,广西,19
88,胆固醇,19
89,医善,19
90,世大,19
91,氨,19
92,鄞州区,18
93,质谱,18
94,印度尼西亚,18
95,生物工程,17
96,广盛,17
97,源,17
98,临床试验,17
99,西安,17
100,出资额,17
101,品信,17
102,土地,17
103,健立,17
104,衡阳,16
105,深圳,16
106,测量,16
107,创业板,16
108,体液,16
109,血脂,16
110,离子,16
111,乳酸,16
112,成分,16
113,湖南,16
114,涌捷,15
115,诸暨,15
116,糖化,15
117,葡萄糖,15
118,氨酸,15
119,邹继华,15
120,房地产,15
121,永城,14
122,新安,14
123,稳步,14
124,共享,14
125,高新技术,14
126,血液,14
127,氨基,14
128,红叶,14
129,基因,13
130,南京,13
131,略,13
132,舟山,13
133,维瑞,13
134,诊疗,13
135,协普,13
136,计数,13
137,底物,13
138,建造,13
139,门诊部,13
140,价否,13
141,转账,13
142,南昌,12
143,赣州,12
144,抚州,12
145,信息化,12
146,鑫,12
147,沅,12
148,酶法,12
149,载脂蛋白,12
150,基转移酶,12
151,校准,12
152,价,12
153,张春实,12
154,圣地亚哥,11
155,新疆,11
156,康健,11
157,增发,11
158,配股,11
159,分级,11
160,环境,11
161,红细胞,11
162,视黄醇,11
163,同工酶,11
164,干式,11
165,类产品,11
166,分会,11
167,网新云,11
168,郑州,10
169,上饶市,10
170,伯明翰,10
171,陕西,10
172,熊慧萍,10
173,一体化,10
174,产品线,10
175,医院,10
176,拟以,10
177,实缴,10
178,劣后级,10
179,故自其,10
180,素,10
181,甲状腺,10
182,中医医院,10
183,扶贫,10
184,德康,10
185,发票,10
186,具体条件,10
187,山东,10
188,康保,9
189,湖州,9
190,医生,9
191,低密度,9
192,资讯网,9
193,医疗卫生,9
194,韩国,9
195,到位,9
196,化学,9
197,民生,9
198,康生,9
199,糖苷酶,9
200,天门冬,9
201,全血中,9
202,补体,9
203,羟基,9
204,维生素,9
205,肽,9
206,卓,9
207,开具,9
208,李成,9
209,嘉祥,9
210,共创,9
211,厦门,9
212,付清,9
213,帝迈,9
214,生物医学,8
215,冷链,8
216,分型,8
217,医药,8
218,发明专利,8
219,半胱氨酸,8
220,控,8
221,已向,8
222,溶血,8
223,破坏,8
224,溶出,8
225,形态,8
226,乙酰,8
227,监测,8
228,过氧化物,8
229,丁酸,8
230,技术咨询,8
231,零售,8
232,地块,8
233,需提交,8
234,信息技术,8
235,天津市,8
236,对此,7
237,指美康,7
238,江西省,7
239,曼贝,7
240,软件,7
241,注册证,7
242,网络,7
243,装备,7
244,材料,7
245,保税区,7
246,凌泽,7
247,美康盛,7
248,测,7
249,制备,7
250,肌酐,7
251,氧化酶,7
252,尿素氮,7
253,肌酸激酶,7
254,羟,7
255,肽酶,7
256,游离,7
257,胰岛素,7
258,荧光,7
259,层析,7
260,维瑞否,7
261,景行,7
262,天成,7
263,国投,7
264,瑞银,7
265,服务网络,7
266,预先,7
267,期可,7
268,作价,7
269,协议书,7
270,艾,7
271,袁超,7
272,硕士学位,7
273,就职,7
274,无需,7
275,刘杰,7
276,吴义良,7
277,美康达,6
278,弘益,6
279,物流,6
280,溯源,6
281,启明,6
282,南路,6
283,雅培,6
284,资源,6
285,制造,6
286,国外,6
287,服务中心,6
288,颁发,6
289,学,6
290,淀粉酶,6
291,优先级,6
292,悬液,6
293,角蛋白,6
294,中微,6
295,胆汁酸,6
296,甘油三酯,6
297,葡萄,6
298,高密度,6
299,二氧化碳,6
300,转铁蛋白,6
301,纤维蛋白,6
302,脂肪酸,6
303,胃蛋白酶,6
304,胆酸,6
305,降钙素,6
306,甲状腺素,6
307,中作,6
308,白细胞,6
309,否美康,6
310,创业投资,6
311,会师,6
312,报字,6
313,装修,6
314,服务业,6
315,贾江花,6
316,方亮,6
317,填补,6
318,为元股,6
319,商品销售,6
320,一致同意,6
321,完,6
322,补偿款,6
323,副会长,6
324,于本,6
325,会计学,6
326,油气,6
327,以换,6
328,上表,6
329,日元,6
330,叶仕海余,6
331,壮立,6
332,天羔,6
333,生,5
334,金华,5
335,生园,5
336,金华市,5
337,间质,5
338,立信,5
339,西门子,5
340,罗氏,5
341,咨询服务,5
342,亿美元,5
343,分子,5
344,博士后,5
345,获,5
346,检验科,5
347,厂商,5
348,学术,5
349,医用,5
350,医,5
351,分开,5
352,博览会,5
353,第五次,5
354,学会,5
355,商业机会,5
356,事业,5
357,生命,5
358,稀释液,5
359,贵港,5
360,第一名,5
361,第二名,5
362,第三名,5
363,第四名,5
364,第五名,5
365,肌钙蛋白,5
366,中同型,5
367,比色法,5
368,脑脊液,5
369,丙氨酸,5
370,无机,5
371,磷,5
372,氨酰基,5
373,转移酶,5
374,尿酸,5
375,中抗,5
376,品类,5
377,品与,5
378,便,5
379,无于,5
380,合作方,5
381,生物制品,5
382,维修,5
383,创业,5
384,任职期间,5
385,自动,5
386,自本,5
387,吴立山,5
388,清理,5
389,第三期,5
390,调解书,5
391,核查,5
392,第一个,5
393,第二个,5
394,尹亮,5
395,工作日内,5
396,一次性,5
397,沈敏,5
398,工商管理,5
399,海洋,5
400,可回收,5
401,除净,5
402,建筑物,5
403,乘以,5
404,使用费,5
405,汉库,5
406,稳增,5
407,丁方二,5
408,聊城市,5
409,云泽博时,5
410,长宸,5
411,生命科学,4
412,株式会社,4
413,孙,4
414,缩写,4
415,颗粒,4
416,知名品牌,4
417,日立,4
418,推行,4
419,直销,4
420,慢病,4
421,充分利用,4
422,满意度,4
423,制造业,4
424,巨头,4
425,系列产品,4
426,较强,4
427,经营规模,4
428,工作站,4
429,技术创新,4
430,病理,4
431,服务体系,4
432,举办,4
433,研讨会,4
434,展览会,4
435,检验室,4
436,评,4
437,物质,4
438,液相,4
439,色谱,4
440,联用,4
441,卫生,4
442,三是,4
443,夯实,4
444,树立,4
445,展,4
446,入,4
447,合称,4
448,该笔,4
449,单次,4
450,徐州,4
451,福建,4
452,安徽,4
453,华浦,4
454,一类,4
455,剂类,4
456,对待,4
457,脂肪酶,4
458,镁,4
459,谷氨酸,4
460,核苷酸,4
461,胆碱酯酶,4
462,谷,4
463,微量,4
464,链球菌,4
465,缺血,4
466,修饰,4
467,酰,4
468,唾液酸,4
469,特种,4
470,中甘,4
471,中性,4
472,粒细胞,4
473,明胶,4
474,脂质,4
475,运载,4
476,珠蛋白,4
477,瓜氨酸,4
478,结合力,4
479,末端,4
480,脑利钠,4
481,前体,4
482,碘,4
483,来源于,4
484,激素,4
485,磷酸,4
486,胶原,4
487,病理科,4
488,技术推广,4
489,鄞州,4
490,新城区,4
491,片区,4
492,结余,4
493,子公,4
494,贡献,4
495,为此,4
496,周英章,4
497,差价,4
498,物业,4
499,易,4
500,末经,4
501,工程项目,4
502,日止,4
503,律师费,4
504,回避,4
505,第七次,4
506,沃燕波,4
507,同类,4
508,电费,4
509,康,4
510,教育,4
511,环境保护,4
512,郑绍军,4
513,胡容花,4
514,胡挺栋,4
515,博增,4
516,接续,4
517,博增及,4
518,许可证,4
519,届满时,4
520,博时,4
521,混合型,4
522,董秘,4
523,工程师,4
524,商学院,4
525,青年,4
526,院长,4
527,博士,4
528,衡量,4
529,抽样,4
530,中央银行,4
531,益,4
532,尚可,4
533,抵债,4
534,非专利,4
