,分词排序,词频
0,汉邦,316
1,高科,291
2,北京,288
3,科技,86
4,安防,78
5,信息,63
6,数字视频,63
7,泰国,56
8,金石,52
9,普,51
10,视频,50
11,天津,47
12,威视,43
13,王立群,38
14,银行,33
15,监测,32
16,智能,30
17,建设,30
18,广电,30
19,数据,28
20,软件,27
21,音视频,26
22,智慧,26
23,伟业,26
24,李,25
25,汉银,22
26,媒体,22
27,朝阳,22
28,版权保护,20
29,公安,20
30,深圳,20
31,互联网,18
32,工程,18
33,数字水印,16
34,姜河,16
35,定制,15
36,硬件,14
37,宁波,13
38,秦彪,12
39,摄像机,12
40,高清,11
41,信息化,11
42,平安,11
43,创业板,11
44,中关村,11
45,蒋,11
46,文峰,11
47,房地产,11
48,资源,10
49,资讯网,10
50,其所,10
51,网络,9
52,立信,9
53,信息技术,9
54,上海,9
55,第一名,9
56,第二名,9
57,第三名,9
58,第四名,9
59,第五名,9
60,节余,9
61,获授,9
62,郭庆钢,9
63,李坚,9
64,扶贫,9
65,王雅晴,9
66,软硬件,8
67,软件产品,8
68,扩建,8
69,环境,8
70,天津市,8
71,南方,8
72,成都,8
73,伍镇杰,8
74,林中,8
75,王立,8
76,泰达,8
77,宏利,8
78,后限售,8
79,建筑物,8
80,延伸,7
81,教育,7
82,通信,7
83,增,7
84,会师,7
85,报字,7
86,预先,7
87,沈阳,7
88,刘海,7
89,斌,7
90,周洪波,7
91,张海峰,7
92,日日,7
93,半年,7
94,工作细则,7
95,使用费,7
96,楼,6
97,国信,6
98,生态,6
99,端,6
100,前端,6
101,软件平台,6
102,存量,6
103,存储,6
104,集成,6
105,国家广电总局,6
106,中兵,6
107,第七次,6
108,授信额度,6
109,建造,6
110,北京分行,6
111,配置,5
112,海淀区,5
113,长春,5
114,桥路,5
115,四层,5
116,算法,5
117,系统软件,5
118,存储设备,5
119,直销,5
120,制造,5
121,检测,5
122,传统,5
123,核心技术,5
124,水印,5
125,引入,5
126,验资,5
127,结项,5
128,江苏,5
129,账号,5
130,第八次,5
131,由股,5
132,起个,5
133,自本,5
134,司法机关,5
135,冯军,5
136,杨晔,5
137,任职期间,5
138,珠海,5
139,久,5
140,滨河,5
141,汇鼎,5
142,千里,5
143,人因,5
144,董监,5
145,信托,5
146,除净,5
147,材料,5
148,土地,5
149,高新技术,5
150,迭代,4
151,文化,4
152,设置,4
153,股股,4
154,防范,4
155,模拟,4
156,传输,4
157,裙房,4
158,吴雪,4
159,张世辉,4
160,服务公司,4
161,致力于,4
162,广播电视,4
163,专注,4
164,明确规定,4
165,交通,4
166,摄像,4
167,应用领域,4
168,联网,4
169,科学,4
170,硬盘,4
171,增长点,4
172,深挖,4
173,希捷,4
174,售后服务,4
175,官园,4
176,第六次,4
177,中介机构,4
178,超募,4
179,第五次,4
180,南京,4
181,登记日,4
182,后果,4
183,权属,4
184,叶潇,4
185,项目经理,4
186,日年,4
187,基本工资,4
188,召集,4
189,业经,4
190,以换,4
191,存入,4
192,养老保险,4
193,调试,4
194,验收单,4
195,教育费,4
196,退税,4
197,妻子,4
198,元冲减,4
199,京辰,4
200,节能,4
201,周,3
202,芳容,3
203,拓宽,3
204,协同效应,3
205,尽可能,3
206,资金周转,3
207,营运,3
208,较长,3
209,采集,3
210,缩写,3
211,南侧,3
212,房间,3
213,证券部,3
214,比上,3
215,第三季度,3
216,元非,3
217,安全监控,3
218,场景,3
219,多元化,3
220,在内,3
221,服务器,3
222,医疗,3
223,近年,3
224,一站式,3
225,民用型,3
226,精简,3
227,通用设备,3
228,追踪,3
229,取证,3
230,招投标,3
231,软件系统,3
232,差异化,3
233,溯源,3
234,来看,3
235,智能化,3
236,积极参与,3
237,展开,3
238,通讯,3
239,超高,3
240,清,3
241,电子设备,3
242,报警,3
243,人工智能,3
244,电视,3
245,广电总局,3
246,地产,3
247,占有,3
248,图片,3
249,技术创新,3
250,元较,3
251,系统集成,3
252,版权,3
253,愿景,3
254,商业模式,3
255,去年同期,3
256,抓住,3
257,品,3
258,财务结构,3
259,安防网,3
260,山东,3
261,十大,3
262,行业协会,3
263,著作权,3
264,游戏,3
265,台,3
266,分类单位,3
267,年份,3
268,到位,3
269,为元股,3
270,以非,3
271,结余,3
272,研究室,3
273,投向,3
274,拟将,3
275,商业机会,3
276,工作日,3
277,曹爱平,3
278,飞,3
279,李存慧,3
280,施天涛,3
281,填补,3
282,兼职,3
283,王长泉,3
284,原件,3
285,代持,3
286,三十六个,3
287,变,3
288,不应,3
289,意向,3
290,清理,3
291,脱贫,3
292,级别,3
293,股该,3
294,号定,3
295,群为,3
296,雷雨,3
297,工商管理,3
298,华北,3
299,计算技术,3
300,电子科技,3
301,博士,3
302,住房,3
303,商标,3
304,财务部门,3
305,指除,3
306,保费,3
307,准备金,3
308,生物,3
309,油气,3
310,中央银行,3
311,中介,3
312,额外,3
313,装修费,3
314,缴费,3
315,即征,3
316,退,3
317,政策性,3
318,开具,3
319,以信,3
320,房租,3
321,经贸委,3
322,展,3
323,赊销,3
324,公司业绩,2
325,健康,2
326,条,2
327,兼并,2
328,难以达到,2
329,借助,2
330,力争,2
331,电视台,2
332,外文,2
333,网址,2
334,电子信箱,2
335,网站,2
336,机构名称,2
337,西城区,2
338,大街,2
339,信达,2
340,第二季度,2
341,第四季度,2
342,统一标准,2
343,否一,2
344,应用软件,2
345,分发,2
346,楼宇,2
347,电力,2
348,硬件平台,2
349,综合治理,2
350,信息系统,2
351,防控,2
352,对普,2
353,摄取,2
354,分销,2
355,通用,2
356,电子,2
357,民用,2
358,厂商,2
359,外协,2
360,二次开发,2
361,该类,2
362,搭建,2
363,反馈,2
364,应急,2
365,明显改善,2
366,稳步发展,2
367,社区,2
368,融,2
369,复合,2
370,多方面,2
371,步伐,2
372,部队,2
373,技术水平,2
374,周期性,2
375,制造业,2
376,改革开放,2
377,三大,2
378,迎来,2
379,服务业,2
380,数字化,2
381,网络化,2
382,播出,2
383,监管部门,2
384,国家级,2
385,服务提供商,2
386,市场占有率,2
387,有线,2
388,涉足,2
389,检索,2
390,音频,2
391,购房款,2
392,贯穿,2
393,互通,2
394,互联,2
395,共建,2
396,首批,2
397,扎根,2
398,军队,2
399,混合,2
400,录像机,2
401,挖掘,2
402,一点,2
403,服务体系,2
404,全方位,2
405,中长期,2
406,价值观,2
407,一批,2
408,骨干,2
409,眼睛,2
410,营性,2
411,人脸识别,2
412,赢利点,2
413,推行,2
414,分局,2
415,言实,2
416,出版社,2
417,人力资源,2
418,结,2
419,财经,2
420,推广会,2
421,奖项,2
422,安保,2
423,奖,2
