,分词排序,词频
0,合纵,264
1,北京,246
2,湖南,89
3,雅城,87
4,科技,84
5,电力,83
6,材料,83
7,磷酸,65
8,新能源,53
9,刘泽刚,46
10,铁,41
11,天津,39
12,茂联,38
13,钴,38
14,信息,36
15,电网,35
16,锂电池,34
17,韦强,32
18,配电,32
19,建设,32
20,工程,30
21,天津市,26
22,资讯网,25
23,汽车,24
24,开关,23
25,正极,22
26,制造,21
27,银行,20
28,高星,20
29,电力设备,19
30,前驱,19
31,体,19
32,锂电,19
33,锂,18
34,互联,18
35,承,18
36,电力工程,17
37,动力,17
38,江苏,16
39,能源,16
40,诺未,16
41,高新技术,16
42,鹏,15
43,创,15
44,数据,15
45,电气,15
46,张仁,15
47,环网柜,13
48,铁锂,13
49,电池,13
50,年生,13
51,环节,12
52,输配电,12
53,创业板,12
54,何昀,12
55,网络,11
56,氧化,11
57,储能,11
58,房地产,11
59,智能,11
60,三元,11
61,资源,11
62,增何昀,11
63,淄博,11
64,太奇,11
65,实科,10
66,铁路,10
67,户外,10
68,张仁增,10
69,箱式,9
70,电,9
71,复合,9
72,国家电网,9
73,电动汽车,9
74,统计,9
75,电力系统,9
76,排名,9
77,骨干,9
78,韩国,9
79,印尼,9
80,车间,9
81,负面影响,9
82,中关村,9
83,张金鑫,9
84,获,9
85,环境,8
86,海淀区,8
87,冯峥,8
88,高压,8
89,变电站,8
90,投标,8
91,需求量,8
92,先行,8
93,亚铁,8
94,能量,8
95,密度,8
96,长沙市,8
97,装备,8
98,自动化,8
99,软件,8
100,后限售,8
101,王小鑫,8
102,学士学位,8
103,农业,8
104,否与,8
105,张晓屹,7
106,柱上,7
107,施工,7
108,调试,7
109,大区,7
110,配电网,7
111,农村,7
112,叉车,7
113,断路器,7
114,越来越,7
115,智能化,7
116,工业,7
117,李智军,7
118,宁波,7
119,王维,7
120,平,7
121,刘卫东,7
122,风险投资,7
123,否张,7
124,生物,7
125,土地,7
126,利润率,7
127,互联网,6
128,网站,6
129,面向,6
130,变压器,6
131,电缆附件,6
132,通用,6
133,用电,6
134,辅料,6
135,检测,6
136,万辆,6
137,电化学,6
138,专注,6
139,电压,6
140,电子,6
141,容量,6
142,酸,6
143,一代,6
144,三星,6
145,实,6
146,赞比亚,6
147,填补,6
148,昀,6
149,源纵,6
150,良,6
151,清华大学电机系,6
152,过电压,6
153,地三街,5
154,嘉华,5
155,增量,5
156,工程师,5
157,系列产品,5
158,体制改革,5
159,装机,5
160,燃油,5
161,山东,5
162,滨海,5
163,长沙,5
164,湖南省,5
165,下滑,5
166,铜,5
167,投产,5
168,元含,5
169,税共派,5
170,涉嫌,5
171,司法机关,5
172,六个月,5
173,职工股,5
174,亲属,5
175,油气,5
176,创业投资,5
177,贵州,5
178,科沃,4
179,尔,4
180,天职,4
181,第三季度,4
182,总包,4
183,运维,4
184,服务商,4
185,氢氧化,4
186,亚,4
187,业内,4
188,招投标,4
189,产品设计,4
190,装配,4
191,绝缘,4
192,省区,4
193,网,4
194,发货,4
195,施工图,4
196,意向,4
197,出台,4
198,新一轮,4
199,趋于平稳,4
200,农网,4
201,开放,4
202,产销,4
203,年底,4
204,体现,4
205,快速增长,4
206,分散,4
207,制造业,4
208,工程建设,4
209,市场占有率,4
210,消费,4
211,几年,4
212,北大,4
213,泰丰,4
214,制造商,4
215,倾向,4
216,车,4
217,时间表,4
218,电流,4
219,十年,4
220,电力行业,4
221,大幅度,4
222,坚强,4
223,通信,4
224,清洁,4
225,分布式,4
226,依然,4
227,矿山,4
228,氧化钴,4
229,镍,4
230,立案侦查,4
231,涉嫌犯罪,4
232,规章,4
233,招股,4
234,申请材料,4
235,补缴,4
236,副会长,4
237,张为华,4
238,硕士学位,4
239,获工学,4
240,学会,4
241,维修,4
242,中央,4
243,否韦强,4
244,为华,4
245,控制措施,4
246,补偿性,4
247,模型,4
248,日有,4
249,养老保险,4
250,教育费,4
251,君灿,4
252,四川,4
253,鹏华,4
254,奖,4
255,主管人员,3
256,红,3
257,外文,3
258,莫伟,3
259,袁刚,3
260,迟文洲,3
261,物料,3
262,零部件,3
263,试用,3
264,从业,3
265,交货,3
266,服务中心,3
267,业务管理,3
268,开箱,3
269,委托方,3
270,特性,3
271,用量,3
272,主料,3
273,市场部,3
274,月度,3
275,控,3
276,广告宣传,3
277,宏观,3
278,这一,3
279,本行业,3
280,深化,3
281,放开,3
282,框架,3
283,历史性,3
284,电动,3
285,汽车行业,3
286,电动叉车,3
287,迎来,3
288,爆发,3
289,船舶,3
290,自动,3
291,市场前景,3
292,电能,3
293,这部分,3
294,趋于,3
295,产品线,3
296,类产品,3
297,变电,3
298,华东,3
299,华北,3
300,等级,3
301,真空,3
302,国民经济,3
303,旗下,3
304,贝特,3
305,更换,3
306,创新能力,3
307,小型化,3
308,电源,3
309,近年,3
310,南京,3
311,油田,3
312,公司员工,3
313,全系列,3
314,操作,3
315,测量,3
316,联网,3
317,一体化,3
318,透明,3
319,信息技术,3
320,卓信,3
321,大华,3
322,退税,3
323,光伏,3
324,游戏,3
325,台,3
326,人工,3
327,募,3
