,分词排序,词频
0,爱司凯,211
1,科技,133
2,杭州,105
3,打印,76
4,银行,62
5,信息,56
6,李明,54
7,广州,54
8,立新,50
9,担保人,49
10,工程,46
11,否田,45
12,打印头,44
13,建设,38
14,唐晖,36
15,喷墨,35
16,喷头,35
17,北京,33
18,朱凡,32
19,数腾,32
20,爱微特,30
21,洛阳,28
22,每笔,28
23,压电,27
24,自动,27
25,普特,26
26,资讯网,25
27,爱数特,24
28,合肥,24
29,房地产,24
30,胶印,23
31,制版机,23
32,招商银行,23
33,特泽,22
34,信息技术,22
35,德同,22
36,上海,22
37,易,22
38,爱新凯,21
39,宁波,21
40,砂型,21
41,授信额度,21
42,工业,20
43,担保责任,20
44,展期,20
45,激光,19
46,印刷,19
47,罚息,19
48,梅山,18
49,保税,18
50,港区,18
51,打印机,18
52,广东,18
53,山东,18
54,保利,17
55,爱数凯,17
56,智能,17
57,电机,17
58,爱数,17
59,内向,17
60,特,16
61,另加,16
62,待定,16
63,计算机,15
64,经销,15
65,赵,15
66,禔,15
67,节能,15
68,止本,15
69,项下,15
70,土地,15
71,喷射,14
72,创业板,14
73,限额,14
74,元爱司凯,14
75,柔印,13
76,自爱,13
77,工业化,12
78,精度,12
79,工程师,12
80,发动机,12
81,真鑫元,12
82,司凯股,12
83,赔偿金,12
84,担保书,12
85,嘉兴,12
86,德驭,12
87,数据,11
88,工业用,11
89,台,11
90,年票,11
91,诺未,11
92,冯旭,11
93,星宝,11
94,钛,11
95,知识产权局,11
96,速度,10
97,软件,10
98,制造业,10
99,复息,10
100,延续,10
101,券商,10
102,建筑物,10
103,容仕凯,9
104,共享,9
105,机器设备,9
106,机械,9
107,咨询服务,9
108,机械设备,9
109,成型,9
110,建造,9
111,昌乐县,9
112,复利,9
113,出资额,9
114,李伯侨,9
115,柔版,8
116,风暴,8
117,检测,8
118,控制系统,8
119,路,8
120,专用设备,8
121,通用机械,8
122,技术咨询,8
123,数码,8
124,履行期,8
125,高新技术,8
126,人为,8
127,结构性,8
128,滨江区,8
129,谢晓楠,7
130,量产,7
131,香港,7
132,制版,7
133,材料,7
134,喷孔,7
135,房,7
136,东风,7
137,网站,7
138,运动,7
139,市场推广,7
140,真,7
141,高新区,7
142,积极开展,7
143,打孔,7
144,尺寸,7
145,表受,7
146,结清,7
147,否李明,7
148,工作细则,7
149,注年,7
150,指爱司凯,6
151,爱,6
152,发起人,6
153,共青城,6
154,浙江,6
155,两家,6
156,光学,6
157,高新,6
158,集合,6
159,合肥市,6
160,交流,6
161,新能源,6
162,发电,6
163,热平衡,6
164,热,6
165,管理系统,6
166,自营,6
167,软件设计,6
168,研制,6
169,深圳,6
170,环保,6
171,资源,6
172,保险,6
173,住房,6
174,中将,6
175,浦发银行,6
176,贰仟,6
177,保证书,6
178,自本,6
179,随之,6
180,花旗银行,6
181,黄宁清,6
182,华南,6
183,否朱凡,6
184,验收单,6
185,免租,6
186,教育费,6
187,朱梁,6
188,专项经费,6
189,红,5
190,柏智方德,5
191,曝光,5
192,幅面,5
193,商用,5
194,以路,5
195,光阀,5
196,光,5
197,清洗,5
198,精密,5
199,高精度,5
200,调焦,5
201,调角,5
202,一支,5
203,管委会,5
204,上版机,5
205,第二十次,5
206,零售,5
207,微,5
208,误差,5
209,切割,5
210,算法,5
211,供墨,5
212,通用,5
213,铸造,5
214,拟定,5
215,第二十三,5
216,梦想,5
217,中所,5
218,承月,5
219,兴业银行,5
220,融资额,5
221,创业投资,5
222,凭证,5
223,蔡荔军,5
224,田,5
225,王朝,5
226,新任,5
227,简历,5
228,事务所律师,5
229,中国科学院,5
230,人员构成,5
231,调试,5
232,海湾,5
233,加计,5
234,第一名,5
235,第二名,5
236,第三名,5
237,第四名,5
238,第五名,5
239,完结,5
240,预提,5
241,注经,5
242,朱凡注,5
243,凯数,4
244,盈联,4
245,数字化,4
246,热敏,4
247,装置,4
248,东路,4
249,紫园,4
250,商务大厦,4
251,互联网,4
252,陆叶,4
253,天职,4
254,直销,4
255,国外,4
256,印刷业,4
257,江苏,4
258,系萝岗,4
259,网点,4
260,技术创新,4
261,核心技术,4
262,剪振,4
263,制造,4
264,软件开发,4
265,技术支持,4
266,服务体系,4
267,零配件,4
268,张帆,4
269,张风军,4
270,信息化,4
271,用地,4
272,宗,4
273,售后服务,4
274,雕刻,4
275,铺砂,4
276,层厚,4
277,电路设计,4
278,单元,4
279,偏差,4
280,零部件,4
281,正负,4
282,定位精度,4
283,电,4
284,机动,4
285,子,4
286,定子,4
287,插补,4
288,定期存款,4
289,否爱司凯,4
290,电子,4
291,传统,4
292,清晰,4
293,社保,4
294,经本,4
295,清理,4
296,佳恒,4
297,天韵,4
298,主合同,4
299,补足,4
300,至该,4
301,滨江,4
302,整,4
303,伍仟,4
304,每期,4
305,越秀,4
306,第二十一次,4
307,工商银行,4
308,诉讼费,4
309,尚有,4
310,开出,4
311,上海浦东发展银行,4
312,召集,4
313,吴海贵,4
314,财政厅,4
315,否唐晖,4
316,否黄宁清,4
317,陕西,4
318,网络科技,4
319,非专利,4
320,外汇,4
321,保费,4
322,越秀区,4
323,日止,4
324,原先,4
325,国家税务局,4
326,退税款,4
327,代扣代缴,4
328,产学研,4
329,穗,4
330,元注,4
331,实缴,4
332,月租金,4
333,富友,4
334,年租金,4
335,伦素,3
336,飞,3
337,环境,3
338,两种,3
339,外文,3
340,东山,3
341,媒体,3
342,董秘,3
343,文化,3
344,陈志刚,3
345,王,3
346,守军,3
347,机构名称,3
348,江海,3
349,增发,3
350,配股,3
351,最新,3
352,摊薄,3
353,应用领域,3
354,厂商,3
355,报纸,3
356,标签,3
357,周期性,3
358,成熟期,3
359,发达,3
