,分词排序,词频
0,环保,315
1,达志,254
2,广东,232
3,表面工程,91
4,广州,72
5,化学品,67
6,信息,63
7,添加剂,60
8,科技,59
9,蔡志华,57
10,电镀,53
11,涂镀,52
12,工程,46
13,材料,45
14,镀,39
15,中间体,36
16,多元醇,30
17,涂,28
18,铬,27
19,表面,25
20,大亚湾,25
21,聚碳酸,23
22,广发,23
23,镀锌,23
24,创业板,23
25,化学,21
26,惠州,20
27,二氧化碳,19
28,银行,19
29,人均,19
30,化工,18
31,江门,18
32,蔡志斌,18
33,酸性,18
34,光亮,18
35,科技实业,18
36,江门市,18
37,刘,18
38,红霞,18
39,工业,17
40,数据,17
41,制备,17
42,耐蚀,17
43,高性能,17
44,董世才,16
45,江苏,16
46,金龙,16
47,亚酯,16
48,资讯网,15
49,镀镍,15
50,三价,15
51,技术秘密,14
52,中科,14
53,科佐,14
54,陈,14
55,德,14
56,商科,14
57,佐,14
58,核心技术,13
59,环境,12
60,耐蚀性,12
61,镀层,12
62,铜,12
63,锡,12
64,节能,12
65,镀铜,12
66,镍,12
67,生于,12
68,光亮剂,11
69,白铜,11
70,钝化,11
71,建设,11
72,绿色,11
73,蔡喜,11
74,刘保华,10
75,氰,10
76,无铅,10
77,镉,10
78,稳定性,10
79,精细化工,10
80,海科,10
81,张立,10
82,茗,10
83,住房,10
84,技术开发区,9
85,清洁,9
86,钯,9
87,工程师,9
88,达志新,9
89,领航,9
90,干细胞,9
91,再生,9
92,共享,9
93,房地产,9
94,涂料,8
95,非专利,8
96,聚碳酸酯,8
97,剂,8
98,金属,8
99,天健,8
100,合成,8
101,封闭剂,8
102,化学工业,8
103,体现,8
104,国家标准,8
105,医学,8
106,淑珍,8
107,汽车,7
108,功能性,7
109,制造,7
110,碱性,7
111,资源,7
112,创新能力,7
113,亚丙酯,7
114,中性,7
115,硫酸盐,7
116,分散,7
117,特司码,7
118,张,7
119,公众,7
120,男出,7
121,获,7
122,生物,7
123,机械,6
124,电子,6
125,博士,6
126,侵犯,6
127,工件,6
128,锌,6
129,合金,6
130,基,6
131,酸,6
132,厂商,6
133,制造业,6
134,低碳,6
135,技术创新,6
136,减排,6
137,关键技术,6
138,高新技术,6
139,黄埔区,6
140,第一批,6
141,土地,6
142,活性,6
143,贡献,6
144,范圣红,6
145,陆少,6
146,朗酬,6
147,摘要,6
148,纪红兵,6
149,导师,6
150,交付给,6
151,航空航天,5
152,个性化,5
153,科研,5
154,配方,5
155,操作,5
156,传票,5
157,二审,5
158,耐磨性,5
159,基体,5
160,赋予,5
161,镀液,5
162,涂层,5
163,整平,5
164,能源,5
165,废气,5
166,技术水平,5
167,氰化,5
168,高速,5
169,催化剂,5
170,汞,5
171,区位,5
172,优异,5
173,水性,5
174,行业标准,5
175,中层,5
176,第一名,5
177,第二名,5
178,第三名,5
179,第四名,5
