,分词排序,词频
0,博创,176
1,光,162
2,器件,92
3,模块,73
4,科技,64
5,上海,62
6,成都,58
7,迪谱,54
8,银行,54
9,信息,52
10,通信,41
11,光电,38
12,收发,37
13,集成,36
14,高速,35
15,电子器件,34
16,有源,34
17,网络,28
18,光纤,28
19,运营商,26
20,兼职,26
21,朱伟,24
22,数据中心,24
23,圭博,24
24,工程,23
25,东方通信,21
26,天通,19
27,郑晓彬,19
28,分路,18
29,数据,18
30,建设,17
31,池,17
32,电信,16
33,波导,16
34,光学,16
35,器,16
36,元博创,16
37,资讯网,16
38,会计报表,16
39,嘉兴,15
40,波分,15
41,张驰,15
42,光通信,14
43,制造,14
44,可调,14
45,硅基,13
46,光无源,13
47,工程师,13
48,杭州,13
49,环境,12
50,复用,12
51,功率,12
52,材料,12
53,郑志新,11
54,数据通信,11
55,春光,11
56,浙江,11
57,平面,10
58,阵列,10
59,硅,10
60,光子,10
61,嘉兴市,10
62,天健,10
63,到户,10
64,丁勇,10
65,赵,10
66,接收,9
67,组件,9
68,互联网,9
69,端,9
70,光纤通信,9
71,郭端,9
72,研究员,9
73,除因,9
74,数年,8
75,光电子,8
76,创业板,8
77,丽丽,8
78,电子,8
79,土地,8
80,对光,7
81,思博,7
82,衰减器,7
83,美国公司,7
84,元器件,7
85,精电新,7
86,成熟期,6
87,专注,6
88,光栅,6
89,复用器,6
90,信号,6
91,接入网,6
92,中信证券,6
93,部署,6
94,接入,6
95,高新技术,6
96,无源,6
97,贡献,6
98,制造业,6
99,万件,6
100,高性能,6
101,更好,6
102,中国光大银行,6
103,中国民生银行,6
104,胡,6
105,沈纲祥,6
106,永康,6
107,博士,6
108,总裁兼,6
109,教育,6
110,密集,5
111,芯片,5
112,商,5
113,下半年,5
114,快速增长,5
115,传输,5
116,承载,5
117,网,5
118,占据,5
119,辞职,5
120,房地产,5
121,灵活,5
122,资源,5
123,黄俊明,5
124,第九次,5
125,陈文君,5
126,杨,5
127,精密机械,5
128,首席,5
129,经营收入,5
130,源于,5
131,外汇,5
132,基础设施,4
133,激烈,4
134,降价,4
135,容量,4
136,延伸,4
137,厂商,4
138,南湖,4
139,亚太,4
140,路,4
141,黄加,4
142,牟峥,4
143,封装,4
144,传输网,4
145,核心技术,4
146,广泛应用,4
147,三大,4
148,北美,4
149,高速率,4
