,分词排序,词频
0,三超,261
1,南京,258
2,材料,241
3,金刚石,82
4,信息,57
5,创业投资,46
6,金刚,41
7,苏州,38
8,电镀,37
9,砂轮,37
10,江苏,36
11,上缴,33
12,协立,30
13,工程,26
14,邹余耀,25
15,凯风,25
16,建设,24
17,科技,21
18,前限售,21
19,光伏,20
20,具体措施,20
21,贵宾,19
22,银行,18
23,东星,18
24,排放,17
25,刘建勋,16
26,超硬,15
27,高新技术,15
28,光电,15
29,数据,14
30,精密,14
31,镇江,14
32,蓝宝石,13
33,切割,13
34,硅,13
35,环境,13
36,赵,13
37,环保,13
38,创业板,12
39,复权,12
40,六个月,12
41,成都,12
42,意向,12
43,否姜,12
44,房地产,12
45,新政,11
46,接到,11
47,日内,11
48,解禁,11
49,锯,10
50,株式会社,10
51,制品,10
52,镍,10
53,土地,10
54,当日,10
55,君鼎,10
56,触发,10
57,污染物,10
58,哈尔滨,10
59,南京市,9
60,江宁区,9
61,万盛,9
62,霍尔果斯,9
63,进取,9
64,周海鑫,8
65,急剧,8
66,制造,8
67,基准,8
68,经前,8
69,污水,8
70,生物,8
71,王欢,8
72,稳定性,7
73,磁性材料,7
74,半导体,7
75,上海,7
76,天衡,7
77,翟刚,7
78,下同,7
79,在线,7
80,工程师,7
81,南京航空航天大学,7
82,外汇,7
83,产品价格,6
84,规格,6
85,切片,6
86,硬脆,6
87,能源,6
88,句容市,6
89,三期,6
90,发明专利,6
91,切削,6
92,光学,6
93,内拟,6
94,内如,6
95,晟,6
96,大宗,6
97,招股,6
98,社会公众,6
99,吉国,6
100,姜,6
101,否赵,6
102,啟明,6
103,油气,6
104,出台,5
105,再次,5
106,裸线,5
107,金属,5
108,人工,5
109,新材,5
110,磨削,5
111,奥,5
112,瑞德,5
113,工业,5
114,建立健全,5
115,唐银科,5
116,报刊,5
117,道歉,5
118,第项,5
119,单次,5
120,狄峰,5
121,超标,5
122,废气,5
123,机器设备,5
124,过快,4
125,度,4
126,电子,4
127,带来不利,4
128,足额,4
129,滞销,4
130,磨料,4
131,陶瓷,4
132,致远,4
133,路,4
134,互联网,4
135,网站,4
136,两大类,4
137,抛光,4
138,物料,4
139,软件,4
140,知名,4
141,宁波,4
142,扩产,4
143,技术创新,4
144,技术改造,4
145,耗费,4
146,基建,4
147,句容,4
148,厂区,4
149,资源,4
150,辅料,4
151,力争,4
152,刀具,4
153,中所,4
154,股票价格,4
155,诉求,4
156,日为,4
157,下述,4
158,期已,4
159,如遇,4
160,均价,4
161,司法机关,4
162,本项,4
163,送达,4
164,胜,4
165,陈民泰,4
166,排口,4
167,尊重,4
168,限值,4
169,标准表,4
170,口,4
171,监测,4
172,酸雾,4
173,财政厅,4
174,国家税务局,4
175,地方税务局,4
176,证书编号,4
177,派哈,4
178,左敦稳,4
