,分词排序,词频
0,装饰,459
1,维业,327
2,建筑,154
3,工程,143
4,施工,90
5,信息,57
6,闽东,55
7,建工,54
8,装修,50
9,深圳,48
10,福建,46
11,房地产,45
12,张汉清,41
13,建设,36
14,材料,35
15,科技,27
16,住宅,27
17,银行,26
18,福田区,25
19,住房,25
20,建造,25
21,精装修,24
22,武汉,23
23,公共建筑,21
24,工程施工,20
25,璧,20
26,维业宏广,19
27,工程设计,19
28,资讯网,19
29,工程项目,18
30,数据,17
31,酒店,17
32,上海,16
33,幕墙,15
34,建筑物,15
35,一体化,15
36,土建,15
37,智,15
38,叶雪,15
39,幼年,15
40,智汇,14
41,投标,13
42,否不,13
43,张汉清及,13
44,装饰业,12
45,工程量,12
46,大道,12
47,承接,11
48,工程质量,11
49,系本,11
50,彭金萃,11
51,泉,11
52,剑锋,10
53,建筑材料,10
54,基础设施,10
55,公寓,10
56,竣工,10
57,詹伟,10
58,重庆市,10
59,山区,10
60,街道,10
61,双星,10
62,附号,10
63,接房证,10
64,未办,10
65,祥禾,9
66,涌安,9
67,陆河县,9
68,城镇化,9
69,调控,9
70,带动,9
71,企业家,9
72,网络,9
73,人工,9
74,中盛瀚天,9
75,欧威,9
76,家居,9
77,沈茜,9
78,工作细则,9
79,张汉伟,9
80,名单,9
81,招投标,9
82,市场价,9
83,股未,9
84,土地,9
85,胡,8
86,新洲,8
87,路,8
88,以西,8
89,莲花路,8
90,以南,8
91,振业,8
92,景洲,8
93,裙楼,8
94,张继军,8
95,立信,8
96,资源,8
97,评为,8
98,环保,8
99,健康,8
100,环境,8
101,项目管理,8
102,项目经理,8
103,第一名,8
104,第二名,8
105,第三名,8
106,第四名,8
107,第五名,8
108,张汉洪,8
109,裁判,8
110,文书,8
111,罗烈,8
112,李建强,8
113,修订稿,8
114,日为,8
115,职,8
116,工作量,8
117,芜湖,7
118,众英集,7
119,圣陶宛,7
120,交通,7
121,粤港澳,7
122,大湾,7
123,建筑业,7
124,万家,7
125,委托方,7
126,监理,7
127,依然,7
128,中国银行,7
129,颁发,7
130,反诉,7
131,发,7
132,罗,7
133,维业卉景,6
134,维业华诚,6
135,新维,6
136,创世,6
137,高新技术,6
138,高档,6
139,星级,6
140,代表作品,6
141,机场,6
142,广场,6
143,奖,6
144,人口,6
145,绿色,6
146,节能,6
147,甲方,6
148,工程师,6
149,现金管理,6
150,建设银行,6
151,会师,6
152,报字,6
153,部件,6
154,澳冠维业,6
155,教育,6
156,摘要,6
157,公示,6
158,核查,6
159,成就,6
160,王鹏,6
161,物业,6
162,年入,6
163,教育费,6
164,刘晓一,5
165,对此,5
166,园林,5
167,专业化,5
168,文教,5
169,体卫,5
170,人民大会堂,5
171,大楼,5
172,结构性,5
173,活力,5
174,一带,5
175,一路,5
176,土木工程,5
177,建筑行业,5
178,进程,5
179,新建,5
180,来看,5
181,放缓,5
182,业务流程,5
183,项目部,5
184,分包,5
185,作业,5
186,地产,5
187,完备,5
188,甲级,5
189,建筑装修,5
190,协同效应,5
191,旅游,5
192,信息化,5
193,室内,5
194,智能化,5
195,汇回,5
196,业经,5
197,部品,5
198,工厂化,5
199,记录表,5
200,愿,5
201,广东,5
202,辞职,5
203,订立,5
204,保险,5
205,魏志辉,5
206,郭明忠,5
207,祥林,5
208,贡献,5
209,除净,5
210,葡币,5
211,维智,4
212,智慧,4
213,原名,4
214,一次性,4
215,民生银行,4
216,供给,4
217,深化,4
218,存量,4
219,速度,4
220,客户资源,4
221,百强,4
222,荣获,4
223,家具,4
224,热点,4
225,增量,4
226,楼房,4
227,宿舍,4
228,转固,4
229,改革开放,4
230,联合会,4
231,机电设备,4
232,扩充,4
233,总包,4
234,雄安,4
235,集成,4
236,花园,4
237,城,4
238,建筑施工,4
239,信托,4
240,募,4
241,第十四次,4
242,验资,4
243,投资总额,4
244,管理局,4
245,充足,4
246,上涨,4
247,元含,4
248,税共派,4
249,招股,4
250,身份,4
251,事,4
252,石家庄市,4
253,此次,4
254,刘永珠,4
255,基准日,4
256,扶贫,4
257,防治法,4
258,巍,4
259,金融业务,4
260,华林,4
261,罗西,4
262,宾,4
263,院长,4
264,德沃,4
265,中航,4
266,副会长,4
267,办公会议,4
268,选取,4
269,样本,4
270,章,4
271,生物,4
272,油气,4
273,以换,4
274,养老保险,4
275,工程进度,4
276,建设局,4
277,深福人,4
278,单字,4
279,第四条,4
280,产权交易,4
281,工业园,4
282,肖庆华,3
283,年报,3
284,维业智,3
285,证监会,3
286,物联,3
287,冠维业,3
288,宣宜辰,3
289,赵,3
290,巍巍,3
291,机构名称,3
292,国海,3
293,第三季度,3
294,普通住宅,3
295,别墅,3
296,豪华,3
297,凤凰,3
298,修订本,3
299,周期性,3
300,年均,3
301,国民经济,3
302,坚实,3
303,房,3
304,呈现,3
305,小企业,3
306,行业协会,3
307,不断扩大,3
308,共有,3
309,鲁班奖,3
310,守,3
311,房地产业,3
312,中介,3
313,稳步,3
314,城镇化率,3
315,国务院,3
316,户籍,3
317,清单,3
318,居民,3
319,收集,3
320,造价,3
321,甲,3
322,公装,3
323,突出贡献,3
324,品牌优势,3
325,服务商,3
326,创意设计,3
327,上下游,3
328,承包商,3
329,分支机构,3
330,制造业,3
331,分子,3
332,长租,3
333,安全事故,3
334,西南,3
335,香港,3
336,澳门,3
337,栋,3
338,青岛,3
339,温州,3
340,附属,3
341,医院,3
342,场所,3
343,受限制,3
344,浦发银行,3
345,金融中心,3
346,福田,3
347,宁波,3
348,上海银行,3
349,六个,3
350,超募,3
351,预先,3
352,越冠维业,3
353,第二十四,3
354,第二十五次,3
355,成交,3
356,交割,3
357,对维业,3
358,很多,3
359,中有,3
360,装配式,3
361,智能,3
362,人工成本,3
363,三十六个,3
364,寇巍,3
365,规,3
366,票,3
367,十个,3
368,督促,3
369,拟以,3
370,再审,3
371,江西,3
372,本诉,3
373,第二十三,3
374,半年报,3
375,魏洪寇,3
376,向名,3
377,日用百货,3
378,证券期货,3
379,罗方造,3
380,辞去,3
381,蔡宛,3
382,真,3
383,经济师,3
384,经济学,3
385,会长,3
386,江西财经大学,3
387,客座教授,3
388,法务部,3
389,智派,3
390,鼎盛,3
391,否张,3
392,建立健全,3
393,召集,3
394,科学,3
395,经理层,3
396,公司总裁,3
397,候选人,3
398,胜任,3
399,政府部门,3
400,请参阅,3
401,保费,3
402,准备金,3
403,中央银行,3
404,时如,3
405,包装物,3
406,低值易耗品,3
407,存入,3
408,抵债,3
409,软件,3
410,使用费,3
411,缴费,3
412,确认函,3
413,政策性,3
414,小型,3
415,微利,3
416,放在,3
417,万隆,3
418,需对,3
419,基点,3
420,叶雪幼,3
421,委托人,2
422,詹伟哉,2
423,如本,2
424,人士,2
425,理解,2
426,章节,2
427,送,2
428,红,2
429,股股,2
430,中文名称,2
431,商报,2
432,东路,2
433,综合楼,2
434,三楼,2
435,互联网,2
436,网址,2
437,电子信箱,2
438,媒体,2
439,统一标准,2
440,综合性,2
441,机关,2
442,腾讯,2
443,海南,2
444,华润,2
445,天津,2
446,博物馆,2
447,地铁,2
448,深圳湾,2
449,一号,2
450,顶级,2
451,概况,2
452,侧,2
453,业等,2
454,每一,2
455,可持续性,2
456,万亿元,2
457,稳中,2
458,挑战,2
459,区雄安,2
460,改建,2
461,扩建,2
462,注入,2
463,开工,2
464,稳步发展,2
465,得以,2
466,成熟,2
467,过度,2
468,一批,2
469,大中型,2
470,契机,2
471,凸显,2
472,规范化,2
473,工程装饰,2
474,国家级,2
475,工商局,2
476,著名商标,2
477,知名品牌,2
478,老字号,2
479,荣誉称号,2
480,稳定增长,2
481,广阔,2
482,最小,2
483,下调,2
484,城乡,2
485,到位,2
486,主流,2
487,开发商,2
488,逐年,2
489,居住,2
490,夯实,2
491,承揽,2
492,筛选,2
493,立项,2
494,评审,2
495,预审,2
496,跟进,2
497,签订合同,2
498,基层,2
499,面层,2
500,指乙供,2
501,比价,2
502,组建,2
503,施工员,2
504,员,2
505,步骤,2
506,岗,2
507,多层次,2
508,施工进度,2
509,档案管理,2
510,应急,2
511,承建,2
512,验收报告,2
513,越来越,2
514,实践,2
515,常务理事,2
516,在内,2
517,建,2
518,开创,2
519,四十周年,2
520,市政,2
521,公用,2
