,分词排序,词频
0,电梯,330
1,沪宁,303
2,杭州,268
3,部件,252
4,信息,67
5,振华,45
6,邹家,33
7,机械,33
8,春,30
9,制造,22
10,一线品牌,22
11,数据,21
12,徐,20
13,芙蓉,20
14,材料,20
15,慈溪,19
16,慈溪市,19
17,工程,19
18,电梯配件,17
19,建设,16
20,房地产,16
21,创业板,16
22,银行,15
23,江南,15
24,嘉捷,15
25,浙江,14
26,土地,14
27,整梯,13
28,产品开发,12
29,建筑物,12
30,斯代富,11
31,精益,11
32,邹雨雅,11
33,苏州,11
34,扶贫,11
35,卡斯,10
36,丁,10
37,中汇,10
38,机电设备,9
39,钳,9
40,轿厢,9
41,关键部件,9
42,传统,9
43,自动化,9
44,环保,9
45,环境,9
46,青云,9
47,教育,9
48,余杭区,8
49,资讯网,8
50,解读,8
51,地产,8
52,革命,8
53,零部件,8
54,宋,8
55,生物,8
56,泰,7
57,器,7
58,衡量,7
59,寿命,7
60,高度,7
61,发明专利,7
62,套,7
63,网络,7
64,健康,7
65,冯,7
66,六个月,7
67,余杭,7
68,故未,7
69,鼎阔,6
70,街道,6
71,缓冲器,6
72,滚轮,6
73,导靴,6
74,限速,6
75,拉动,6
76,加装,6
77,竣工,6
78,概念,6
79,角度,6
80,公司业绩,6
81,越来越,6
82,宁波,6
83,内本,6
84,珠海,6
85,乾亨,6
86,徐文松,6
87,若干,6
88,董秘,6
89,负面影响,6
90,油气,6
91,嵌入,6
92,以换,6
93,保护装置,5
94,超速,5
95,万台,5
96,万部,5
97,联网,5
98,潮流,5
99,装备,5
100,摩擦,5
101,供给,5
102,侧,5
103,稳定性,5
104,纵向,5
105,公众,5
106,挑战,5
107,预先,5
108,制造业,5
109,用工,5
110,滞纳金,5
111,部门规章,5
112,环境保护,5
113,杜烈康,5
114,对此,4
115,检测,4
116,要素,4
117,互联网,4
118,媒体,4
119,上海,4
120,网站,4
121,表述,4
122,增量,4
123,旧楼,4
124,总需求,4
125,党中央,4
126,利好,4
127,面积,4
128,二线,4
129,填补,4
130,复合材料,4
131,自动,4
132,营运,4
133,步伐,4
134,表现,4
135,九大,4
136,专利权,4
137,资源,4
138,社会公众,4
139,万套,4
140,为此,4
141,价值观,4
142,全员,4
143,曳引,4
144,负面,4
145,冲击,4
146,国华,4
147,补缴,4
148,应由,4
149,住房,4
150,道歉,4
151,起个,4
152,名单,4
153,程礼源,4
154,市场价,4
155,就业,4
156,应急,4
157,防治法,4
158,邹成蔚,4
159,张清,4
160,日日,4
161,何泉,4
162,胡召华,4
163,西子,4
164,杜烈,4
165,马,4
166,简历,4
167,上文,4
168,日年,4
169,召集,4
170,缺,4
171,五十,4
172,装修,4
173,建造,4
174,工伤保险,4
175,换取,4
176,代垫,4
177,理解,3
178,缓解,3
179,装置,3
180,三大,3
181,工业园区,3
182,环园,3
183,林,3
184,鹏飞,3
185,叶萍,3
186,表时,3
187,此项,3
188,调整法,3
189,最新,3
190,一线,3
191,型式,3
192,台量,3
193,引发,3
194,城镇化,3
195,年底,3
196,跌幅,3
197,轨道交通,3
198,持续增长,3
199,存量,3
200,旧梯,3
201,人民,3
202,推行,3
203,速度,3
204,开启,3
205,生态,3
206,追求,3
