,分词排序,词频
0,光电,360
1,中山,293
2,光学,90
3,镜头,87
4,信息,67
5,龚俊强,58
6,资讯网,40
7,中山市,36
8,邱盛平,36
9,肖明志,35
10,科技,33
11,银行,33
12,安防,32
13,制造,32
14,系本,32
15,光,28
16,否王志伟,24
17,工程,23
18,武汉,22
19,中联,21
20,火炬,20
21,建设,18
22,成像,17
23,正安县,16
24,联一合立,16
25,变焦,15
26,上海,15
27,深圳,15
28,香港,14
29,创业板,14
30,栏目,14
31,触发,14
32,为元股,14
33,高清,13
34,致使,13
35,由股,13
36,扶贫,13
37,益围,12
38,路,12
39,消费,12
40,精密,12
41,智能,12
42,重九,12
43,日元,12
44,超高,11
45,清,11
46,永中,11
47,数据,11
48,视频,11
49,北京,11
50,飚,11
51,保障型,11
52,房地产,11
53,君联,10
54,瞿宗金,10
55,社会公众,10
56,电子,9
57,兴业银行,9
58,要约,9
59,王志伟,9
60,借入,9
61,南海,8
62,盛,8
63,应用领域,8
64,投影,8
65,视讯,8
66,新兴,8
67,生物,8
68,激光,8
69,自动化,8
70,工程师,8
71,资源,8
72,晋国,8
73,交易方式,8
74,促使,8
75,技术改造,8
76,共青城,7
77,海康,7
78,威视,7
79,安信,7
80,组件,7
81,教育,7
82,工程技术,7
83,高新技术,7
84,广东,7
85,以股,7
86,报刊,7
87,道歉,7
88,起个,7
89,否沙,7
90,土地,7
91,模具,7
92,倍率,6
93,经营规模,6
94,光博,6
95,创科,6
96,鸿发,6
97,网站,6
98,材料,6
99,发明专利,6
100,出资额,6
101,制造业,6
102,蔡宾,6
103,下同,6
104,摘要,6
105,第一个,6
106,券商,6
107,招商银行,6
108,增至,6
109,就职,6
110,机器设备,6
111,否李文,6
112,武卫,6
113,第二季度,5
114,兴,5
115,证监会,5
116,大华,5
117,杭州,5
118,浙江,5
119,互联网,5
120,超短,5
121,焦,5
122,软件,5
123,新建,5
124,建立健全,5
125,台,5
126,创业投资,5
127,拟向,5
128,谢,5
129,内向,5
130,每次,5
131,采取相应,5
132,为止,5
133,李文,5
134,万份,5
135,第五次,5
136,限售期,5
137,华山,5
138,油气,5
139,日为,5
140,高像素,5
141,小型,5
142,汇丰银行,5
143,广场,5
144,摄像,5
145,装置,5
146,较强,4
147,环境,4
148,竣工,4
149,嘉兴市,4
150,联网,4
151,智能家居,4
152,持续增长,4
153,增长点,4
154,带动,4
155,创新能力,4
156,检测,4
157,技术创新,4
158,展览会,4
159,更好,4
160,文化,4
161,优秀人才,4
162,电视,4
163,快递费,4
164,至股,4
165,俊佳,4
166,末经,4
167,不具,4
168,可比性,4
169,日月,4
170,公司公告,4
171,其上,4
172,具体措施,4
173,工作日内,4
174,招股,4
175,刘麟放,4
176,督促,4
177,潘华,4
178,李建华,4
179,全丽伟,4
180,向名,4
181,由元股,4
182,成就,4
183,第六次,4
184,相关者,4
185,凤凰,4
186,微电子,4
187,项目经理,4
188,归类,4
189,嵌入,4
190,混合,4
191,否本,4
192,高分辨率,4
193,微利,4
194,姚强,4
195,补助款,4
196,监测,4
197,中字,4
198,彭碗玲,3
199,防抖,3
200,一体机,3
201,投产,3
202,下半年,3
203,旺季,3
204,释放,3
205,楼,3
206,王建新,3
207,范,3
208,婷婷,3
209,机构名称,3
210,第三季度,3
211,元非,3
212,致力于,3
213,高速,3
214,人工智能,3
215,展台,3
216,倍,3
217,汽车,3
218,自动,3
219,车载,3
220,虚拟现实,3
221,主导地位,3
222,宇视,3
223,扩建,3
224,厂区,3
225,长远,3
226,增,3
227,凝聚力,3
228,人力资源,3
229,留住,3
230,游戏,3
231,人工,3
232,开发费,3
233,此类,3
234,入,3
235,关,3
236,博源,3
237,超募,3
238,投向,3
239,核查,3
240,尽快,3
241,元后,3
242,三十六个,3
243,承,3
244,人均,3
245,因其,3
246,审慎,3
247,大宗,3
248,单次,3
249,前提条件,3
250,时如,3
251,无效,3
252,对此,3
253,名单,3
254,权可,3
255,厦门,3
256,健康,3
257,脱贫,3
258,就业,3
259,股二,3
260,否否否,3
261,亲属,3
262,沙,3
263,江绍基,3
264,王晋疆,3
265,信泰,3
266,鲲鹏,3
267,清石,3
268,博士,3
269,设计部,3
270,简历,3
271,劳动合同,3
272,住房,3
273,面向,3
274,工作细则,3
275,规章制度,3
276,选聘,3
277,职能,3
278,集体,3
279,暂定,3
280,失,3
281,务,3
282,流失,3
283,财产损失,3
284,疑虑,3
285,保费,3
286,准备金,3
287,中央银行,3
288,股债,3
289,工商登记,3
290,塑胶,3
291,日以,3
292,建筑物,3
293,办公设备,3
294,保险费,3
295,纳米,3
296,精度,3
297,玻璃,3
298,模造,3
299,体积,3
300,数码相机,3
301,摄像头,3
302,政策性,3
303,每笔,3
304,及超,3
305,研制,3
306,装备,3
307,首期,3
308,瞿宗金及,2
309,高性能,2
310,技术水平,2
311,增大,2
312,加剧,2
313,价格下降,2
314,扩张,2
315,内外,2
316,错失,2
317,五大,2
318,恶化,2
319,化解,2
320,劳动力,2
321,供求关系,2
322,削弱,2
323,全力,2
324,来临,2
325,未达,2
326,股股,2
327,更名,2
328,外文,2
329,网址,2
330,电子信箱,2
331,最新,2
332,第一季度,2
333,第四季度,2
334,统一标准,2
335,拓宽,2
336,公司业绩,2
337,转化,2
338,近年,2
339,现实,2
340,影像,2
341,不断创新,2
342,产品开发,2
343,成效,2
344,亿颗,2
345,占据,2
346,变焦镜头,2
347,电子产品,2
348,办公楼,2
349,转固,2
350,备料,2
351,杠杆作用,2
352,核心技术,2
353,注塑,2
354,荣誉,2
355,高层次,2
356,积极开展,2
357,产学研,2
358,无人机,2
359,引擎,2
360,知名,2
361,制订,2
362,颁发,2
363,合作伙伴,2
364,商标,2
365,外观设计,2
366,市级,2
367,起到,2
368,证书编号,2
369,新版,2
370,有助于,2
371,安全性,2
372,存储,2
373,用作,2
374,旨在,2
375,创造性,2
376,管理控制,2
377,业务管理,2
378,信息系统,2
379,集成,2
380,管理效率,2
381,晋升,2
382,广播,2
383,电影,2
384,类非,2
385,华东,2
386,华南,2
387,器件,2
388,联,2
389,投资额,2
390,盈亏,2
391,计算机,2
392,零售,2
393,技术推广,2
394,联丰,2
395,年份,2
396,集,2
397,去向,2
