,分词排序,词频
0,广州,423
1,通信,355
2,广哈,231
3,前限售,224
4,调度,134
5,信息,87
6,指挥,82
7,电力,51
8,铁路,49
9,国防,46
10,建设,46
11,装备,43
12,信息化,33
13,智能,32
14,广有,31
15,军队,29
16,骆继荣,29
17,联电,26
18,控股公司,26
19,多媒体,25
20,软件,25
21,网络,24
22,工程,24
23,数据,23
24,银行,23
25,电气,21
26,盛邦,21
27,房地产,21
28,黄文胜,20
29,电子,19
30,广电,19
31,文峰,18
32,永宁,17
33,黄,17
34,朱伟玲,17
35,电厂,16
36,双全,16
37,黄文,16
38,胜任,16
39,孙业,15
40,无线电,15
41,分子,15
42,退,15
43,朱滔,15
44,扶贫,15
45,科技,15
46,军事,14
47,创业板,14
48,软件产品,14
49,材料,13
50,电网,13
51,工业,13
52,土地,13
53,即征,13
54,永中,12
55,省份,12
56,广东,12
57,退税,12
58,资讯网,12
59,首个,12
60,机电,12
61,香港,12
62,谭维立,11
63,陈晓莹,11
64,制造,11
65,结构性,11
66,陈翔,11
67,有线电,11
68,高新技术,10
69,六个月,10
70,杨,10
71,穗,10
72,扩股,10
73,发电,9
74,资源,9
75,北京,9
76,建筑物,9
77,戴穗刚,9
78,经济实体,9
79,卢,9
80,国家电网,8
81,视频,8
82,上海,8
83,智能化,8
84,环境,8
85,刘小青,8
86,丘海雄,8
87,工程师,8
88,验资,7
89,下一代,7
90,扩展,7
91,语音,7
92,战争,7
93,信息技术,7
94,体制,7
95,军兵种,7
96,投标,7
97,电力行业,7
98,网点,7
99,教育,7
100,海珠区,7
101,否杨,7
102,越秀,7
103,南方电网,6
104,科学,6
105,轨道交通,6
106,华南,6
107,安徽,6
108,江苏,6
109,著作权,6
110,套,6
111,数字化,6
112,填补,6
113,光大银行,6
114,珠江,6
115,新城,6
116,对公,6
117,现金管理,6
118,股高管,6
119,其本,6
120,厂长,6
121,加计,6
122,社会保险,6
123,一路,5
124,互联网,5
125,终端,5
126,供货,5
127,检测,5
128,电力公司,5
129,延伸,5
130,系本,5
131,致使,5
132,全卢,5
133,刘军朗,5
134,柯,5
135,国富,5
136,海波,5
137,深圳,5
138,常务,5
139,电器,5
140,雅天,5
141,实施细则,5
142,机器设备,5
143,外经贸,5
144,资号,5
145,鹏胜,5
146,后本,5
147,工商行政管理局,5
148,非专利,5
149,鸿达,5
150,国网,4
151,城南,4
152,网站,4
153,杨锡光,4
154,李正良,4
155,机构名称,4
156,系年,4
157,环节,4
158,手段,4
159,分销,4
160,整机,4
161,打赢,4
162,现代化,4
163,年均,4
164,里程,4
165,专注,4
166,多家,4
167,华东,4
168,华北,4
169,云南,4
170,湖南,4
171,兵种,4
172,越来越,4
173,办公楼,4
174,核心技术,4
175,发明专利,4
176,信誉,4
177,进程,4
178,制订,4
179,摊,4
180,投向,4
181,电子设备,4
182,中所,4
183,投票,4
184,派发,4
185,人广智,4
186,大宗,4
187,陈振,4
188,国王,4
189,勇张,4
190,聚明,4
191,雷,4
192,当日,4
193,招股,4
194,立新,4
195,直系亲属,4
196,受托人,4
197,社会保障,4
198,理事会,4
199,广日,4
200,资格证书,4
201,暨南大学,4
202,中山大学,4
203,越鑫,4
204,审计部,4
205,简历,4
206,参阅,4
207,南洋,4
208,电缆厂,4
209,意力,4
210,召集,4
211,三名,4
212,保费,4
213,生物,4
214,油气,4
215,嵌入,4
216,混合,4
217,办公设备,4
218,住房,4
219,国库,4
220,无此,4
221,普惠,4
222,骆继,4
223,荣任,4
224,祝立,4
225,新任,4
226,朱滔任,4
227,人士,3
228,广智,3
229,国资委,3
230,五大,3
231,三峡,3
232,中广核,3
233,中铁,3
234,电信,3
235,硬件,3
236,全称,3
237,第三季度,3
238,而本,3
239,作战,3
240,民用,3
241,高科技,3
242,面向,3
243,自动化,3
244,多点,3
245,配置,3
246,物料,3
247,部件,3
248,金属,3
249,选用,3
250,主流,3
251,定制,3
252,日益,3
253,按计划,3
254,民品,3
255,直销,3
256,商务,3
257,调试,3
258,军民,3
259,集成,3
260,到位,3
261,依然,3
262,态势,3
263,三家,3
264,占据,3
265,确立,3
266,国防建设,3
267,战区,3
268,华中,3
269,西北,3
270,西南,3
271,东北,3
272,浙江,3
273,新疆,3
274,陕西,3
275,河北,3
276,河南,3
277,青海,3
278,蒙东,3
279,山西,3
280,福建,3
281,吉林,3
282,四川,3
283,重庆,3
284,江西,3
285,内蒙,3
286,山东,3
287,南网,3
288,贵州,3
289,广西,3
290,海南,3
291,粤电,3
292,国华,3
293,华润,3
294,国信,3
295,皖能,3
296,山东鲁能,3
297,十九,3
298,训练,3
299,表现,3
300,系待,3
301,申请专利,3
302,体验,3
303,把握,3
304,领先地位,3
305,系列产品,3
306,一步,3
307,事故,3
308,游戏,3
309,配件,3
310,人工,3
311,战略规划,3
