,分词排序,词频
0,长盛,323
1,浙江,269
2,滑动轴承,236
3,轴承,216
4,自润滑,129
5,信息,68
6,材料,55
7,嘉善,54
8,汽车,40
9,工程,35
10,工业,30
11,润滑,29
12,孙志华,27
13,卷制,25
14,工程机械,23
15,边界,23
16,嘉善县,21
17,数据,20
18,模具,20
19,银行,20
20,双金属,19
21,建设,18
22,塑料,17
23,高新技术,16
24,房地产,16
25,自润,15
26,制造,15
27,上海,14
28,环境,14
29,机械行业,14
30,应用领域,13
31,机械,13
32,零部件,12
33,自动化,12
34,创业板,12
35,基,11
36,因未,11
37,检测,10
38,制造业,10
39,车间,10
40,自动,10
41,扶贫,10
42,土地,10
43,健康,9
44,复合,9
45,金属塑料,9
46,聚合物,9
47,金属,9
48,铜基,9
49,周锦祥,9
50,社会公众,9
51,道歉,9
52,曹寅超,9
53,招股,9
54,翰林,9
55,杭州,9
56,斜盘,8
57,街道,8
58,生物,8
59,建筑物,8
60,人工,8
61,陆晓林,8
62,报刊,8
63,刘,8
64,储志红,7
65,铜,7
66,摩擦,7
67,轴套,7
68,高性能,7
69,惠民,7
70,鑫,7
71,达路,7
72,立信,7
73,非金属,7
74,意向,7
75,科技,7
76,信息化,7
77,压缩机,7
78,精益,7
79,教育,7
80,烧结,6
81,主机,6
82,电子,6
83,成型,6
84,环保,6
85,软件,6
86,晋升,6
87,第个,6
88,王伟杰,6
89,吉林省,6
90,环境保护,6
91,郭建,6
92,建造,6
93,税额,6
94,更新改造,6
95,周期性,5
96,高分子,5
97,稳定性,5
98,相匹配,5
99,滚动,5
100,预先,5
101,表面,5
102,固体,5
103,资讯网,5
104,送货,5
105,起到,5
106,汽车行业,5
107,汽车产量,5
108,万辆,5
109,知名,5
110,主机厂,5
111,东,5
112,部件,5
113,完备,5
114,试验机,5
115,会师,5
116,报字,5
117,方可,5
118,期则,5
119,顺延,5
120,需向,5
121,付至,5
122,陆忠泉,5
123,填补,5
124,养老保险,5
125,股外,5
126,证券公司,5
127,油气,5
128,除净,5
129,教育费,5
130,广泛应用,4
131,港口机械,4
132,塑料机械,4
133,较强,4
134,快速增长,4
135,铜材,4
136,韩国,4
137,国外,4
138,零件,4
139,润滑剂,4
140,衡量,4
141,互联网,4
142,媒体,4
143,钟建栋,4
144,王克平,4
145,致力于,4
146,粉末冶金,4
147,板,4
148,预估,4
149,液压,4
150,自然,4
151,年均,4
152,汽车产业,4
153,发达国家,4
154,环节,4
155,万亿元,4
156,装备,4
157,生产商,4
158,通用机械,4
159,广阔,4
160,发明专利,4
161,卡特彼勒,4
162,主持,4
163,套,4
164,工业化,4
165,事故,4
166,慈善,4
167,产线,4
168,资源,4
169,金元,4
170,至股,4
171,孙薇卿,4
172,合盛,4
173,百盛,4
174,经济损失,4
175,事,4
176,工作日内,4
177,废气,4
178,防治法,4
179,召集,4
180,金融机构,4
181,以换,4
182,国科,4
183,发火,4
184,保险费,4
185,农业机械,3
186,呈现出,3
187,需求量,3
188,下滑,3
189,国民经济,3
190,外汇,3
191,外销,3
192,德国,3
193,意大利,3
194,核心技术,3
195,送,3
196,红,3
197,股股,3
198,相对运动,3
199,铜合金,3
200,聚四氟乙烯,3
201,制造商,3
202,金属材料,3
203,经卷,3
204,制成,3
205,工况,3
206,指以,3
207,网站,3
208,机构名称,3
209,生产工艺,3
210,供货,3
211,坯料,3
212,通知单,3
213,无需,3
214,订单式,3
215,采购计划,3
216,直销,3
217,经销,3
218,机械设备,3
219,很大,3
220,亿美元,3
221,标准件,3
222,体现,3
223,建筑,3
224,装饰,3
225,桥梁,3
226,人力资源,3
227,初步,3
228,专业化,3
229,业内,3
230,评为,3
231,再次,3
232,涂层,3
233,无铅,3
234,客户资源,3
235,流失,3
236,沃尔沃,3
237,克,3
238,诺尔,3
239,合作伙伴,3
240,北美,3
241,同步,3
242,厂商,3
243,先期,3
244,底盘,3
245,门,3
246,内燃机,3
247,轴瓦,3
248,分会,3
249,国家标准,3
250,商标,3
251,欧洲,3
252,改性,3
253,滑动,3
254,配置,3
255,文化,3
256,大户,3
257,严峻,3
258,科学,3
259,秉承,3
260,三一,3
261,高质量,3
262,深化,3
263,爱心,3
264,游戏,3
265,医疗器械,3
266,统计,3
267,募,3
268,超募,3
269,投向,3
270,投资总额,3
271,中国银行,3
272,支取,3
273,等额,3
274,事后,3
275,挑战,3
276,梯队,3
277,通道,3
278,追求,3
279,积极性,3
280,专业技能,3
281,程序实施,3
282,日日,3
283,期若,3
284,派发,3
285,送红股,3
286,配股,3
287,以经,3
288,如自,3
289,半年,3
290,易,3
291,息,3
292,致使,3
293,证券交易,3
294,简化,3
295,全力支持,3
296,规章制度,3
297,清理,3
298,六合,3
299,获批,3
300,公益事业,3
301,合同法,3
302,保险,3
303,住房,3
304,入职,3
305,转岗,3
306,排放,3
307,脱贫,3
308,工程师,3
309,盛,3
310,村镇,3
311,理事,3
312,机械厂,3
313,会计学,3
314,简历,3
315,职级,3
316,四个,3
317,专业性,3
318,工作细则,3
319,年薪,3
320,偏离,3
321,指除,3
322,选取,3
323,样本,3
324,保费,3
325,准备金,3
326,中央银行,3
327,益,3
