,分词排序,词频
0,数据,336
1,奥飞,308
2,广东,266
3,科技,113
4,广州,107
5,信息,103
6,计算机,68
7,网络,59
8,昊盟,58
9,工程,58
10,互联网,55
11,软件,54
12,数据中心,52
13,信息技术,42
14,机房,41
15,建设,35
16,机柜,33
17,资源,31
18,通信,30
19,北京,27
20,房地产,27
21,深圳,25
22,服务业,25
23,奥维,24
24,银行,24
25,运营商,22
26,冯康,21
27,冯康及,20
28,创业板,19
29,奥佳,17
30,电信,17
31,香港,16
32,带宽,15
33,建,13
34,智能,13
35,六个月,13
36,汉族,13
37,租用,12
38,软件技术,11
39,服务器,11
40,中国电信,11
41,昇,11
42,电信业务,11
43,实讯,10
44,传输,10
45,游戏,10
46,竣工,10
47,德,10
48,人力,10
49,网络通信,10
50,开发技术,10
51,运维,9
52,接入,9
53,科学城,9
54,神舟,9
55,零售,9
56,扶贫,9
57,李进,9
58,昊盈,8
59,上海,8
60,网站,8
61,节点,8
62,同步,8
63,网民,8
64,工业,8
65,绿色,8
66,海口,8
67,复朴,8
68,云基,8
69,许可证,8
70,系统集成,8
71,教育,8
72,龚云峰,7
73,南方,7
74,第三季度,7
75,网络安全,7
76,自建,7
77,搭建,7
78,环境,7
79,统计,7
80,视频,7
81,金鹿,7
82,广西,7
83,咨询服务,7
84,自动,7
85,海峡,7
86,生物,7
87,实缴,7
88,正中,6
89,珠江,6
90,南沙,6
91,高速,6
92,存储,6
93,音乐,6
94,联网,6
95,工信部,6
96,高新技术,6
97,快,6
98,容量,6
99,网络科技,6
100,可持续性,6
101,扩建,6
102,开发软件,6
103,本地,6
104,因派,6
105,增发,6
106,复权,6
107,上交,6
108,何烈,6
109,成交,6
110,主,6
111,等值,6
112,客户经理,6
113,否陈敏,6
114,建造,6
115,广东省科技厅,6
116,加剧,5
117,基础设施,5
118,媒体,5
119,第二季度,5
120,第四季度,5
121,服务公司,5
122,骨干,5
123,中国移动,5
124,分发,5
125,服务平台,5
126,流量,5
127,健康,5
128,海缆,5
129,互联,5
130,客服,5
131,扩容,5
132,电力,5
133,边缘,5
134,直播,5
135,分布式,5
136,清洗,5
137,智慧,5
138,购入,5
139,第七次,5
140,流失,5
141,招商银行,5
142,罗翼,5
143,陈剑钊,5
144,中山市,5
145,工程师,5
146,油气,5
147,股东会,5
148,验资,5
149,材料,5
150,土地,5
151,林卫云,4
152,股股,4
153,民生,4
154,检测,4
155,天河区,4
156,华景路,4
157,何宇亮,4
158,刘,4
159,火旺,4
160,邓小勤,4
161,中国联通,4
162,自动化,4
163,核心技术,4
164,数据分析,4
165,年底,4
166,手机,4
167,网络游戏,4
168,版权,4
169,新一代,4
170,最新,4
171,信息化,4
172,节能,4
173,强国,4
174,转固,4
175,海南,4
176,服务质量,4
177,体验,4
178,奠定,4
179,高素质,4
180,广西南宁,4
181,海底,4
182,力量,4
183,流,4
184,防御,4
185,能源,4
186,调度,4
187,海量,4
188,决策分析,4
189,定期存单,4
190,颁发,4
191,下发,4
192,透明,4
193,发,4
194,下同,4
195,唐仲良,4
196,清理,4
197,高新,4
198,中国建设银行,4
199,南国,4
200,花园,4
201,建穗营,4
202,上海浦东发展银行,4
203,白云,4
204,农村,4
205,商业银行,4
206,天河,4
207,军,4
208,博海,4
209,汇金,4
210,日日,4
211,暨南大学,4
212,技术部,4
213,执业,4
214,蓝星,4
215,业经,4
216,夏芳,4
217,汝,4
218,大华,4
219,入,4
220,机器设备,4
221,无因,4
222,国家级,4
223,委会,4
224,互联网络,3
225,入侵,3
226,防护,3
227,大道,3
228,东西,3
229,侧,3
230,比上,3
231,第一季度,3
232,华南地区,3
233,服务商,3
234,连接,3
235,延伸,3
236,使用率,3
237,加深,3
238,人工智能,3
239,高度重视,3
240,信息产业,3
241,圈,3
242,清晰,3
243,新兴产业,3
244,机房设备,3
245,网络设备,3
246,著作权,3
247,专利权,3
248,交付使用,3
249,可用,3
250,东南亚,3
251,欧洲,3
252,热点,3
253,兴起,3
254,去年同期,3
255,面积,3
256,增长点,3
257,光缆,3
258,集成,3
259,同服,3
260,面,3
261,多云,3
262,管理系统,3
263,凝聚力,3
264,水电,3
265,人工,3
266,其他费用,3
267,顾问费,3
268,有所增加,3
269,资源管理,3
270,号文,3
271,社会公众,3
272,超募,3
273,多方,3
274,用电,3
275,供电,3
276,预先,3
277,电信服务,3
278,载明,3
279,为准,3
280,电讯,3
281,人才流失,3
282,登记日,3
283,至股,3
284,一自,3
285,三十六个,3
286,内如,3
287,二十个,3
288,广,3
289,如遇,3
290,第二年,3
291,强制性,3
292,称,3
293,期在,3
294,扣留,3
295,董监,3
296,若干,3
297,实施细则,3
298,孙彦彬,3
299,分拆,3
300,摘要,3
301,集合竞价,3
302,交易方式,3
303,股约,3
304,均价,3
305,就业,3
306,平等,3
307,脱贫,3
308,环境保护,3
309,门,3
310,深证,3
311,杭州,3
312,黄展鹏,3
313,陈敏,3
314,冯艳芬,3
315,陈耀光,3
316,睿,3
317,江,3
318,番禺区,3
319,市场部,3
320,柬埔寨,3
321,通讯,3
322,邮电局,3
323,南京,3
324,邮电大学,3
325,西南政法大学,3
326,爱苏,3
327,恪,3
328,业务经理,3
329,女年,3
330,专员,3
331,电子,3
332,否何,3
333,传媒,3
334,函证,3
335,长,3
336,保费,3
337,准备金,3
338,中央银行,3
339,增,3
340,汇昊,3
341,汇昊验,3
342,外汇市场,3
343,中间价,3
344,标准计,3
345,提,3
346,届满时,3
347,款额,3
348,借入,3
349,凭据,3
350,同类,3
351,保险费,3
352,教育费,3
353,税额,3
354,铭可达,3
355,物流,3
356,交通,3
357,科创委,3
358,港元,3
359,人士,2
360,保荐人,2
361,大成,2
362,前身,2
363,进港,2
364,号房,2
365,网址,2
366,电子信箱,2
367,证券部,2
368,机构名称,2
369,半年报,2
370,此类,2
371,元非,2
372,统一标准,2
373,概况,2
374,服务提供商,2
375,现已,2
376,备份,2
377,已有,2
378,通信线路,2
379,专业级,2
380,中国互联网络信息中心,2
381,京,2
382,普及率,2
383,达较,2
384,门槛,2
385,各大,2
386,节目,2
387,自制,2
388,走向,2
389,精品化,2
390,正版,2
391,进程,2
392,越来越,2
393,侧重,2
394,国产,2
395,度,2
396,政企,2
397,稳步发展,2
398,成熟期,2
399,扩张,2
400,供给,2
401,日趋,2
402,战略性,2
403,发展壮大,2
404,规号,2
405,通信业,2
406,减排,2
407,工信,2
408,部节,2
409,指出,2
410,制造,2
411,举措,2
412,业务量,2
413,及待,2
414,进项税额,2
415,安全性,2
416,控制措施,2
417,互联网服务,2
418,信誉,2
419,全方位,2
420,成熟,2
421,深刻,2
422,较强,2
423,资源优势,2
424,四个,2
425,抓紧,2
426,属性,2
427,紧跟,2
428,专业化,2
429,依赖于,2
430,配合,2
431,一批,2
432,持续增长,2
433,重要性,2
434,月均,2
435,酒仙桥,2
436,一个个,2
437,落地,2
438,联通,2
439,顺应,2
440,一带,2
441,一路,2
442,福田,2
443,保税区,2
444,坚实基础,2
445,抢占,2
446,较长,2
447,光纤,2
448,数据传输,2
449,代运维,2
450,互联网内容,2
451,近年,2
452,分离,2
453,引擎,2
454,单点,2
455,登录,2
456,这方面,2
457,存储管理,2
458,高性能,2
459,多方面,2
460,及物,2
461,商业智能,2
462,既定,2
463,动环,2
464,与物,2
465,被动式,2
466,红外,2
467,防,2
468,尾随,2
469,门禁系统,2
470,智能化,2
471,化等,2
472,队伍,2
473,文化,2
474,人才培养,2
475,党建,2
476,广播,2
477,电影,2
478,电视,2
479,季节性,2
480,周期性,2
481,实物,2
482,中是,2
483,成本上升,2
484,场所,2
485,款约,2
486,其他支出,2
487,元为,2
488,投资额,2
489,盈亏,2
490,年份,2
491,去向,2
492,投向,2
493,投资总额,2
494,暂未,2
495,立项,2
496,第十一次,2
497,第十四次,2
498,第十次,2
499,相符,2
500,服务网络,2
501,零配件,2
