,分词排序,词频
0,南京,281
1,越博,273
2,动力系统,216
3,汽车,170
4,新能源,160
5,动力,134
6,李占江,123
7,总成,105
8,李莹,105
9,电机,78
10,科技,60
11,纯,58
12,信息,57
13,控制器,52
14,整车,50
15,占江,49
16,否李,49
17,银行,48
18,车辆,46
19,自动,43
20,建设,43
21,畅行,42
22,电动汽车,41
23,工程,39
24,南京市,38
25,变速器,38
26,上海,37
27,电动,35
28,财政拨款,34
29,制造,29
30,乘用车,28
31,郜翀,26
32,越博电,25
33,智能,25
34,零部件,25
35,亚平,25
36,集成,24
37,变速箱,24
38,工业,21
39,重庆,20
40,建邺区,20
41,成都,19
42,西安,19
43,检测,19
44,结构性,19
45,客车,18
46,物流,18
47,河南,17
48,能量,17
49,江苏,17
50,创业板,17
51,汽车产业,17
52,歌石,16
53,换挡,16
54,北京,15
55,专用车,15
56,资讯网,15
57,汽车行业,15
58,一体化,15
59,安徽,14
60,车,14
61,下线,14
62,盛,14
63,控制系统,13
64,双,13
65,永磁,13
66,致同,12
67,数据,12
68,混合,12
69,材料,12
70,招商银行,12
71,六个月,12
72,创业投资,12
73,博电,11
74,越博进,11
75,电子,11
76,变速,11
77,控制技术,11
78,装置,11
79,否何,11
80,否马,11
81,售后,11
82,嘉陵江,10
83,东街,10
84,定制,10
85,同步电机,10
86,工程师,10
87,中信银行,10
88,建伟,10
89,渝北区,10
90,深圳,9
91,内蒙古,9
92,能源动力,9
93,工况,9
94,环境,9
95,制动,9
96,博士后,9
97,待定,9
98,袁敏,9
99,伙人,9
100,维修,9
101,传动系统,8
102,力,8
103,部件,8
104,电动车,8
105,桥,8
106,电,8
107,减速器,8
108,道路,8
109,高超,8
110,中原,8
111,马建伟,8
112,土地,8
113,徐顺,7
114,科研,7
115,机械式,7
116,车型,7
117,一款,7
118,换档,7
119,离合器,7
120,执行机构,7
121,模块,7
122,高压,7
123,控制策略,7
124,仿真,7
125,软件,7
126,功率,7
127,预先,7
128,高层次,7
129,三家,7
130,共赢,7
131,新城,7
132,借入,7
133,香山,6
134,财富,6
135,福建,6
136,奇瑞,6
137,唐骏,6
138,文化,6
139,驾驶,6
140,厂商,6
141,机器设备,6
142,集成式,6
143,故障,6
144,一体,6
145,行驶,6
146,扭矩,6
147,转向,6
148,博士,6
149,创业,6
150,现金管理,6
151,消费,6
152,健康,6
153,远东,6
154,封闭式,6
155,教育,6
156,选取,6
157,样本,6
158,渝,6
159,不动产,6
160,权第号,6
161,区级,6
162,否越,6
163,驰协恒,5
164,汉王,5
165,华兴,5
166,汇源,5
167,驰,5
168,商用车,5
169,郑州,5
170,重卡,5
171,国家级,5
172,节能,5
173,核心技术,5
174,并联,5
175,输出,5
176,试验台,5
177,算法,5
178,信号,5
179,最优,5
180,轻量化,5
181,高转速,5
182,动力性,5
183,转化,5
184,产学研,5
185,工作站,5
186,北京理工大学,5
187,三合一,5
188,可靠性,5
189,车桥,5
190,距离,5
191,浦口,5
192,河南省,5
193,集群,5
194,新兴产业,5
195,科技园,5
196,幢,5
197,主,5
198,承销商,5
199,缴款,5
200,晏一平,5
201,贾红刚,5
202,韩晓红,5
203,奥联,5
204,华泰,5
205,苏州,5
206,按规定,5
207,由本,5
208,定期存单,5
209,进步奖,5
210,伊犁,4
211,兴,4
212,宇通,4
213,中通,4
214,大运,4
215,协恒,4
216,装备,4
217,山东,4
218,欧铃,4
219,互联网,4
220,奠定,4
221,插电式,4
222,动,4
223,型号,4
224,高性能,4
225,多家,4
226,物料,4
227,评审,4
228,扭转,4
229,车用,4
230,驱动力,4
231,双轴,4
232,横置,4
233,两档,4
234,挡位,4
235,轴,4
236,行星,4
237,齿轮,4
238,交流,4
239,同步,4
240,定子,4
241,核心部件,4
242,选,4
243,台,4
244,控制算法,4
245,转速,4
246,高效率,4
247,经济性,4
248,功率密度,4
249,转矩,4
250,科学,4
251,强大,4
252,集,4
253,六大,4
254,高峰,4
255,院长,4
256,蒋元广,4
257,张茂勋,4
258,内燃机,4
259,登陆,4
260,充电,4
261,高速,4
262,产业园,4
263,西安市,4
264,投向,4
265,黄金,4
266,两层,4
267,技术咨询,4
268,万辆,4
269,推广应用,4
270,控,4
271,依赖,4
272,工程项目,4
273,越,4
274,博动,4
275,营业部,4
276,公司财务,4
277,劳动合同,4
278,包销,4
279,黄宏彬,4
280,侯福深,4
281,光涛,4
282,孙,4
283,玲玲,4
284,职工代表,4
285,处长,4
286,委派,4
287,代,4
288,合表,4
289,委派代表,4
290,选拔,4
291,非专利,4
292,等于,4
293,房产,4
294,呼和浩特,4
295,建设工程,4
296,重庆市,4
297,一次性,4
298,第一批,4
299,系年,4
300,盛越,4
301,王清涛,3
302,越博越,3
303,苏新,3
304,陕汽,3
305,上汽,3
306,一汽,3
307,汽车集团,3
308,号栋,3
309,网站,3
310,广场,3
311,涂振连,3
312,吕福选,3
313,机构名称,3
314,第四季度,3
315,把握,3
316,高校,3
317,资源,3
318,货车,3
319,匹配,3
320,技术水平,3
321,产品品质,3
322,对接,3
323,配合,3
324,交由,3
325,设置,3
326,加成,3
327,仪器设备,3
328,运输设备,3
329,技术创新,3
330,轮毂,3
331,远程,3
332,系统集成,3
333,减振器,3
334,纯电,3
335,布置,3
336,底盘,3
337,六挡,3
338,箱,3
339,单级,3
340,自动化,3
341,车载,3
342,网络,3
343,硬件,3
344,环,3
345,模型,3
346,模拟,3
347,驾驶员,3
348,故障诊断,3
349,防护,3
350,采集,3
351,踏板,3
352,电路,3
353,能耗,3
354,诊断,3
355,电池,3
356,一套,3
357,合一,3
358,节省,3
359,重量,3
360,体积,3
361,曲线,3
362,规模化,3
363,吉林大学,3
364,工程学院,3
365,顶尖,3
366,发明专利,3
367,工程系,3
368,跃进,3
369,结构紧凑,3
370,噪音,3
371,简单,3
372,下一代,3
373,设有,3
374,无需,3
375,通讯,3
376,降低成本,3
377,警报,3
378,管委会,3
379,郑州市,3
380,陕西省,3
381,着力,3
382,出台,3
383,游戏,3
384,投资额,3
385,审验,3
386,验资,3
387,超募,3
388,第十八次,3
389,刊载,3
390,售后服务,3
391,电子设备,3
392,中国汽车工业协会,3
393,中央财政,3
394,通行,3
395,基础设施,3
396,深化,3
397,信息化,3
398,防范,3
399,战略性,3
400,政策性,3
401,第十次,3
402,三十六个,3
403,指南,3
404,等额,3
405,南京城,3
406,东,3
407,生育,3
408,住房,3
409,超越,3
410,扶贫,3
