,分词排序,词频
0,天地,290
1,杭州,238
2,数码科技,188
3,数码,81
4,热转印,72
5,信息,70
6,碳带,50
7,浙江,36
8,材料,36
9,韩琼,35
10,工程,34
11,升华,28
12,科技,28
13,银行,27
14,条码,26
15,刘建海,24
16,北京,23
17,创业板,23
18,健硕,22
19,色带,21
20,成像,21
21,数据,21
22,环境,18
23,潘浦敦,18
24,高性能,18
25,海平,17
26,带,16
27,英国,15
28,招股,15
29,否钱,15
30,墨西哥,14
31,环保,14
32,巴西,13
33,配方,13
34,建设,13
35,房地产,13
36,打印,12
37,亿平方米,12
38,结构性,12
39,香港,11
40,印度,11
41,加拿大,11
42,斯泰博,11
43,广州,10
44,法国,10
45,天健,10
46,基,10
47,碳,10
48,本地化,10
49,傅颀,10
50,宏业,10
51,钱江,9
52,港田,9
53,韩国,9
54,混合,9
55,扩建,9
56,分切,9
57,生物,9
58,浙江大学,9
59,创业投资,8
60,厦门,8
61,欣,8
62,方圆,8
63,树脂,8
64,数字化,8
65,张群华,8
66,谢党,8
67,主持,8
68,工业,7
69,天浩,7
70,西码,7
71,建硕,7
72,龙头企业,7
73,通用,7
74,资源,7
75,潘浦,7
76,周家,7
77,峰,7
78,德清,7
79,湖州,7
80,年薪,7
81,方东良,6
82,制造业,6
83,核心技术,6
84,资讯网,6
85,技术创新,6
86,油气,6
87,日个,6
88,杨晓华,6
89,扣减,6
90,白凯,6
91,苏,6
92,因未,6
93,封闭型,6
94,简历,6
95,教育,6
96,土地,6
97,投智汇,5
98,爱建,5
99,互联网,5
100,幢,5
101,率先,5
102,打码,5
103,传真,5
104,电子,5
105,大宗,5
106,经济体,5
107,营销中心,5
108,含税共派,5
109,六个月,5
110,单次,5
111,卢伟锋,5
112,室,5
113,单元,5
114,常务,5
115,群华,5
116,联大,5
117,换取,5
118,源于,5
119,聚酯薄膜,4
120,冠硕,4
121,私营,4
122,蜡基,4
123,薄膜,4
124,康信路,4
125,上海,4
126,高新技术,4
127,产品线,4
128,标签,4
129,与部,4
130,较强,4
131,国家标准,4
132,信息化,4
133,人力资源,4
134,稳定性,4
135,社会公众,4
136,业经,4
137,智能化,4
138,涂布,4
139,透明,4
140,党,4
141,钱,4
142,工作日内,4
143,原则上,4
144,本项,4
145,名下,4
146,真实性,4
147,完整性,4
148,可比,4
149,专利权,4
150,无效,4
151,开庭审理,4
152,东部,4
153,软件园,4
154,平方英尺,4
155,中信银行,4
156,钱海平,4
157,翁晓斌,4
158,职工代表,4
159,博士,4
160,任教于,4
